expression,reading,meaning_en,meaning_vi
浏览,liú lǎn,to skim over,lướt qua
龙,lóng,dragon,rồng
漏,lòu,to leak,rò rỉ
露,lù,dew,sương
陆地,lù dì,dry land (as opposed to the sea),đất khô (ngược lại với biển)
陆续,lù xù,in turn,lần lượt
录取,lù qǔ,to recruit,tuyển dụng
录音,lù yīn,to record (sound),để ghi lại (âm thanh)
轮流,lún liú,to alternate,thay thế
论文,lùn wén,paper,giấy
逻辑,luó ji,logic (loanword),logic (từ mượn)
落后,luò hòu,to fall behind,tụt lại phía sau
骂,mà,to scold,mắng
麦克风,mài kè fēng,microphone (loanword),micro (từ mượn)
馒头,mán tou,steamed roll,cuộn hấp
满足,mǎn zú,to satisfy,để thỏa mãn
毛,máo,hair,tóc
毛病,máo bìng,fault,lỗi
矛盾,máo dùn,contradictory,mâu thuẫn
冒险,mào xiǎn,to take risks,chấp nhận rủi ro
贸易,mào yì,(commercial) trade,(thương mại) buôn bán
眉毛,méi mao,eyebrow,lông mày
煤炭,méi tàn,coal,than đá
美术,měi shù,art,nghệ thuật
魅力,mèi lì,charm,quyến rũ
迷路,mí lù,to lose the way,lạc đường
谜语,mí yǔ,riddle,câu đố
密切,mì qiè,close,đóng
蜜蜂,mì fēng,bee,con ong
秘密,mì mì,secret,bí mật
秘书,mì shū,secretary,thư ký
棉花,mián hua,cotton,bông
面对,miàn duì,to confront,đối đầu
面积,miàn ji,area (of a floor,diện tích (của một tầng)
面临,miàn lín,to face sth,đối mặt với cái gì đó
描写,miáo xiě,to describe,để mô tả
苗条,miáo tiáo,slim,mảnh khảnh
秒,miǎo,second (of time),thứ hai (về thời gian)
民主,mín zhǔ,democracy,nền dân chủ
明确,míng què,clear-cut,rõ ràng
明显,míng xiǎn,clear,thông thoáng
明信片,míng xìn piàn,postcard,bưu thiếp
明星,míng xīng,star,ngôi sao
名牌,míng pái,famous brand,thương hiệu nổi tiếng
名片,míng piàn,(business) card,(kinh doanh) thẻ
名胜,míng shèng,a place famous for its scenery or historical relics,một nơi nổi tiếng với phong cảnh hoặc di tích lịch sử
命令,mìng lìng,order,đặt hàng
命运,mìng yùn,fate,định mệnh
摸,mō,to feel with the hand,cảm nhận bằng tay
摩托车,mó tuō chē,motorbike,xe máy
模仿,mó fǎng,to imitate,bắt chước
模糊,mó hu,vague,mơ hồ
陌生,mò shēng,strange,lạ lùng
某,mǒu,some,một số
目标,mù biāo,target,mục tiêu
目录,mù lù,catalog,danh mục
目前,mù qián,at the present time,ở thời điểm hiện tại
木头,mù tou,slow-witted,chậm hiểu
哪怕,nǎ pà,even,thậm chí
难怪,nán guài,(it's) no wonder (that...),(thật) không có gì ngạc nhiên (rằng...)
难看,nán kàn,ugly,xấu xí
脑袋,nǎo dài,head,cái đầu
内科,nèi kē,internal medicine,nội khoa
嫩,nèn,tender,mềm
能干,néng gàn,capable,có khả năng
能源,néng yuán,energy,năng lượng
年代,nián dài,a decade of a century (e.g. the Sixties),một thập kỷ của một thế kỷ (ví dụ những năm sáu mươi)
年纪,nián jì,age,tuổi
念,niàn,to read,đọc
宁可,nìng kě,preferably,tốt nhất là
牛仔裤,niú zǎi kù,jeans,quần jean
浓,nóng,concentrated,tập trung
农民,nóng mín,peasant,nông dân
农业,nóng yè,agriculture,nông nghiệp
女士,nǚ shì,lady,quý bà
偶然,ǒu rán,incidentally,tình cờ
拍,pāi,to pat,vỗ nhẹ
排队,pái duì,to line up,xếp hàng
排球,pái qiú,volleyball,bóng chuyền
派,pài,clique,bè phái
盼望,pàn wàng,to hope for,hy vọng cho
赔偿,péi cháng,to compensate,để bù đắp
培养,péi yǎng,to cultivate,trồng trọt
配合,pèi hé,matching,khớp
佩服,pèi fú,to admire,ngưỡng mộ
盆,pén,basin,lưu vực
碰见,pèng jiàn,to run into,chạy vào
披,pī,to drape over one's shoulders,khoác lên vai một người
批,pī,to ascertain,để xác định
批准,pī zhǔn,to approve,phê duyệt
疲劳,pí láo,fatigue,Mệt mỏi
皮鞋,pí xié,leather shoes,giày da
匹,pǐ,classifier for horses,phân loại ngựa
片,piàn,thin piece,mảnh mỏng
片面,piàn miàn,unilateral,đơn phương
飘,piāo,to float,nổi
频道,pín dào,frequency,Tính thường xuyên
品种,pǐn zhǒng,breed,giống
凭,píng,to lean against,dựa vào
平,píng,flat,phẳng
平常,píng cháng,ordinary,bình thường
平等,píng děng,equal,bình đẳng
平方,píng fāng,square (as in square foot,hình vuông (như tính bằng foot vuông
平衡,píng héng,balance,THĂNG BẰNG
平静,píng jìng,tranquil,yên tĩnh
平均,píng jūn,average,trung bình
评价,píng jià,to evaluate,để đánh giá
破产,pò chǎn,to go bankrupt,phá sản
破坏,pò huài,destruction,sự phá hủy
迫切,pò qiè,urgent,cấp bách
朴素,pǔ sù,plain and simple,đơn giản và đơn giản
期待,qī dài,to look forward to,mong chờ
期间,qī jiān,period of time,khoảng thời gian
其余,qí yú,the rest,phần còn lại
奇迹,qí jì,miracle,phép lạ
启发,qǐ fā,to enlighten,để soi sáng
企图,qǐ tú,to attempt,cố gắng
企业,qǐ yè,company,công ty
气氛,qì fēn,atmosphere,bầu không khí
汽油,qì yóu,gasoline,xăng
牵,qiān,to pull (an animal on a tether),kéo (một con vật bằng dây buộc)
签字,qiān zì,to sign (a signature),ký (một chữ ký)
谦虚,qiān xū,modest,khiêm tốn
前途,qián tú,prospects,triển vọng
浅,qiǎn,shallow,nông
欠,qiàn,deficient,thiếu sót
枪,qiāng,gun,súng
强调,qiáng diào,to emphasize (a statement),để nhấn mạnh (một tuyên bố)
强烈,qiáng liè,intense,mãnh liệt
抢,qiǎng,to fight over,để tranh giành
悄悄,qiāo qiāo,quietly,lặng lẽ
瞧,qiáo,to look at,nhìn vào
巧妙,qiǎo miào,ingenious,khéo léo
切,qiē,to cut,cắt
亲爱,qīn ài,dear,Thân mến
亲切,qīn qiè,amiable,dễ thương
亲自,qīn zì,personally,cá nhân
侵略,qīn lvè,invasion,cuộc xâm lược
勤奋,qín fèn,hardworking,chăm chỉ
勤劳,qín láo,hardworking,chăm chỉ
青,qīng,nature's color,màu sắc của thiên nhiên
青春,qīng chūn,youth,thiếu niên
青少年,qīng shào nián,adolescent,thanh niên
轻视,qīng shì,contempt,khinh miệt
清淡,qīng dàn,light (of food,ánh sáng (của thức ăn
情景,qíng jǐng,scene,bối cảnh
情绪,qíng xù,mood,tâm trạng
请求,qǐng qiú,request,lời yêu cầu
庆祝,qìng zhù,to celebrate,để ăn mừng
球迷,qiú mí,soccer fan,người hâm mộ bóng đá
趋势,qū shì,trend,xu hướng
娶,qǔ,to take a wife,lấy vợ
取消,qǔ xiāo,to cancel,hủy bỏ
去世,qù shì,to pass away,qua đời
圈,quān,circle,vòng tròn
全面,quán miàn,all-around,xung quanh
权力,quán lì,power,quyền lực
权利,quán lì,power,quyền lực
劝,quàn,to advise,để khuyên
缺乏,quē fá,shortage,thiếu
确定,què dìng,definite,chắc chắn
确认,què rèn,to confirm,để xác nhận
燃烧,rán shāo,to ignite,đốt cháy
嚷,rǎng,blurt out,thốt lên
绕,rào,to wind,gió
热爱,rè ài,to love ardently,yêu say đắm
热烈,rè liè,warm (welcome etc),"ấm áp (chào mừng, v.v.)"
热心,rè xīn,enthusiasm,sự nhiệt tình
人才,rén cái,a person's talent,tài năng của một người
人口,rén kǒu,population,dân số
人类,rén lèi,humanity,nhân loại
人生,rén shēng,life (one's time on earth),cuộc sống (thời gian của một người trên trái đất)
人事,rén shì,human affairs,vấn đề con người
人物,rén wù,person,người
人员,rén yuán,staff,nhân viên
忍不住,rěn bu zhù,cannot help,không thể giúp được
日常,rì cháng,daily,hằng ngày
日程,rì chéng,schedule,lịch trình
日历,rì lì,calendar,lịch
日期,rì qī,date,ngày
日用品,rì yòng pǐn,articles for daily use,đồ dùng hàng ngày
融化,róng huà,to melt,tan chảy
荣幸,róng xìng,honored,vinh dự
荣誉,róng yù,honor,tôn kính
如何,rú hé,how,Làm sao
如今,rú jīn,nowadays,Ngày nay
软件,ruǎn jiàn,(computer) software,(máy tính) phần mềm
弱,ruò,weak,yếu đuối
洒,sǎ,to sprinkle,rắc
嗓子,sǎng zi,throat,cổ họng
杀,shā,to kill,giết
沙漠,shā mò,desert,sa mạc
沙滩,shā tān,beach,bãi biển
傻,shǎ,foolish,ngu si
晒,shài,to dry in the sun,phơi khô dưới nắng
删除,shān chú,to delete,xóa
闪电,shǎn diàn,lightning,tia sét
善良,shàn liáng,good and honest,tốt và trung thực
善于,shàn yú,to be good at,để giỏi
扇子,shān zi,fan,cái quạt
商品,shāng pǐn,good,Tốt
商业,shāng yè,business,việc kinh doanh
上当,shàng dàng,taken in (by sb's deceit),bị lừa (bởi sự lừa dối của ai đó)
勺子,sháo zi,scoop,muỗng
蛇,shé,snake,rắn
舌头,shé tou,tongue,lưỡi
舍不得,shě bu de,to hate to do sth,ghét làm gì đó
设备,shè bèi,equipment,thiết bị
设计,shè jì,plan,kế hoạch
设施,shè shī,facilities,cơ sở
射击,shè jī,to shoot,bắn
摄影,shè yǐng,to take a photograph,để chụp ảnh
伸,shēn,to stretch,kéo dài
深刻,shēn kè,profound,sâu
身材,shēn cái,stature,tầm vóc
身份,shēn fèn,identity,danh tính
神话,shén huà,legend,huyền thoại
神经,shén jīng,nerve,dây thần kinh
神秘,shén mì,mysterious,bí ẩn
升,shēng,variant of 升[shēng],biến thể của 升[shēng]
生产,shēng chǎn,childbirth,sinh con
生动,shēng dòng,vivid,sống động
声调,shēng diào,tone,giai điệu
绳子,shéng zi,cord,dây
省略,shěng lvè,to leave out,bỏ đi
胜利,shèng lì,victory,chiến thắng
诗,shī,poem,bài thơ
失眠,shī mián,to suffer from insomnia,mắc chứng mất ngủ
失去,shī qù,to lose,thua
失业,shī yè,unemployment,nạn thất nghiệp
时代,shí dài,age,tuổi
时刻,shí kè,moment,chốc lát
时髦,shí máo,in vogue,đang thịnh hành
时期,shí qī,period,Giai đoạn
时尚,shí shàng,fashion,thời trang
实话,shí huà,truth,sự thật
实践,shí jiàn,to practice,luyện tập
实习,shí xí,to practice,luyện tập
实现,shí xiàn,to achieve,để đạt được
实行,shí xíng,to implement,để thực hiện
实验,shí yàn,experiment,cuộc thí nghiệm
实用,shí yòng,practical,thực tế
食物,shí wù,food,đồ ăn
石头,shí tou,stone,cục đá
使劲儿,shǐ jìn ér,Rearing,Nuôi dưỡng
始终,shǐ zhōng,from beginning to end,từ đầu đến cuối
是否,shì fǒu,whether (or not),liệu (hoặc không)
试卷,shì juàn,examination paper,giấy thi
士兵,shì bīng,soldier,lính
似的,shì de,seems as if,có vẻ như
事实,shì shí,fact,sự thật
事物,shì wù,thing,điều
事先,shì xiān,in advance,trước
收获,shōu huò,to harvest,thu hoạch
收据,shōu jù,receipt,biên lai
手工,shǒu gōng,handwork,thủ công
手术,shǒu shù,(surgical) operation,(phẫu thuật) phẫu thuật
手套,shǒu tào,glove,găng tay
手续,shǒu xù,procedure,thủ tục
手指,shǒu zhǐ,finger,ngón tay
受伤,shòu shāng,to sustain injuries,để duy trì vết thương
寿命,shòu mìng,life span,tuổi thọ
书架,shū jià,bookshelf,giá sách
输入,shū rù,to import,nhập khẩu
蔬菜,shū cài,vegetables,rau
舒适,shū shì,cozy,ấm áp
梳子,shū zi,comb,cái lược
熟练,shú liàn,practiced,thực hành
鼠标,shǔ biāo,mouse (computing),chuột (máy tính)
属于,shǔ yú,to be classified as,được phân loại là
数据,shù jù,data,dữ liệu
数码,shù mǎ,number,con số
摔,shuāi,to throw down,ném xuống
甩,shuǎi,to throw,ném
双方,shuāng fāng,bilateral,song phương
税,shuì,taxes,thuế
说不定,shuō bu dìng,can't say for sure,không thể nói chắc chắn
说服,shuō fú,to persuade,thuyết phục
撕,sī,to tear,xé
丝绸,sī chóu,silk cloth,vải lụa
丝毫,sī háo,the slightest amount or degree,số lượng hoặc mức độ nhỏ nhất
思考,sī kǎo,to reflect on,để phản ánh
思想,sī xiǎng,thought,nghĩ
私人,sī rén,private,riêng tư
似乎,sì hū,apparently,rõ ràng
寺庙,sì miào,temple,ngôi đền
宿舍,sù shè,dormitory,ký túc xá
随时,suí shí,at any time,bất cứ lúc nào
碎,suì,to break down,phá vỡ
损失,sǔn shī,loss,sự mất mát
缩短,suō duǎn,to curtail,cắt giảm
缩小,suō xiǎo,to reduce,để giảm
锁,suǒ,to lock up,để khóa
所,suǒ,actually,Thực ra
所谓,suǒ wèi,so-called,cái gọi là
塔,tǎ,pagoda,chùa
台阶,tái jiē,steps,bước
太极拳,tài jí quán,shadowboxing or Taiji,đấm bốc bóng tối hoặc Taiji
太太,tài tai,married woman,người phụ nữ đã có chồng
谈判,tán pàn,to negotiate,đàm phán
坦率,tǎn shuài,frank (discussion),thẳng thắn (thảo luận)
烫,tàng,to scald,bỏng
桃,táo,peach,quả đào
逃,táo,to escape,trốn thoát
逃避,táo bì,to escape,trốn thoát
套,tào,cover,che phủ
特殊,tè shū,special,đặc biệt
特意,tè yì,specially,đặc biệt
特征,tè zhēng,characteristic,đặc trưng
疼爱,téng ài,to love dearly,yêu thật lòng
提,tí,to carry (hanging down from the hand),xách (treo trên tay)
提倡,tí chàng,to promote,để thúc đẩy
提纲,tí gāng,the key point,điểm mấu chốt
提问,tí wèn,to question,đặt câu hỏi
题目,tí mù,subject,chủ thể
体会,tǐ huì,to know from experience,để biết từ kinh nghiệm
体积,tǐ jī,volume,âm lượng
体贴,tǐ tiē,considerate (of other people's needs),quan tâm (đến nhu cầu của người khác)
体现,tǐ xiàn,to embody,để thể hiện
体验,tǐ yàn,to experience for oneself,để tự mình trải nghiệm
天空,tiān kōng,sky,bầu trời
天真,tiān zhēn,naive,ngây thơ
田野,tián yě,field,cánh đồng
调皮,tiáo pí,naughty,nghịch ngợm
调整,tiáo zhěng,to adjust,để điều chỉnh
挑战,tiǎo zhàn,to challenge,thách thức
通常,tōng cháng,regular,thường xuyên
通讯,tōng xùn,communications,thông tin liên lạc
铜,tóng,copper (chemistry),đồng (hóa học)
同时,tóng shí,at the same time,cùng lúc
统一,tǒng yī,to unify,để thống nhất
统治,tǒng zhì,to rule (a country),cai trị (một đất nước)
痛苦,tòng kǔ,pain,nỗi đau
痛快,tòng kuài,overjoyed,vui mừng khôn xiết
投资,tóu zī,investment,sự đầu tư
透明,tòu míng,transparent,trong suốt
突出,tū chū,prominent,nổi bật
土地,tǔ dì,land,đất
土豆,tǔ dòu,potato,khoai tây
吐,tù,to vomit,nôn mửa
兔子,tù zi,hare,thỏ rừng
团,tuán,dumpling,bánh bao
推辞,tuī cí,to decline (an appointment,từ chối (một cuộc hẹn
推广,tuī guǎng,to extend,mở rộng
推荐,tuī jiàn,to recommend,đề nghị
退,tuì,to retreat,rút lui
退步,tuì bù,to do less well than before,làm kém hơn trước
退休,tuì xiū,to retire,nghỉ hưu
歪,wāi,askew,xiên
外交,wài jiāo,diplomacy,ngoại giao
弯,wān,bend,uốn cong
完美,wán měi,perfect,hoàn hảo
完善,wán shàn,perfect,hoàn hảo
完整,wán zhěng,complete,hoàn thành
玩具,wán jù,plaything,đồ chơi
万一,wàn yī,just in case,chỉ trong trường hợp
王子,wáng zǐ,prince,hoàng tử
往返,wǎng fǎn,to go back and forth,đi đi lại lại
微笑,wēi xiào,smile,nụ cười
威胁,wēi xié,to threaten,đe dọa
危害,wēi hài,to jeopardize,gây nguy hiểm
违反,wéi fǎn,to violate (a law),vi phạm (một luật)
维护,wéi hù,to defend,để bảo vệ
围巾,wéi jīn,scarf,khăn quàng cổ
围绕,wéi rào,to revolve around,xoay quanh
唯一,wéi yī,only,chỉ một
尾巴,wěi ba,tail,đuôi
伟大,wěi dà,great,Tuyệt
委屈,wěi qu,to feel wronged,cảm thấy bị đối xử sai trái
委托,wěi tuō,to entrust,giao phó
胃,wèi,stomach,cái bụng
位置,wèi zhi,position,chức vụ
未必,wèi bì,not necessarily,không nhất thiết
未来,wèi lái,future,tương lai
卫生间,wèi shēng jiān,bathroom,phòng tắm
温暖,wēn nuǎn,warm,ấm
温柔,wēn róu,gentle and soft,nhẹ nhàng và mềm mại
闻,wén,to hear,nghe
文件,wén jiàn,document,tài liệu
文具,wén jù,stationery,văn phòng phẩm
文明,wén míng,civilized,văn minh
文学,wén xué,literature,văn học
吻,wěn,kiss,hôn
稳定,wěn dìng,steady,vững chắc
问候,wèn hòu,to give one's respects,để bày tỏ sự tôn trọng của một người
卧室,wò shì,bedroom,phòng ngủ
屋子,wū zi,house,căn nhà
无奈,wú nài,helpless,bất lực
无数,wú shù,countless,vô số
武器,wǔ qì,weapon,vũ khí
武术,wǔ shù,military skill or technique (in former times),kỹ năng hoặc kỹ thuật quân sự (thời xưa)
雾,wù,fog,sương mù
物理,wù lǐ,physics,vật lý
物质,wù zhì,matter,vấn đề
吸收,xī shōu,to absorb,hấp thụ
系,xì,to connect,để kết nối
系统,xì tǒng,system,hệ thống
细节,xì jié,details,chi tiết
戏剧,xì jù,drama,kịch
瞎,xiā,blind,mù
吓,xià,to frighten,làm sợ hãi
下载,xià zǎi,to download,để tải về
鲜艳,xiān yàn,bright-colored,sáng màu
显得,xiǎn de,to seem,dường như
显然,xiǎn rán,clear,thông thoáng
显示,xiǎn shì,to show,để hiển thị
县,xiàn,county,quận
现金,xiàn jīn,cash,tiền mặt
现实,xiàn shí,reality,thực tế
现象,xiàn xiàng,appearance,vẻ bề ngoài
相处,xiāng chǔ,to be in contact with,để liên lạc với
相当,xiāng dāng,equivalent to,tương đương với
相对,xiāng duì,relatively,tương đối
相关,xiāng guān,to be interrelated,có liên quan với nhau
相似,xiāng sì,to resemble,giống với
想念,xiǎng niàn,to miss,bỏ lỡ
想象,xiǎng xiàng,to imagine,tưởng tượng
享受,xiǎng shòu,to enjoy,để tận hưởng
项,xiàng,back of neck,sau gáy
项链,xiàng liàn,necklace,vòng cổ
项目,xiàng mù,item,mục
橡皮,xiàng pí,rubber,cao su
象棋,xiàng qí,Chinese chess,cờ tướng
象征,xiàng zhēng,emblem,biểu tượng
消费,xiāo fèi,to consume,tiêu thụ
消化,xiāo huà,to digest,để tiêu hóa
消灭,xiāo miè,to put an end to,để chấm dứt
消失,xiāo shī,to disappear,biến mất
销售,xiāo shòu,to sell,bán
小吃,xiǎo chī,snack,đồ ăn vặt
小伙子,xiǎo huǒ zi,young man,chàng trai trẻ
小麦,xiǎo mài,wheat,lúa mì
小气,xiǎo qì,stingy,keo kiệt
小偷,xiǎo tōu,thief,tên trộm
效率,xiào lǜ,efficiency,hiệu quả
孝顺,xiào shùn,filial piety,lòng hiếu thảo
歇,xiē,to rest,nghỉ ngơi
斜,xié,inclined,nghiêng
协调,xié tiáo,to coordinate,phối hợp
心理,xīn lǐ,mental,tâm thần
心脏,xīn zàng,heart,trái tim
欣赏,xīn shǎng,to appreciate,đánh giá cao
信封,xìn fēng,envelope,phong bì
信号,xìn hào,signal,tín hiệu
信息,xìn xī,information,thông tin
行动,xíng dòng,operation,hoạt động
行人,xíng rén,pedestrian,đi bộ
行为,xíng wéi,action,hoạt động
形成,xíng chéng,to form,hình thành
形容,xíng róng,to describe,để mô tả
形式,xíng shì,form,hình thức
形势,xíng shì,circumstances,trường hợp
形象,xíng xiàng,image,hình ảnh
形状,xíng zhuàng,form,hình thức
性质,xìng zhì,nature,thiên nhiên
幸亏,xìng kuī,fortunately,may mắn thay
幸运,xìng yùn,fortunate,may mắn
胸,xiōng,chest,ngực
兄弟,xiōng dì,brothers,anh em
雄伟,xióng wěi,grand,vĩ đại
修改,xiū gǎi,to amend,sửa đổi
休闲,xiū xián,leisure,thời gian rảnh rỗi
虚心,xū xīn,modest,khiêm tốn
叙述,xù shù,to relate (a story or information),liên hệ (một câu chuyện hoặc thông tin)
宣布,xuān bù,to declare,tuyên bố
宣传,xuān chuán,to disseminate,phổ biến
选举,xuǎn jǔ,to elect,bầu cử
学期,xué qī,term,thuật ngữ
学术,xué shù,learning,học hỏi
学问,xué wèn,learning,học hỏi
寻找,xún zhǎo,to seek,tìm kiếm
询问,xún wèn,to inquire,hỏi thăm
训练,xùn liàn,to train,đào tạo
迅速,xùn sù,rapid,nhanh
延长,yán cháng,to prolong,kéo dài
严肃,yán sù,solemn,trang nghiêm
宴会,yàn huì,banquet,bữa tiệc
阳台,yáng tái,balcony,ban công
痒,yǎng,to itch,ngứa
样式,yàng shì,type,kiểu
腰,yāo,waist,thắt lưng
摇,yáo,to shake,lắc
咬,yǎo,to bite,cắn
要不,yào bù,otherwise,nếu không thì
要是,yào shi,if,nếu như
夜,yè,night,đêm
液体,yè tǐ,liquid,chất lỏng
业务,yè wù,business,việc kinh doanh
业余,yè yú,spare time,thời gian rảnh rỗi
依然,yī rán,still,vẫn
一辈子,yī bèi zi,(for) a lifetime,(trong) một đời
一旦,yī dàn,in case (sth happens),trong trường hợp (điều gì đó xảy ra)
一路,yī lù,the whole journey,toàn bộ cuộc hành trình
一致,yī zhì,unanimous,nhất trí
遗憾,yí hàn,regret,hối tiếc
移动,yí dòng,to move,di chuyển
移民,yí mín,to immigrate,nhập cư
疑问,yí wèn,question,câu hỏi
乙,yǐ,second of 10 heavenly stems 十天干,thứ hai trong 10 thiên can
以及,yǐ jí,as well as,cũng như
以来,yǐ lái,since (a previous event),kể từ (một sự kiện trước đó)
意外,yì wài,unexpected,không ngờ tới
意义,yì yì,sense,giác quan
议论,yì lùn,to comment,bình luận
义务,yì wù,duty,nhiệm vụ
因而,yīn ér,therefore,Vì vậy
因素,yīn sù,element,yếu tố
银,yín,silver,bạc
英俊,yīng jùn,handsome,đẹp trai
英雄,yīng xióng,hero,anh hùng
迎接,yíng jiē,to meet,gặp gỡ
营养,yíng yǎng,nutrition,dinh dưỡng
营业,yíng yè,to do business,để kinh doanh
影子,yǐng zi,shadow,bóng tối
硬币,yìng bì,coin,đồng xu
硬件,yìng jiàn,hardware,phần cứng
应付,yìng fu,to deal with,để đối phó với
应聘,yìng pìn,to accept a job offer,chấp nhận lời mời làm việc
应用,yìng yòng,to use,sử dụng
拥抱,yōng bào,to embrace,ôm hôn
拥挤,yōng jǐ,crowded,đông đúc
勇气,yǒng qì,courage,lòng can đảm
用途,yòng tú,use,sử dụng
优惠,yōu huì,preferential,ưu đãi
优美,yōu měi,graceful,duyên dáng
优势,yōu shì,superiority,tính ưu việt
悠久,yōu jiǔ,established,thành lập
邮局,yóu jú,post office,bưu điện
游览,yóu lǎn,to go sight-seeing,đi tham quan
油炸,yóu zhá,to deep fry,chiên ngập dầu
犹豫,yóu yù,to hesitate,do dự
有利,yǒu lì,advantageous,thuận lợi
幼儿园,yòu ér yuán,kindergarten,mẫu giáo
娱乐,yú lè,to entertain,để giải trí
与其,yǔ qí,rather than...,còn hơn là...
语气,yǔ qì,tone,giai điệu
宇宙,yǔ zhòu,universe,vũ trụ
预报,yù bào,forecast,dự báo
预订,yù dìng,to place an order,để đặt hàng
预防,yù fáng,to prevent,để ngăn chặn
玉米,yù mǐ,corn,ngô
元旦,yuán dàn,New Year's Day,ngày đầu năm mới
原料,yuán liào,raw material,nguyên liệu thô
原则,yuán zé,principle,nguyên tắc
缘故,yuán gù,reason,lý do
愿望,yuàn wàng,desire,sự mong muốn
晕,yūn,confused,bối rối
运气,yùn qi,luck (good or bad),may mắn (tốt hay xấu)
运输,yùn shū,transport,chuyên chở
运用,yùn yòng,to use,sử dụng
灾害,zāi hài,disastrous damage,thiệt hại thảm khốc
再三,zài sān,over and over again,hết lần này đến lần khác
赞成,zàn chéng,to approve,phê duyệt
赞美,zàn měi,to admire,ngưỡng mộ
糟糕,zāo gāo,too bad,quá tệ
造成,zào chéng,to bring about,mang lại
则,zé,conjunction used to express contrast with a previous sentence or clause,liên từ dùng để diễn đạt sự tương phản với câu hoặc mệnh đề trước đó
责备,zé bèi,to blame,đổ lỗi
摘,zhāi,to take,lấy
粘贴,zhān tiē,to stick,dính vào
展开,zhǎn kāi,to unfold,mở ra
展览,zhǎn lǎn,to put on display,để trưng bày
战争,zhàn zhēng,war,chiến tranh
占线,zhàn xiàn,busy (telephone line),bận (đường dây điện thoại)
涨,zhǎng,to rise (of prices,tăng (của giá
掌握,zhǎng wò,to grasp (often fig.),để nắm bắt (thường là hình.)
账户,zhàng hù,bank account,tài khoản ngân hàng
招待,zhāo dài,to receive (guests),tiếp nhận (khách)
着凉,zháo liáng,to catch cold,bị cảm lạnh
照常,zhào cháng,(business etc) as usual,"(kinh doanh, v.v.) như thường lệ"
召开,zhào kāi,to convene (a conference or meeting),triệu tập (một hội nghị hoặc cuộc họp)
哲学,zhé xué,philosophy,triết lý
真理,zhēn lǐ,truth,sự thật
真实,zhēn shí,true,ĐÚNG VẬY
针对,zhēn duì,to be directed against,được chỉ đạo chống lại
珍惜,zhēn xī,to treasure,kho báu
诊断,zhěn duàn,diagnosis,chẩn đoán
枕头,zhěn tou,pillow,cái gối
阵,zhèn,disposition of troops,bố trí quân đội
振动,zhèn dòng,vibration,rung động
睁,zhēng,to open (one's eyes),mở (mắt của một người)
争论,zhēng lùn,to argue,tranh luận
争取,zhēng qǔ,to fight for,để đấu tranh cho
征求,zhēng qiú,to solicit,để gạ gẫm
整个,zhěng gè,whole,trọn
整体,zhěng tǐ,whole entity,toàn bộ thực thể
正,zhèng,just (right),chỉ (đúng)
政策,zhèng cè,policy,chính sách
政府,zhèng fǔ,government,chính phủ
政治,zhèng zhì,politics,chính trị
证件,zhèng jiàn,paperwork,giấy tờ
证据,zhèng jù,evidence,chứng cớ
挣钱,zhèng qián,to make money,để kiếm tiền
支,zhī,to support,để hỗ trợ
支票,zhī piào,check (bank),séc (ngân hàng)
直,zhí,straight,thẳng
执行,zhí xíng,to implement,để thực hiện
执照,zhí zhào,a license,giấy phép
指导,zhǐ dǎo,to guide,hướng dẫn
指挥,zhǐ huī,to conduct,tiến hành
制定,zhì dìng,to draw up,vẽ lên
制度,zhì dù,system (e.g. political,hệ thống (ví dụ: chính trị
制作,zhì zuò,to make,làm
智慧,zhì huì,wisdom,khôn ngoan
至今,zhì jīn,so far,cho đến nay
至于,zhì yú,as for,đối với
治疗,zhì liáo,to treat,để điều trị
志愿者,zhì yuàn zhě,volunteer,tình nguyện viên
秩序,zhì xù,order (orderly),trật tự (có trật tự)
钟,zhōng,clock,cái đồng hồ
中介,zhōng jiè,to act as intermediary,đóng vai trò trung gian
中心,zhōng xīn,center,trung tâm
中旬,zhōng xún,middle third of a month,thứ ba giữa tháng
重,zhòng,heavy,nặng
重量,zhòng liàng,weight,cân nặng
周到,zhōu dao,thoughtful,chu đáo
逐步,zhú bù,progressively,dần dần
竹子,zhú zi,bamboo,cây tre
煮,zhǔ,to cook,nấu ăn
主持,zhǔ chí,to take charge of,phụ trách
主观,zhǔ guān,subjective,chủ quan
主人,zhǔ rén,master,bậc thầy
主席,zhǔ xí,chairperson,chủ tịch
主张,zhǔ zhāng,to advocate,biện hộ
嘱咐,zhǔ fù,to tell,kể
祝福,zhù fú,blessings,phước lành
注册,zhù cè,to register,đăng ký
抓紧,zhuā jǐn,to grasp firmly,nắm chắc
专家,zhuān jiā,expert,chuyên gia
专心,zhuān xīn,to concentrate,tập trung
转变,zhuǎn biàn,to change,thay đổi
转告,zhuǎn gào,to pass on,để vượt qua
装,zhuāng,adornment,đồ trang sức
装饰,zhuāng shì,to decorate,để trang trí
状况,zhuàng kuàng,condition,tình trạng
状态,zhuàng tài,state of affairs,tình trạng
追求,zhuī qiú,to pursue (a goal etc) stubbornly,"theo đuổi (một mục tiêu, v.v.) một cách bướng bỉnh"
资格,zī gé,qualifications,bằng cấp
资金,zī jīn,funds,quỹ
资料,zī liào,material,vật liệu
资源,zī yuán,natural resource (such as water or minerals),tài nguyên thiên nhiên (như nước hoặc khoáng sản)
姿势,zī shì,posture,tư thế
