"expression","reading","meaning","tags","guid","meaning_vi"
"気圧","きあつ","atmospheric pressure","JLPT JLPT_2","w71unwo/e>","áp suất khí quyển"
"着替え","きがえ","changing clothes, change of clothes","JLPT JLPT_2","vi{&DRUjwE","thay quần áo, thay quần áo"
"着替える","きがえる","to change (one's) clothes","JLPT Intermediate_Japanese JLPT_2 Genki Intermediate_Japanese_Ln.10 Genki_Ln.21","Az6,#K9!yB","thay quần áo (của một người)"
"機関車","きかんしゃ","locomotive, engine","JLPT JLPT_2","dyq%>=g>@K","đầu máy, động cơ"
"飢饉","ききん","famine","JLPT JLPT_2","of0kMjM40p","nạn đói"
"器具","きぐ","instrument","JLPT JLPT_2","f04oZ+_FOX","dụng cụ"
"期限","きげん","term, period, time frame time limit, deadline, cutoff (date)","JLPT JLPT_2","hwqzFcU1,$","thời hạn, khoảng thời gian, khung thời gian, thời hạn, thời hạn (ngày)"
"記号","きごう","symbol, code","JLPT JLPT_2","NF?>3T^,JP","ký hiệu, mã"
"刻む","きざむ","to mince, to carve, to engrave","JLPT JLPT_2","LlS,o9O&r1","băm nhỏ, khắc, khắc"
"儀式","ぎしき","ceremony, rite, ritual","JLPT JLPT_2","KIl/;heLfD","buổi lễ, nghi thức, nghi thức"
"基準","きじゅん","standard, basis, criteria","JLPT JLPT_2","l&fXwd/g5#","tiêu chuẩn, cơ sở, tiêu chuẩn"
"規準","きじゅん","standard, basis, criteria","JLPT JLPT_2","Efh]$;|u`t","tiêu chuẩn, cơ sở, tiêu chuẩn"
"起床","きしょう","rising, getting out of bed","JLPT JLPT_2","fOY,Ghbw-s","đứng dậy, ra khỏi giường"
"着せる","きせる","to put on clothes","JLPT JLPT_2","NKt/PdYQsd","mặc quần áo"
"基礎","きそ","foundation, basis","JLPT JLPT_2","IMHZY>OvkD","nền tảng, cơ sở"
"基地","きち","base","JLPT JLPT_2","I7{+B~;-Cv","căn cứ"
"きっかけ","きっかけ","prompt, trigger, cue","JLPT JLPT_2","e9iq#7`z5g","nhắc nhở, kích hoạt, gợi ý"
"切っ掛け","きっかけ","chance, start, cue, excuse, motive, impetus, occassion","JLPT JLPT_2","sY5&<lP/:_","cơ hội, khởi đầu, gợi ý, lý do, động cơ, động lực, dịp"
"ぎっしり","ぎっしり","tightly, fully","JLPT JLPT_2","roF`vi5#iH","chặt chẽ, đầy đủ"
"基盤","きばん","foundation, basis","JLPT JLPT_2","Q#hD0![*dh","nền tảng, cơ sở"
"客席","きゃくせき","guest seating","JLPT JLPT_2","oKF%:%YXd4","chỗ ngồi của khách"
"客間","きゃくま","parlor, guest room","JLPT JLPT_2","PWjQKkx$-q","phòng khách, phòng khách"
"ギャング","ギャング","gang","JLPT JLPT_2","rmu8iNTz;H","băng đảng"
"キャンパス","キャンパス","campus","JLPT JLPT_2","me;5WQ2vTb","khuôn viên đại học"
"休業","きゅうぎょう","closure, shutdown, holiday","JLPT JLPT_2","oX~(4uE=OX","đóng cửa, tắt máy, nghỉ lễ"
"休講","きゅうこう","lecture canceled","JLPT JLPT_2","IblG6P2b4^","bài giảng bị hủy"
"休息","きゅうそく","rest, relief, relaxation","JLPT JLPT_2","mFQb-ci%=n","nghỉ ngơi, nhẹ nhõm, thư giãn"
"給与","きゅうよ","salary","JLPT JLPT_2","PCn?h_u$qZ","lương"
"休養","きゅうよう","rest, break, recreation","JLPT JLPT_2","RcKyI3I]Oc","nghỉ ngơi, giải lao, giải trí"
"清い","きよい","clear, pure, noble","JLPT JLPT_2","Gl5ERuBRxp","rõ ràng, trong sáng, cao quý"
"強化","きょうか","strengthen, intensify, reinforce","JLPT JLPT_2","uXIPpdZC1R","tăng cường, tăng cường, tăng cường"
"境界","きょうかい","boundary","JLPT JLPT_2","j7=Rl[TZ[~","ranh giới"
"共産～","きょうさん～","communist ~","JLPT JLPT_2","j8+=)[q7=i","cộng sản ~"
"行事","ぎょうじ","event, function","JLPT JLPT_2","H,ijyT4Xeg","sự kiện, chức năng"
"恐縮","きょうしゅく","sorry to trouble","JLPT JLPT_2","zQMs(1T)5O","xin lỗi đã làm phiền"
"教養","きょうよう","culture, education, sophistication","JLPT JLPT_2","z>(b`0D^UW","văn hóa, giáo dục, tinh tế"
"行列","ぎょうれつ","line, procession; matrix (math)","JLPT JLPT_2","NW3kj#3*Pp","dòng, rước; ma trận (toán học)"
"漁業","ぎょぎょう","fishing (industry)","JLPT JLPT_2","oFZ3yBC.8y","đánh cá (công nghiệp)"
"曲線","きょくせん","curve","JLPT JLPT_2","iDUc0okp@!","đường cong"
"規律","きりつ","order, rules, law","JLPT JLPT_2","qH%%&6n|uU","trật tự, quy tắc, pháp luật"
"斬る","きる","to behead, to murder","JLPT JLPT_2","npLP+:S/ui","chặt đầu, giết người"
"気を付ける","きをつける","to be careful, to pay attention, to take care","JLPT JLPT_2","KJo;WsH_ui","để ý, để ý, để ý"
"琴","きん","13-string Japanese zither","JLPT JLPT_2","ze/Aoh1sN#","Đàn tam thập lục Nhật Bản 13 dây"
"金魚","きんぎょ","goldfish","JLPT JLPT_2","f4r;e>P:iY","cá vàng"
"クーラー","クーラー","air conditioner","JLPT JLPT_2","m[g>=z]wN/","điều hòa không khí"
"区域","くいき","zone, district, area","JLPT JLPT_2","fYQq7`cNuc","khu, quận, khu vực"
"空～","くう～","empty ~","JLPT JLPT_2","A&!JE@t/D3","trống rỗng ~"
"偶数","ぐうすう","even number","JLPT JLPT_2","iw7<JlzmC,","số chẵn"
"空想","くうそう","daydream, fantasy","JLPT JLPT_2","H5ov7CW8[y","mơ mộng, ảo tưởng"
"空中","くうちゅう","sky, air","JLPT JLPT_2","A;^pVv^)~a","bầu trời, không khí"
"釘","くぎ","nail","JLPT JLPT_2","Gb>Lz*bq3+","móng tay"
"区切る","くぎる","to punctuate, to cut off, to mark off","JLPT JLPT_2","s|j=prYd&B","chấm câu, cắt đứt, đánh dấu"
"櫛","くし","comb","JLPT JLPT_2","dzg}!o26=)","cái lược"
"くしゃみ","くしゃみ","sneeze","JLPT JLPT_2","jgl;4q1>wE","hắt hơi"
"苦情","くじょう","complaint, grievance, grumble","JLPT JLPT_2","GDdlB.2)],","phàn nàn, phàn nàn, càu nhàu"
"苦心","くしん","pain, trouble","JLPT JLPT_2","scKS9[]M|w","đau đớn, rắc rối"
"屑","くず","waste, scrap","JLPT JLPT_2","BqN1|GlY;b","chất thải, mảnh vụn"
"崩す","くずす","to destroy, to make change (money)","JLPT JLPT_2","m%M5UejA$^","phá hủy, làm thay đổi (tiền)"
"薬指","くすりゆび","ring finger","JLPT JLPT_2","lPy;T<L~6G","ngón đeo nhẫn"
"崩れる","くずれる","to collapse, to crumble","JLPT JLPT_2","cC8vUqHlPz","sụp đổ, sụp đổ"
"砕く","くだく","to break, to smash","JLPT JLPT_2","wiAgy$Rvgg","đập vỡ, đập vỡ"
"砕ける","くだける","to break, to be broken","JLPT JLPT_2","I_dH|P3phU","phá vỡ, bị phá vỡ"
"くたびれる","くたびれる","to get tired, to wear out","JLPT JLPT_2","G(IR)z:5pO","làm mệt mỏi, kiệt sức"
"くだらない","くだらない","good-for-nothing, stupid, worthless","JLPT JLPT_2","A~U,=Hx4eT","vô dụng, ngu ngốc, vô giá trị"
"下る","くだる","to descend, to go down, to come down","JLPT JLPT_2","x;r#pjjP.D","đi xuống, đi xuống, đi xuống"
"唇","くちびる","lip","JLPT JLPT_2","Ojx~b|>9H|","môi"
"口紅","くちべに","lipstick","JLPT JLPT_2","tS@_TWWY!2","cây son"
"くっつく","くっつく","to adhere to, to keep close to","JLPT JLPT_2","oS}[QfJCGM","bám vào, bám sát vào"
"くっつける","くっつける","to attach","JLPT JLPT_2","oyj+vcm-!3","để đính kèm"
"くどい","くどい","verbose, importunate, heavy (taste)","JLPT JLPT_2","hrEZ=;H,}N","dài dòng, khẩn khoản, nặng nề (hương vị)"
"句読点","くとうてん","punctuation marks","JLPT JLPT_2","l-RV08NZgs","dấu chấm câu"
"配る","くばる","to distribute, to deliver","JLPT JLPT_2","lXb3hdtDlZ","phân phối, giao hàng"
"工夫","くふう","device, artifice, ingenuity","JLPT JLPT_2","H+)pz^uf{J","thiết bị, sự khéo léo, sự khéo léo"
"区分","くぶん","division, section, classification","JLPT JLPT_2","F<dg-k3#W>","phân chia, phần, phân loại"
"組合せ","くみあわせ","combination","JLPT JLPT_2","Bg89BEb&%-","sự kết hợp"
"組み立てる","くみたてる","to assemble, to set up, to construct","JLPT JLPT_2","v|l>4TT$)t","lắp ráp, thiết lập, xây dựng"
"悔やむ","くやむ","to regret, to mourn","JLPT JLPT_2 Intermediate_Japanese Intermediate_Japanese_Ln.11","H!N`qFr_#7","hối tiếc, than khóc"
"クリーニング","クリーニング","cleaning, dry cleaning, laundry service","JLPT JLPT_2","i[]|N=O%MV","dịch vụ giặt ủi, giặt khô, giặt ủi"
"くるむ","くるむ","to be enveloped by, to wrap up","JLPT JLPT_2","BR}5xbe,nI","được bao bọc bởi, để bọc lại"
"くれぐれも","くれぐれも","repeatedly, sincerely, earnestly","JLPT JLPT_2","Fa/6^Kk;|O","nhiều lần, chân thành, nghiêm túc"
"郡","ぐん","district, county","JLPT JLPT_2","bbr::y1BwQ","huyện, quận"
"稽古","けいこ","practice, training, study","JLPT JLPT_2","j8X.KY|=u:","luyện tập, rèn luyện, học tập"
"敬語","けいご","honorific language (lit., respect language)","JLPT Intermediate_Japanese Genki_Ln.19 JLPT_2 Intermediate_Japanese_Ln.13 Genki","yjE)OYPe3Q","ngôn ngữ kính trọng (lit., ngôn ngữ tôn trọng)"
"蛍光灯","けいこうとう","fluorescent lamp","JLPT JLPT_2","QTW-;W~W,r","đèn huỳnh quang"
"形式","けいしき","form, formality, format","JLPT JLPT_2","Ab_)N~*$PV","hình thức, hình thức, hình thức"
"継続","けいぞく","continuation","JLPT JLPT_2","CaHy~Z7JH4","sự tiếp tục"
"毛糸","けいと","knitting wool","JLPT JLPT_2","Gb?267tT>>","đan len"
"経度","けいど","longitude","JLPT JLPT_2","Av7~pbz~Hq","kinh độ"
"系統","けいとう","system, genealogy","JLPT JLPT_2","Q-55n75c-r","hệ thống, phả hệ"
"芸能","げいのう","public entertainment, performing arts","JLPT JLPT_2","f.Hh_!4j.)","giải trí công cộng, biểu diễn nghệ thuật"
"競馬","けいば","horse racing","JLPT JLPT_2","n:NmLS-y><","đua ngựa"
"警備","けいび","defense, guard, policing, security","JLPT JLPT_2","G/A=@_E]L]","quốc phòng, bảo vệ, cảnh sát, an ninh"
"形容詞","けいようし","adjective","JLPT JLPT_2","cL`y[jUOq<","tính từ"
"形容動詞","けいようどうし","adjectival noun, quasi-adjective","JLPT JLPT_2","uV+nfBdxmh","danh từ tính từ, gần tính từ"
"外科","げか","surgical department","JLPT JLPT_2","E>G.GzTwL/","khoa phẫu thuật"
"毛皮","けがわ","fur, skin, pelt","JLPT JLPT_2","c{EG;%-8)#","lông, da, tấm da"
"激増","げきぞう","sudden increase","JLPT JLPT_2","yz;Sw2]1o2","tăng đột ngột"
"下車","げしゃ","alighting, getting off","JLPT JLPT_2","s3V^Z_7&3=","xuống xe, xuống xe"
"下旬","げじゅん","month (last third of)","JLPT JLPT_2","ydXtTo$/3C","tháng (thứ ba cuối cùng của)"
"下水","げすい","drainage, sewage, ditch, gutter, sewerage","JLPT JLPT_2","kv>S4!V~UF","hệ thống thoát nước, nước thải, mương, máng xối, hệ thống thoát nước"
"削る","けずる","to cut down little by little, to take a percentage","JLPT JLPT_2","b>,#]bkBBs","cắt giảm từng chút một, lấy một tỷ lệ phần trăm"
"桁","けた","column, beam, digit","JLPT JLPT_2","h3Lj0KDxA;","cột, chùm, chữ số"
"下駄","げた","(Japanese footwear), wooden clogs","JLPT JLPT_2","Lsi@O2Lyg^","(giày Nhật), guốc gỗ"
"血圧","けつあつ","blood pressure","JLPT JLPT_2","gAl*9Gbi)S","huyết áp"
"月給","げっきゅう","monthly salary","JLPT JLPT_2","HF>n5v#}UC","lương hàng tháng"
"傑作","けっさく","masterpiece, best work","JLPT JLPT_2","Cv}k6t8gW-","kiệt tác, tác phẩm hay nhất"
"月末","げつまつ","end of the month","JLPT JLPT_2","yG[@;%)^%!","cuối tháng"
"気配","けはい","indication, sign, hint","JLPT JLPT_2","vEl!:!Y]<7","dấu hiệu, dấu hiệu, gợi ý"
"下品","げひん","vulgar, indecent, coarse","JLPT JLPT_2","Mu42*K8+!p","thô tục, không đứng đắn, thô lỗ"
"下品(な)","げひん(な)","vulgar","JLPT JLPT_2","OV!SBP%Y;}","thô tục"
"煙い","けむい","smoky","JLPT JLPT_2","jZ9K)#wLUe","có khói"
"険しい","けわしい","steep, rugged; severe","JLPT JLPT_2","sL2hQ27Y;>","dốc, gồ ghề; nghiêm trọng"
"現～","げん～","present, incumbent","JLPT JLPT_2","j5m@yw%F5s","hiện tại, đương nhiệm"
"見学","けんがく","tour, study by observation","JLPT JLPT_2","AGWPud)jCW","tham quan, nghiên cứu bằng quan sát"
"謙虚","けんきょ","modesty, humble","JLPT JLPT_2","dX|trSe.K0","sự khiêm tốn, khiêm nhường"
"原稿","げんこう","manuscript, copy","JLPT JLPT_2","tF(k44d8V3","bản thảo, bản sao"
"原産","げんさん","place of origin","JLPT JLPT_2","oEB|tzMZJ~","nơi xuất xứ"
"原始","げんし","origin, primeval","JLPT JLPT_2","omD?4Zjs@O","nguồn gốc, nguyên thủy"
"研修","けんしゅう","training","JLPT JLPT_2","GG4]qYN81r","đào tạo"
"厳重","げんじゅう","strict, severe, firm","JLPT JLPT_2","v!xFiav6KX","nghiêm khắc, nghiêm khắc, cứng rắn"
"謙遜","けんそん","humble, humility, modesty","JLPT JLPT_2","<K5$n`CYI","khiêm tốn, khiêm tốn, khiêm tốn"
"県庁","けんちょう","prefectural office","JLPT JLPT_2","zvZL32PgqO","văn phòng tỉnh"
"限度","げんど","limit, bounds","JLPT JLPT_2","JA`c9FaS}R","giới hạn, giới hạn"
"現に","げんに","actually, really","JLPT JLPT_2","u,j=UO^+?,","thực sự, thực sự"
"顕微鏡","けんびきょう","microscope","JLPT JLPT_2","sxMC{StEnT","kính hiển vi"
"懸命","けんめい","eagerness, strenuous","JLPT JLPT_2","q]z=kgzWuF","sự háo hức, vất vả"
"原理","げんり","principle, theory, fundamental truth","JLPT JLPT_2","k&wukQ5nce","nguyên tắc, lý thuyết, sự thật cơ bản"
"原料","げんりょう","raw materials","JLPT JLPT_2","c@Y5nO/W2_","nguyên liệu thô"
"碁","ご","go (board game)","JLPT JLPT_2","rtF@zQN<F]","đi (trò chơi cờ bàn)"
"小～","こ～","small ~","JLPT JLPT_2","nc*Pi>[z&(","nhỏ ~"
"コース","コース","course","JLPT JLPT_2","oysa|(e$-M","khóa học"
"コーラス","コーラス","chorus","JLPT JLPT_2","Humxyi-3mI","điệp khúc"
"恋しい","こいしい","dear, beloved; to miss","JLPT JLPT_2","B6>l>%o=|:","thân yêu, yêu quý; bỏ lỡ"
"高～","こう～","high (level) ~","JLPT JLPT_2","D00VmIU)t|","cao (cấp độ) ~"
"工員","こういん","factory worker","JLPT JLPT_2","vkV[De+:pH","công nhân nhà máy"
"強引","ごういん","forcible, assertive, pushy","JLPT JLPT_2","sKp0o2A:hc","ép buộc, quyết đoán, thúc đẩy"
"公害","こうがい","public nuisance, pollution","JLPT JLPT_2","QpY.UtLIJ[","phiền toái, ô nhiễm công cộng"
"高級","こうきゅう","high class; first-rate","Intermediate_Japanese_Ln.6 JLPT_2 JLPT Intermediate_Japanese","ft;T5?9HzM","cao cấp; hạng nhất"
"公共","こうきょう","public, community, communal","JLPT JLPT_2","sgv0$[#74*","công cộng, cộng đồng, cộng đồng"
"工芸","こうげい","industrial arts","JLPT JLPT_2","Bwh|-zOd@t","nghệ thuật công nghiệp"
"孝行","こうこう","filial piety","JLPT JLPT_2","qZRbxu/C>i","lòng hiếu thảo"
"交差","こうさ","cross","JLPT JLPT_2","fDo8@&J]V,","đi qua"
"講師","こうし","lecturer","JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese","zd6hLYf74N","giảng viên"
"工事","こうじ","construction work","JLPT JLPT_2","I]-Fc)+f`5","công trình xây dựng"
"公式","こうしき","formula, formality, official","JLPT JLPT_2","nVcCuyV_X,","công thức, hình thức, chính thức"
"口実","こうじつ","excuse","JLPT JLPT_2","f`zk^AisY[","thứ lỗi"
"こうして","こうして","like this, with this","JLPT JLPT_2","ur#5.<4sqd","như thế này, với cái này"
"校舎","こうしゃ","school building, schoolhouse","JLPT JLPT_2","bX%cC*?a1%","xây dựng trường học, ngôi trường"
"公衆","こうしゅう","the public","JLPT JLPT_2","bE}u4]$3>(","công chúng"
"香水","こうすい","perfume","JLPT JLPT_2","o.:4b?]N+f","nước hoa"
"公正","こうせい","justice, fairness, impartiality","JLPT JLPT_2","N@!)sH2_75","sự công bằng, sự công bằng, sự công bằng"
"功績","こうせき","achievements, merit","JLPT JLPT_2","OI:=[B.(~f","thành tích, công đức"
"光線","こうせん","beam, light ray","JLPT JLPT_2","ter3YDX-e<","chùm tia, tia sáng"
"高層","こうそう","tall, high rise","JLPT JLPT_2","AyG~sZay?6","cao, cao tầng"
"構造","こうぞう","structure, construction","JLPT JLPT_2","hQ&6u.oz?k","kết cấu, xây dựng"
"交替","こうたい","change, relief, alteration","JLPT JLPT_2","MK%iQJeoa*","thay đổi, nhẹ nhõm, thay đổi"
"交代","こうたい","alternation, change, relief, relay, shift, substitution (sports, etc.), taking turns","JLPT JLPT_2","f~GJ18sE+w","luân phiên, thay đổi, cứu trợ, tiếp sức, đổi ca, thay người (thể thao, v.v.), thay phiên nhau"
"耕地","こうち","arable land","JLPT JLPT_2","k*|BtPi.!l","đất canh tác"
"交通機関","こうつうきかん","transportation facilities","JLPT JLPT_2","uNV6#=3}0=","phương tiện vận chuyển"
"校庭","こうてい","school yard","JLPT JLPT_2","w[Wu+:]Zss","sân trường"
"肯定","こうてい","positive, affirmation","JLPT JLPT_2","oZ3[Bf(H{{","tích cực, khẳng định"
"高度","こうど","altitude, height; advanced","JLPT JLPT_2","CQAS#*&&=/","độ cao, chiều cao; trình độ cao"
"高等","こうとう","high class, high grade","JLPT JLPT_2","dbk]Zc:3rz","cao cấp, cao cấp"
"合同","ごうどう","combination, incorporation","JLPT JLPT_2","c!+-6kS6~S","sự kết hợp, sự sáp nhập"
"高等学校","こうとうがっこう","senior high school","JLPT JLPT_2","k>`;igc0Pv","trường trung học phổ thông"
"公表","こうひょう","official announcement, proclamation","JLPT JLPT_2","Frp(j`FqPK","thông báo chính thức, tuyên bố"
"鉱物","こうぶつ","mineral","JLPT JLPT_2","g7V_q,WB=T","khoáng sản"
"公務","こうむ","official business, public business","JLPT JLPT_2","ph__$$f`>`","kinh doanh chính thức, kinh doanh công cộng"
"項目","こうもく","item","JLPT JLPT_2","IR)]Uw=>ew","mục"
"紅葉","こうよう","fall colors (of leaves)","Intermediate_Japanese_Ln.4 JLPT JLPT_2 Intermediate_Japanese","QVPJ]RT}3i","màu sắc mùa thu (của lá)"
"こうよう もみじ","こうよう もみじ","(Japanese) maple","JLPT JLPT_2","jyNUL2Cq@*","(tiếng Nhật) cây phong"
"合理","ごうり","rational","JLPT JLPT_2","i7M&H:#flC","hợp lý"
"交流","こうりゅう","exchange; alternating current","JLPT JLPT_2","QGlx1yaY72","trao đổi; dòng điện xoay chiều"
"合流","ごうりゅう","confluence, merge, join","JLPT JLPT_2","FQa#d;SBEZ","hợp lại, hợp nhất, nối vào"
"効力","こうりょく","effect, efficacy","JLPT JLPT_2","m[c_>TpG7t","tác dụng, hiệu quả"
"焦がす","こがす","to burn, to scorch","JLPT JLPT_2","DR^K9TVHMB","đốt cháy, làm cháy xém"
"国王","こくおう","king","JLPT JLPT_2","CA0:(YU5WC","nhà vua"
"こくせき","こくせき","nationality","JLPT JLPT_2","Ew(}`1|Q5L","quốc tịch"
"国立","こくりつ","national","JLPT JLPT_2","n0&v0]`V#?","quốc gia"
"ご苦労様","ごくろうさま","Thank you for your hard work","JLPT JLPT_2","t%p^_:OJ|i","Cảm ơn bạn đã làm việc chăm chỉ"
"焦げる","こげる","to burn, to be burned","JLPT JLPT_2","inwlPXnA$z","đốt, bị đốt"
"凍える","こごえる","to freeze, to be chilled, to be frozen","JLPT JLPT_2","L+KY/9pga6","bị đóng băng, bị đóng băng, bị đóng băng"
"心当たり","こころあたり","having some knowledge of, happening to know","JLPT JLPT_2","d$_UA7~;A}","có một số kiến ​​thức về, tình cờ biết được"
"心得る","こころえる","to understand, to have thorough knowledge","JLPT JLPT_2","nby@b2~VRE","hiểu biết, có kiến ​​thức sâu sắc"
"腰掛け","こしかけ","seat, bench","JLPT JLPT_2","B.?hce;|M.","chỗ ngồi, băng ghế"
"腰掛","こしかけ","seat, bench","JLPT JLPT_2","E&fvprgdQl","chỗ ngồi, băng ghế"
"腰掛ける","こしかける","to sit (down)","JLPT JLPT_2","C/%Q;o7b11","ngồi (xuống)"
"五十音","ごじゅうおん","the Japanese syllabary","JLPT JLPT_2","jxVh59#|-M","âm tiết tiếng nhật"
"こしらえる","こしらえる","to make, to manufacture","JLPT JLPT_2","i-3W|?L%O1","làm, chế tạo"
"擦る","こする","to rub, to chafe, to file, to frost (glass), to strike (match)","JLPT JLPT_2","P#|X3kVk2a","chà xát, chà xát, dũa, làm mờ (kính), đánh (diêm)"
"個体","こたい","an individual","JLPT JLPT_2","K@FOqw]g/=","một cá nhân"
"ごちそうさま","ごちそうさま","Thank you for the meal","JLPT JLPT_2","Jul:^;Dy``","Cảm ơn vì bữa ăn"
"こちらこそ","こちらこそ","it is I who should say so","JLPT JLPT_2","B-I}wWoF~[","chính tôi mới là người phải nói như vậy"
"小遣い","こづかい","pocket money, allowance","JLPT JLPT_2","Mi}UDGGnPb","tiền tiêu vặt, tiền tiêu vặt"
"コック","コック","cook; tap, cock","JLPT JLPT_2","IM?]qPl^[d","đầu bếp; vòi, vòi"
"こっそり","こっそり","stealthily, secretly","JLPT JLPT_2","o.yZt_~llY","một cách lén lút, bí mật"
"古典","こてん","classics, classic","JLPT JLPT_2","o,g/8g3=5w","kinh điển, cổ điển"
"言付ける","ことづける","to leave a message","JLPT JLPT_2","kGvj%:f4#<","để lại tin nhắn"
"言葉遣い","ことばづかい","speech, expression, wording","JLPT JLPT_2","I8U([];a3j","lời nói, cách diễn đạt, cách diễn đạt"
"こないだ","こないだ","the other day, lately, recently","JLPT JLPT_2","JgsjMc&2iB","hôm nọ, gần đây, gần đây"
"御無沙汰","ごぶさた","not writing or contacting for a while","JLPT JLPT_2","h*n>sYK!3z","không viết hoặc liên lạc trong một thời gian"
"ゴム","ゴム","gum, rubber","JLPT JLPT_2","oFg|-D}k2~","kẹo cao su, cao su"
"御免","ごめん","declining (something); pardon, sorry","JLPT JLPT_2","o2=%ufIq+G","suy giảm (cái gì đó); xin lỗi, xin lỗi"
"ごめんください","ごめんください","May I come in, Is anyone here","JLPT JLPT_2","guZ7b6UJ;s","Tôi vào được không, có ai ở đây không"
"小指","こゆび","little finger","JLPT JLPT_2","l.YopEDJ!I","ngón tay út"
"堪える","こらえる","to bear, to endure, to put up with","JLPT JLPT_2","hM1GeQIR^s","chịu đựng, chịu đựng, chịu đựng"
"娯楽","ごらく","pleasure, amusement, recreation","JLPT JLPT_2","tFNg*5LjGq","niềm vui, sự giải trí, sự giải trí"
"御覧","ごらん","(hon.) look, inspection, try","JLPT JLPT_2","pLv<:y@zpf","(hon.) nhìn, kiểm tra, thử"
"コレクション","コレクション","collection; correction","JLPT JLPT_2","H}>p%NJ>aq","bộ sưu tập; sự sửa chữa"
"転がす","ころがす","to roll","JLPT JLPT_2","d5Iyiq5t}5","cuộn"
"転がる","ころがる","to roll, to tumble","JLPT JLPT_2","u0s)#a{$F&","lăn, nhào lộn"
"紺","こん","navy blue, deep blue","JLPT JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese","P;kAa8K;qq","xanh nước biển, xanh đậm"
"今～","こん～","this, current","JLPT JLPT_2","lXSg,J@v4n","cái này, hiện tại"
"コンクール","コンクール","contest (FRE: concours)","JLPT JLPT_2","O:S`(}<v)K","cuộc thi (FRE: concours)"
"コンクリート","コンクリート","concrete","JLPT JLPT_2","lEhN4;/BMM","bê tông"
"混合","こんごう","mixing, mixture","JLPT JLPT_2","IMB+$DZG1H","trộn, hỗn hợp"
"コンセント","コンセント","consent; power outlet","JLPT JLPT_2","d{^OuMbhJw","bằng lòng; ổ cắm điện"
"献立","こんだて","menu","JLPT JLPT_2","Nuu_A~-?pe","thực đơn"
"こんばんは","こんばんは","good evening","JLPT JLPT_2","lL0e]&K7U?","Chào buổi tối"
"サークル","サークル","circle, sports club (e.g., at a company)","JLPT JLPT_2","H[N:3J2F+>","vòng tròn, câu lạc bộ thể thao (ví dụ: tại một công ty)"
"再～","さい～","re ~","JLPT JLPT_2","eK[KX|A&U*","lại ~"
"最～","さい～","the most ~","JLPT JLPT_2","ry(m3m#pOU","nhất ~"
"在学","ざいがく","(enrolled) in school","JLPT JLPT_2","b)R1W8]IN[","(đăng ký) vào trường"
"再三","さいさん","again and again, repeatedly","JLPT JLPT_2","yXL@E3-qW)","hết lần này đến lần khác, nhiều lần"
"祭日","さいじつ","national holiday, festival day","JLPT JLPT_2","Ol|U}K0|@/","ngày lễ quốc khánh, ngày lễ hội"
"催促","さいそく","demand, urge (action), press for","JLPT JLPT_2","w[uz5KW1#O","yêu cầu, thúc giục (hành động), thúc giục"
"採点","さいてん","marking, grading","JLPT JLPT_2","cf[<`dEms.","đánh dấu, chấm điểm"
"災難","さいなん","calamity, misfortune","JLPT JLPT_2","t+<u_pEc%l","tai họa, bất hạnh"
"裁縫","さいほう","sewing","JLPT JLPT_2","l5uxjaa~([","khâu vá"
"材木","ざいもく","lumber, timber","JLPT JLPT_2","C^wcz[@i~I","gỗ xẻ, gỗ xẻ"
"サイレン","サイレン","siren","JLPT JLPT_2","GcBu%p~IY}","còi báo động"
"逆さ","さかさ","reverse, upside down","JLPT JLPT_2","Qv$@Ku&bq3","đảo ngược, lộn ngược"
"逆様","さかさま","reverse, upside down","JLPT JLPT_2","Kss4zt#UsY","đảo ngược, lộn ngược"
"捜す","さがす","to search, to seek, to look for","JLPT JLPT_2","Id5DHZywm4","tìm kiếm, tìm kiếm, tìm kiếm"
"遡る","さかのぼる","to go back, to date back; ascend","JLPT JLPT_2","Eh_na+J@mx","quay trở lại, hẹn hò trở lại; lên"
"酒場","さかば","bar, bar-room","JLPT JLPT_2","5|=y]wzJ!","quán bar, phòng bar"
"一昨昨日","さきおととい","two days before yesterday, three days ago","JLPT JLPT_2","Gdz+)4!X77","hai ngày trước hôm qua, ba ngày trước"
"先程","さきほど","a little while ago","JLPT JLPT_2","olU114Wmm^","cách đây ít lâu"
"索引","さくいん","index, indices","JLPT JLPT_2","v|4{<K[((2","chỉ số, chỉ số"
"作者","さくしゃ","author, artist","JLPT JLPT_2","rc*1{`F2s[","tác giả, nghệ sĩ"
"削除","さくじょ","elimination, deletion","JLPT JLPT_2","w?HDbz0CK?","sự loại bỏ, sự xóa bỏ"
"作成","さくせい","creation, preparation, to make","JLPT JLPT_2","etM+H9CoJX","tạo ra, chuẩn bị, làm"
"作製","さくせい","manufacture, production","JLPT JLPT_2","Dc+`_1Q;zM","chế tạo, sản xuất"
"探る","さぐる","to search, to look for, investigate","JLPT JLPT_2","ez.n0eIW>4","tìm kiếm, tìm kiếm, điều tra"
"囁く","ささやく","to whisper, to murmur","JLPT JLPT_2","k[yB!L/Yv(","thì thầm, thì thầm"
"刺さる","ささる","to stick, to be stuck","JLPT JLPT_2","di2BW%43-n","dính, bị mắc kẹt"
"匙","さじ","spoon","JLPT JLPT_2","ggmZY%(nJ!","thìa"
