"expression","reading","meaning","tags","guid","meaning_vi"
"下す","おろす","to lower, to let go down","JLPT JLPT_2 JLPT_3","JRZI*AHd)D","hạ xuống, thả xuống"
"降ろす","おろす","to take down, to launch, to drop","JLPT JLPT_2 JLPT_3","PQD_mXy>W.","hạ xuống, phóng lên, thả xuống"
"卸す","おろす","to sell wholesale, grated (vegetables)","JLPT JLPT_2 JLPT_3","GT*kAh$cd0","bán sỉ, xay (rau củ)"
"音","おん","sound, note","JLPT JLPT_2 JLPT_3","gkN]*wY]?s","âm thanh, ghi chú"
"恩","おん","favor, obligation, debt of gratitude","JLPT JLPT_2 JLPT_3","A4Iq0-B@,;","ân huệ, nghĩa vụ, món nợ ân tình"
"温暖","おんだん","warmth","JLPT JLPT_2 JLPT_3","N&n<_QP1.Q","sự ấm áp"
"温度","おんど","temperature","JLPT JLPT_2 JLPT_3","NA1Ge#l-~k","nhiệt độ"
"可","か","passable","JLPT JLPT_2 JLPT_3","l:l&EInHym","có thể qua được"
"蚊","か","mosquito","JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21","j=4=()Uwi2","muỗi"
"課","か","department, division","JLPT JLPT_2 JLPT_3","QQ1!.:!+a[","khoa, bộ phận"
"カー","カー","car","JLPT JLPT_2 JLPT_3","o!p+_Rb<h*","xe hơi"
"カード","カード","card, curd","JLPT JLPT_2 JLPT_3","F,Np^@m5hi","thẻ, sữa đông"
"貝","かい","shell, shellfish","JLPT JLPT_2 JLPT_3","HNd6/BU{>X","vỏ, động vật có vỏ"
"害","がい","harm, damage","JLPT JLPT_2 JLPT_3","g|Fzqe^$7$","tổn hại, tổn hại"
"会員","かいいん","member, the membership","JLPT JLPT_2 JLPT_3","li]JQ4<Kd[","thành viên, thành viên"
"絵画","かいが","picture, painting","JLPT JLPT_2 JLPT_3","emKUHOyrV`","bức tranh, bức tranh"
"海外","かいがい","foreign, abroad, overseas","JLPT JLPT_2 JLPT_3","qq4=IgxkU<","nước ngoài, nước ngoài, nước ngoài"
"会計","かいけい","account, finance","JLPT JLPT_2 JLPT_3","bX?OL%f/L+","tài khoản, tài chính"
"解決","かいけつ","settlement, solution, resolution","JLPT JLPT_2 JLPT_3","rmn(v?B?3g","giải quyết, giải quyết, giải quyết"
"会合","かいごう","meeting, assembly","JLPT JLPT_2 JLPT_3","f9BQ|i/j|}","cuộc họp, sự lắp ráp"
"外交","がいこう","diplomacy","JLPT JLPT_2 JLPT_3","A]90<@ohwE","ngoại giao"
"開始","かいし","start, commencement, beginning","JLPT JLPT_2 JLPT_3","qgkolirBJK","bắt đầu, bắt đầu, bắt đầu"
"解釈","かいしゃく","explanation, interpretation","JLPT JLPT_2 JLPT_3","Ih/AkEg/|E","sự giải thích, diễn giải"
"外出","がいしゅつ","outing, going out","JLPT JLPT_2 JLPT_3","Ol@%UFQ/rD","đi chơi, đi chơi"
"改善","かいぜん","betterment, improvement","JLPT JLPT_2 JLPT_3","fv+>GYURp:","sự cải thiện, sự cải thiện"
"快適","かいてき","pleasant, agreeable","JLPT JLPT_2 JLPT_3","Bh^`k;OTy|","dễ chịu, dễ chịu"
"回復","かいふく","recovery (from illness), rehabilitation, restoration","JLPT JLPT_2 JLPT_3","wc6OB#:n9.","phục hồi (sau bệnh tật), phục hồi, phục hồi"
"飼う","かう","to keep; to own (a pet); to raise; to feed","JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki","wfURRt4tC[","giữ ; sở hữu (thú cưng); nâng cao; cho ăn"
"帰す","かえす","to send back","JLPT JLPT_2 JLPT_3","LZ<.!]FC|8","gửi lại"
"代える","かえる","to exchange, to interchange, to substitute","JLPT JLPT_2 JLPT_3","Ccj6!`~jPu","trao đổi, trao đổi, thay thế"
"替える","かえる","to exchange, to interchange, to substitute","JLPT JLPT_2 JLPT_3","Fv2F,v+u]8","trao đổi, trao đổi, thay thế"
"換える","かえる","to exchange, to interchange, to substitute","JLPT JLPT_3 JLPT_2 Genki_Ln.23 Genki","mmtj;wD(Zd","trao đổi, trao đổi, thay thế"
"反る","かえる","to warp, to be warped, to curve","JLPT JLPT_2 JLPT_3","vDLMxa,sN/","làm cong, làm cong, làm cong"
"香り","かおり","aroma, fragrance","JLPT JLPT_2 JLPT_3","me}_g<26n*","hương thơm, hương thơm"
"画家","がか","painter","JLPT JLPT_2 JLPT_3","Pl:-st.KZ+","họa sĩ"
"抱える","かかえる","to hold or carry under or in the arms","JLPT JLPT_2 JLPT_3","PQR[r=WB$,","để giữ hoặc mang theo hoặc trong vòng tay"
"価格","かかく","price, value","JLPT JLPT_2 JLPT_3","xFP@p4LxH5","giá cả, giá trị"
"化学","かがく","chemistry","JLPT JLPT_2 JLPT_3","Sh/.K7MGJ","hoá học"
"輝く","かがやく","to shine, to glitter, to sparkle","JLPT JLPT_2 JLPT_3","Dzyp)tD%e","tỏa sáng, lấp lánh, lấp lánh"
"係","かかり","person in charge","JLPT JLPT_2 JLPT_3","Q&QZSK._J<","người phụ trách"
"罹る","かかる","to suffer from","JLPT JLPT_2 JLPT_3","h_Phc0xEm%","phải chịu đựng"
"限る","かぎる","to restrict, to limit, to confine","JLPT JLPT_2 JLPT_3","Ku)jdi.uTn","hạn chế, giới hạn, giới hạn"
"掻く","かく","to scratch","JLPT JLPT_2 JLPT_3","K):N$B19m+","gãi"
"描く","かく","to draw, to depict, to describe","JLPT JLPT_2 JLPT_3","grO;5{y}I|","vẽ, mô tả, mô tả"
"嗅ぐ","かぐ","to sniff, to smell","JLPT JLPT_2 JLPT_3","vaKqc&PyP9","đánh hơi, ngửi"
"家具","かぐ","furniture","Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki","gqN}MYosw6","nội thất"
"学","がく","learning, knowledge","JLPT JLPT_2 JLPT_3","w:XhV>-rir","học tập, kiến ​​thức"
"額","がく","amount; frame","JLPT JLPT_2 JLPT_3","iG]&$wbDKv","số lượng; khung"
"覚悟","かくご","resolution, resignation, readiness","JLPT JLPT_2 JLPT_3","j/*:m6x0J)","giải quyết, từ chức, sẵn sàng"
"確実","かくじつ","certainty, reliability, soundness","JLPT JLPT_2 JLPT_3","Nzie2SM<&O","sự chắc chắn, độ tin cậy, sự chắc chắn"
"学者","がくしゃ","scholar","JLPT JLPT_2 JLPT_3","RamhNRc=y:","học giả"
"学習","がくしゅう","study, learning","JLPT JLPT_2 JLPT_3","PHg7|5Zlfd","học tập, học tập"
"隠す","かくす","to hide, to conceal","JLPT JLPT_2 JLPT_3","vMufH!:aAV","che giấu, che giấu"
"拡大","かくだい","magnification, enlargement","JLPT JLPT_2 JLPT_3","f7kQq91Ua<","phóng đại, phóng đại"
"確認","かくにん","affirmation, confirmation","JLPT JLPT_2 JLPT_3","kk{ITQ}D*5","sự khẳng định, sự xác nhận"
"学問","がくもん","scholarship, study, learning","JLPT JLPT_2 JLPT_3","Jk{+Uk9@=d","học bổng, học tập, học tập"
"隠れる","かくれる","to hide, to be hidden","JLPT JLPT_2 JLPT_3","Iv9k~&!9Sa","ẩn náu, ẩn giấu"
"影","かげ","shade, shadow, other side","JLPT JLPT_2 JLPT_3","e~q8TnSV#A","bóng râm, bóng tối, phía bên kia"
"陰","かげ","shade, shadow, other side","JLPT JLPT_2 JLPT_3","JZ1GmL8t.y","bóng râm, bóng tối, phía bên kia"
"欠ける","かける","to be lacking","JLPT JLPT_2 JLPT_3","c*r`UH]nG8","bị thiếu"
"加減","かげん","adjustment; addition and subtraction","JLPT JLPT_2 JLPT_3","h.?lP}8!)~","điều chỉnh; phép cộng và phép trừ"
"過去","かこ","past","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13","dbDE7?,;2l","quá khứ"
"籠","かご","basket, cage","JLPT JLPT_2 JLPT_3","nt-Kbv73>]","giỏ, lồng"
"囲む","かこむ","to surround, to encircle","JLPT JLPT_2 JLPT_3","AC8Gt39]%,","bao quanh, vây quanh"
"火災","かさい","conflagration, fire","JLPT JLPT_2 JLPT_3","C?jW[uV]~u","hỏa hoạn, hỏa hoạn"
"重なる","かさなる","to be piled up, lie on top of one another","JLPT JLPT_2 JLPT_3","qEGvs]3ApH","được xếp chồng lên nhau, nằm chồng lên nhau"
"重ねる","かさねる","to pile up, to put something on another, to heap up","JLPT JLPT_2 JLPT_3","i%7_$Pa~m]","chất chồng lên, chất cái gì đó lên cái khác, chồng chất lên"
"飾り","かざり","decoration","JLPT JLPT_2 JLPT_3","b$htguAWNP","trang trí"
"貸し","かし","loan, lending","JLPT JLPT_2 JLPT_3","hK1t$y~&<","cho vay, cho vay"
"菓子","かし","confectionery, sweet","JLPT JLPT_2 JLPT_3","uK+`Lg$t0E","bánh kẹo, ngọt ngào"
"家事","かじ","household matters; housework (same as 家の仕事 (いえのしごと))","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki","oS4iCB;y-f","household matters; việc nhà (giống như 家の仕事 (いえのしごと))"
"賢い","かしこい","wise, clever, smart","JLPT JLPT_2 JLPT_3","rE7F6b61Rm","khôn ngoan, thông minh, thông minh"
"歌手","かしゅ","singer","JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki","NmC8EM=]mA","ca sĩ"
"数","かず","number, figure, amount","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3","DD:chgc^KO","con số, con số, số lượng"
"稼ぐ","かせぐ","to earn income, to labor","JLPT JLPT_2 JLPT_3","rzTOas5wcB","để kiếm thu nhập, lao động"
"数える","かぞえる","to count","JLPT JLPT_2 JLPT_3","J-q>{61#D9","đếm"
"型","かた","mold, model, style","JLPT JLPT_2 JLPT_3","p8F!A2no<N","khuôn mẫu, kiểu dáng, phong cách"
"肩","かた","shoulder","JLPT JLPT_2 JLPT_3","dyYF&B&tH[","vai"
"堅い","かたい","hard, firm, solid","JLPT JLPT_2 JLPT_3","Pf^;5Zn/;l","cứng, chắc, rắn chắc"
"硬い","かたい","hard, firm, solid","JLPT JLPT_2 JLPT_3","A5A<hg!,v}","cứng, chắc, rắn chắc"
"方々","かたがた","persons","JLPT JLPT_2 JLPT_3","hkfynYZJHd","người"
"片付く","かたづく","to put in order, to solve","JLPT JLPT_2 JLPT_3","ijUQHB/ROv","sắp xếp, giải quyết"
"刀","かたな","sword, saber","JLPT JLPT_2 JLPT_3","E>:sV*K^8H","kiếm, kiếm"
"語る","かたる","to talk, to tell, to recite","JLPT JLPT_2 JLPT_3","K~y=o(hWS(","nói, kể, kể lại"
"勝ち","かち","win, victory","JLPT JLPT_2 JLPT_3","f)TI}tuNi!","chiến thắng, chiến thắng"
"価値","かち","value, worth, merit","JLPT JLPT_2 JLPT_3","B$%nCt/^FZ","giá trị, giá trị, công đức"
"がっかり","がっかり","feel disappointed, be dejected, lose heart","JLPT JLPT_2 JLPT_3","r9|(w>UYj4","cảm thấy thất vọng, chán nản, mất lòng"
"活気","かっき","vigor; liveliness; vitality; energy","JLPT Intermediate_Japanese JLPT_1 JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10","HUA^lTjb!P","sức sống; sự sống động; sức sống; năng lượng"
"楽器","がっき","musical instrument","JLPT Genki_Ln.13 JLPT_3 JLPT_2 Genki","zj[&tINbu_","nhạc cụ"
"学期","がっき","term (school)","JLPT JLPT_2 JLPT_3","rPinGb_30Q","học kỳ (trường học)"
"活動","かつどう","action, activity","JLPT JLPT_2 JLPT_3","wt]>L`Ku^c","hành động, hoạt động"
"活躍","かつやく","activity","JLPT JLPT_2 JLPT_3","eCZu2QGL8i","hoạt động"
"活用","かつよう","conjugation; practical use","JLPT JLPT_2 JLPT_3","fVw4kRg|j)","chia động từ; sử dụng thực tế"
"仮定","かてい","assumption, supposition, hypothesis","JLPT JLPT_2 JLPT_3","O=OdQ3=*sS","giả định, giả định, giả thuyết"
"過程","かてい","process","JLPT JLPT_2 JLPT_3","x/zB4*S269","quá trình"
"課程","かてい","course, curriculum","JLPT JLPT_2 JLPT_3","g,{yU7}}eo","khóa học, giáo trình"
"悲しむ","かなしむ","to be sad, to mourn for, to regret","JLPT JLPT_2 JLPT_3","z^+]Gk=mf_","buồn, thương tiếc, tiếc nuối"
"必ずしも","かならずしも","(not) always, (not) necessarily","JLPT JLPT_2 JLPT_3","vW8w*Wj8S6","(không) luôn luôn, (không) nhất thiết"
"かなり","かなり","considerably, fairly, quite","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7","zc@WXAK&cO","đáng kể, khá, khá"
"金","かね","gold, metal; money","JLPT JLPT_2 JLPT_3","sL^]E[vBWQ","vàng, kim loại; tiền bạc"
"鐘","かね","bell, chime","JLPT JLPT_2 JLPT_3","uWo]p3>gV)","chuông, chuông"
"可能","かのう","possible, practicable, feasible","JLPT JLPT_2 JLPT_3","s89#AFndfj","có thể, có thể thực hiện được, có thể thực hiện được"
"株","かぶ","stock; stump (of tree)","JLPT JLPT_2 JLPT_3","i!::Yg?ZPB","Cổ phần; gốc cây (của cây)"
"被る","かぶる","to wear; to be covered with","JLPT JLPT_2 JLPT_3","KZvZ3xJvf=","để mặc; được bao phủ bởi"
"我慢","がまん","patience, endurance, perseverance","JLPT JLPT_2 JLPT_3","b.uAP*cO(_","kiên nhẫn, sức chịu đựng, sự kiên trì"
"上","かみ","first volume; superior quality; governmental","JLPT JLPT_2 JLPT_3","B2f-z2M%?X","tập đầu tiên; chất lượng vượt trội; chính phủ"
"神","かみ","god","JLPT JLPT_2 JLPT_3","bOG}3!+.y2","chúa"
"雷","かみなり","thunder","JLPT JLPT_2 JLPT_3","A`y:r{2n8V","sấm sét"
"髪の毛","かみのけ","hair (head)","JLPT JLPT_2 JLPT_3","k>oV)Rt7]w","tóc (đầu)"
"科目","かもく","(school) subject, curriculum, course","JLPT JLPT_2 JLPT_3","mt1}<&PDy^","(trường học) môn học, chương trình giảng dạy"
"かもしれない","かもしれない","maybe, perhaps","JLPT JLPT_2 JLPT_3","fXI7dlE,H5","có lẽ, có lẽ"
"かゆい","かゆい","itchy, itching","JLPT JLPT_2 JLPT_3","i@bIkK/P`w","ngứa, ngứa"
"歌謡","かよう","song, ballad","JLPT JLPT_2 JLPT_3","B8j5MHOl3a","bài hát, bản ballad"
"空","から","empty","JLPT JLPT_2 JLPT_3","LiJsM!pT#,","trống"
"殻","から","shell, husk, hull","JLPT JLPT_2 JLPT_3","F87p.DC4,p","vỏ, trấu, vỏ"
"柄","がら","pattern; build; character","JLPT JLPT_2 JLPT_3","uk^tW>*afz","mẫu; xây dựng; tính cách"
"刈る","かる","to cut (hair), to mow (grass), to harvest","JLPT JLPT_2 JLPT_3","ON/-tkLwG!","cắt (tóc), cắt (cỏ), thu hoạch"
"河","かわ","river, stream","JLPT JLPT_2 JLPT_3","mIM2jXP:@M","sông, suối"
"皮","かわ","skin, hide, leather","JLPT JLPT_2 JLPT_3","C<.^aCL_QG","da, da, da"
"革","かわ","leather","JLPT JLPT_2 JLPT_3","z`KQfm{h;f","da thú"
"可愛そう","かわいそう","poor, pitiable, pathetic","JLPT JLPT_2 JLPT_3","jCbD|/Ou5e","nghèo, đáng thương, đáng thương"
"可愛らしい","かわいらしい","lovely, sweet","JLPT JLPT_2 JLPT_3","KYl^v5PK_;","đáng yêu, ngọt ngào"
"乾かす","かわかす","to dry","JLPT JLPT_2 JLPT_3","JoU47]zU{d","làm khô"
"渇く","かわく","to be thirsty","JLPT JLPT_2 JLPT_3","g:zQk;6g:U","khát nước"
"代る","かわる","to take the place of, to relieve, to be substituted for","JLPT JLPT_2 JLPT_3","f9j%&rI)[J","thay thế, làm nhẹ bớt, thay thế cho"
"缶","かん","can, tin","JLPT_1 JLPT JLPT_2 JLPT_3","fnx%_qW>Wk","lon, thiếc"
"勘","かん","perception, intuition, the sixth sense","JLPT JLPT_2 JLPT_3","lle<t+CbfW","nhận thức, trực giác, giác quan thứ sáu"
"考え","かんがえ","thinking, thought, ideas","JLPT JLPT_2 JLPT_3","ry3gkU$VWf","suy nghĩ, suy nghĩ, ý tưởng"
"感覚","かんかく","sense, sensation","JLPT JLPT_2 JLPT_3","p)VaZN,wP=","giác quan, cảm giác"
"間隔","かんかく","space, interval, SPC","JLPT JLPT_2 JLPT_3","qbs8.xdCB<","không gian, khoảng, SPC"
"観客","かんきゃく","audience, spectator(s)","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7","j%h6<&[KnW","khán giả, khán giả"
"環境","かんきょう","environment, circumstance","JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21","v:iQ;XlPLV","môi trường, hoàn cảnh"
"歓迎","かんげい","welcome, reception","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5","e6r/_jeu;I","chào đón, tiếp đón"
"観光","かんこう","sightseeing","Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki","n*g6UOKH98","tham quan"
"観察","かんさつ","observation, survey","JLPT JLPT_2 JLPT_3","q)XNacsL_{","quan sát, khảo sát"
"感じ","かんじ","feeling, sense, impression","JLPT JLPT_2 JLPT_3","w_sfjfQ#7V","cảm giác, cảm giác, ấn tượng"
"感謝","かんしゃ","thanks, gratitude","JLPT JLPT_2 JLPT_3","H)_*dziOH#","cảm ơn, biết ơn"
"患者","かんじゃ","patient","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12","ow]ljz^dy0","kiên nhẫn"
"勘定","かんじょう","calculation, counting, consideration","JLPT JLPT_2 JLPT_3","lT@?`jcn/-","tính toán, đếm, xem xét"
"感情","かんじょう","emotion(s), feeling(s), sentiment","JLPT JLPT_2 JLPT_3","KwSZ]};@<N","cảm xúc, tình cảm, tình cảm"
"感じる","かんじる","to feel, to sense","JLPT JLPT_2 JLPT_3","tat.#S,YWC","cảm nhận, cảm nhận"
"感心","かんしん","admiration","JLPT JLPT_2 JLPT_3","Ll7N}.KB!4","sự ngưỡng mộ"
"関心","かんしん","concern, interest","JLPT JLPT_2 JLPT_3","ugNZxV5.;6","sự quan tâm, sự quan tâm"
"関する","かんする","to concern, to be related","JLPT JLPT_2 JLPT_3","j?=:~N:vEw","quan tâm, có liên quan"
"完成","かんせい","complete, completion; perfection","JLPT JLPT_2 JLPT_3","Gz+d-Na>Wq","hoàn thành, hoàn thành; sự hoàn hảo"
"完全","かんぜん","perfection, completeness","JLPT JLPT_2 JLPT_3","mx8.$z,opn","sự hoàn hảo, sự hoàn thiện"
"乾燥","かんそう","dry, arid, dehydrated","JLPT JLPT_2 JLPT_3","o&PKDt@8.N","khô khan, khô cằn, mất nước"
"感想","かんそう","(one's) impressions, (one's) thoughts","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11","LSEXg:S7:(","(của một người) ấn tượng, suy nghĩ của (của một người)"
"感動","かんどう","being deeply moved, excitement","JLPT JLPT_2 JLPT_3","mO)}<zEdx8","vô cùng xúc động, phấn khích"
"監督","かんとく","supervision, control, (movie) director","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7","J6H&uZ7Px>","giám sát, kiểm soát, đạo diễn (phim)"
"管理","かんり","control, management (e.g., of a business)","JLPT JLPT_2 JLPT_3","GKHgUyo>J7","kiểm soát, quản lý (ví dụ: của một doanh nghiệp)"
"完了","かんりょう","completion, conclusion","JLPT JLPT_2 JLPT_3","nU7gs|>hqI","sự hoàn thành, kết luận"
"関連","かんれん","relation, connection, relevance","JLPT JLPT_2 JLPT_3","qM07gcK[)f","mối quan hệ, sự kết nối, sự liên quan"
"議員","ぎいん","member of the Diet, congress, or parliament","JLPT JLPT_2 JLPT_3","HgQ-~|%58x","thành viên của Quốc hội, quốc hội hoặc quốc hội"
"記憶","きおく","memory, recollection, remembrance","JLPT JLPT_2 JLPT_3","E,/>3<s?|+","ký ức, sự hồi tưởng, sự hồi tưởng"
"気温","きおん","temperature (weather - not used for things)","JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki","BBA~snq[*i","nhiệt độ (thời tiết - không được sử dụng cho đồ vật)"
"機械","きかい","machine, machinery","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14","gbY2LYN_B,","máy móc, máy móc"
"器械","きかい","instrument","JLPT JLPT_2 JLPT_3","l7Ho]DDWuu","dụng cụ"
"議会","ぎかい","Diet, congress, parliament","JLPT JLPT_2 JLPT_3","lGMTgzdnaN","Ăn kiêng, Quốc hội, Quốc hội"
"期間","きかん","period, term","JLPT JLPT_2 JLPT_3","iw;V~SjnTE","kỳ, kỳ hạn"
"機関","きかん","engine; institution, organization","JLPT JLPT_2 JLPT_3","OOR48r}N5c","động cơ; cơ quan, tổ chức"
"企業","きぎょう","industry, business, undertaking","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14","m,c9$UCg]/","công nghiệp, kinh doanh, công việc"
"効く","きく","to be effective","JLPT JLPT_2 JLPT_3","LC`=c%l]6(","để có hiệu quả"
"期限","きげん","deadline, term","JLPT JLPT_2 JLPT_3","DXtaD5za4M","thời hạn, kỳ hạn"
"機嫌","きげん","humor, temper, mood","JLPT JLPT_2 JLPT_3","g?wFVr$Cb>","hài hước, tính khí, tâm trạng"
"気候","きこう","climate","JLPT JLPT_2 JLPT_3","zi^=GdE6J`","khí hậu"
"岸","きし","bank, coast, shore","JLPT JLPT_2 JLPT_3","hm_._Qp@I~","bờ biển, bờ biển, bờ biển"
"生地","きじ","fabric; dough","JLPT JLPT_2 JLPT_3","0J|w~z~jj","vải vóc; bột"
"記事","きじ","article, news story","JLPT JLPT_2 JLPT_3","D?VHH^x3x^","bài viết, tin tức"
"技師","ぎし","engineer, technician","JLPT JLPT_2 JLPT_3","u=&Ix|N:mj","kỹ sư, kỹ thuật viên"
"記者","きしゃ","reporter","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15","L%Xdco]ND%","phóng viên"
"傷","きず","wound, injury, hurt","JLPT JLPT_2 JLPT_3","Q?7OEINT{!","vết thương, vết thương, tổn thương"
"期待","きたい","expectation, anticipation, hope","JLPT JLPT_2 JLPT_3","q|E5|~(~TI","sự trông đợi, sự trông đợi, hy vọng"
"気体","きたい","vapor, gas","JLPT JLPT_2 JLPT_3","BVN])vG*1F","hơi, khí"
"帰宅","きたく","returning home","JLPT JLPT_2 JLPT_3","z!%Pu#*l7[","trở về nhà"
"貴重","きちょう","precious, valuable","JLPT JLPT_2 JLPT_3","i#)MEqHOiw","quý giá, có giá trị"
"議長","ぎちょう","chairman","JLPT JLPT_2 JLPT_3","ivgef2]KwO","chủ tịch"
"きちんと","きちんと","precisely, accurately","JLPT JLPT_2 JLPT_3","r#L,S)sfK&","chính xác, chính xác"
"きつい","きつい","tight, close, intense","JLPT JLPT_2 JLPT_3","j)>u~$9^*r","chặt chẽ, chặt chẽ, mãnh liệt"
"気付く","きづく","to notice, to recognize, to become aware of","JLPT JLPT_2 JLPT_3","xDh?wq7iT8","để ý, nhận ra, nhận thức được"
"気に入る","きにいる","to like, to be please","JLPT JLPT_2 JLPT_3","uegN*W,m$w","thích, làm ơn"
"記入","きにゅう","entry, filling in of forms","JLPT JLPT_2 JLPT_3","vlEX%x--1.","nhập, điền vào các mẫu đơn"
"記念","きねん","commemoration, memory","JLPT JLPT_2 JLPT_3","H8>Vf=G.}w","kỷ niệm, ký ức"
"機能","きのう","function, faculty","JLPT JLPT_2 JLPT_3","QB(9=:5m2@","chức năng, khoa"
"気の毒","きのどく","pitiful, a pity","JLPT JLPT_2 JLPT_3","qiFq+*QK@q","thật đáng thương, đáng tiếc"
"寄付","きふ","contribution, donation","JLPT JLPT_2 JLPT_3","P<<3-~akkr","sự đóng góp, sự quyên góp"
"希望","きぼう","hope, wish, aspiration","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3","rKl|qTb,g-","hy vọng, ước muốn, khát vọng"
"基本","きほん","basic, basis","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15","r&MTg)%4_-","cơ bản, căn bản"
"決まり","きまり","settlement, conclusion, rule","JLPT JLPT_2 JLPT_3","DmsWlm^9ML","giải quyết, kết luận, quy tắc"
"気味","きみ","-like, -looking, -looked","JLPT JLPT_2 JLPT_3","iNru&P?85/","-như, -nhìn, -nhìn"
"奇妙","きみょう","strange, queer, curious","JLPT JLPT_2 JLPT_3","LWN?@8(b&a","kỳ lạ, kỳ lạ, tò mò"
"義務","ぎむ","duty, obligation, responsibility","JLPT JLPT_2 JLPT_3","Da7kYMio|S","nghĩa vụ, nghĩa vụ, trách nhiệm"
"疑問","ぎもん","question, problem, doubt","JLPT JLPT_2 JLPT_3","zRRFu?JoKE","câu hỏi, vấn đề, nghi ngờ"
"逆","ぎゃく","reverse, opposite","JLPT JLPT_2 JLPT_3","EiDH#>VXk9","ngược lại, ngược lại"
"キャプテン","キャプテン","captain","JLPT JLPT_2 JLPT_3","pQT]>v52;$","đội trưởng"
"キャンプ","キャンプ","camp","JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki","F4[L_8oSn","trại"
"旧","きゅう","ex-","JLPT JLPT_2 JLPT_3","wKI{_3LgUf","bán tại-"
"級","きゅう","class, grade, rank","JLPT JLPT_2 JLPT_3","ywhuZF1TJ0","lớp, lớp, cấp bậc"
"球","きゅう","globe, sphere, ball","JLPT JLPT_2 JLPT_3","P<LmV^}EUI","quả địa cầu, quả cầu, quả bóng"
"休暇","きゅうか","vacation, holiday, day off","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1","HtR8NVhhfe","kỳ nghỉ, ngày lễ, ngày nghỉ"
"休憩","きゅうけい","rest, break, intermission","JLPT JLPT_2 JLPT_3","M?^9bN:14o","nghỉ ngơi, nghỉ giải lao, tạm dừng"
"急激","きゅうげき","sudden, precipitous, radical","JLPT JLPT_2 JLPT_3","bR.b24bzOE","đột ngột, đột ngột, triệt để"
"吸収","きゅうしゅう","absorption, suction","JLPT JLPT_2 JLPT_3","uP}=0<A&zm","sự hấp thụ, sự hút"
"救助","きゅうじょ","relief, aid, rescue","JLPT JLPT_2 JLPT_3","x{|!Zu?h8!","cứu trợ, viện trợ, cứu hộ"
"急速","きゅうそく","rapid (e.g., progress)","JLPT JLPT_2 JLPT_3","H*fw]->cqe","nhanh chóng (ví dụ: tiến bộ)"
"休息","きゅうそく","rest, relief, relaxation","JLPT JLPT_2 JLPT_3","mFQb-ci%=n","nghỉ ngơi, nhẹ nhõm, thư giãn"
"急に","きゅうに","suddenly","JLPT JLPT_2 JLPT_3","nbPHpp}wLe","đột nhiên"
"給料","きゅうりょう","salary, wages","Genki_Ln.17 JLPT JLPT_3 JLPT_2 Genki","bFBKO):>Pu","tiền lương, tiền công"
"器用","きよう","skillful, handy","JLPT JLPT_2 JLPT_3","j>:wz+YD-O","khéo léo, tiện dụng"
"教科書","きょうかしょ","textbook","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Genki_Ln.6 Intermediate_Japanese_Ln.13 Genki","kkoTF|;.kp","sách giáo khoa"
"競技","きょうぎ","game, match, contest","JLPT JLPT_2 JLPT_3","c3-]g>CAR$","trò chơi, trận đấu, cuộc thi"
"行儀","ぎょうぎ","manners","JLPT JLPT_2 JLPT_3","yCsCHa$b|3","cách cư xử"
"供給","きょうきゅう","supply, provision","JLPT JLPT_2 JLPT_3","H.&4r-|xC*","cung cấp, cung cấp"
"教授","きょうじゅ","teaching, instruction; professor","JLPT JLPT_2 JLPT_3","j9WXPp%y<F","giảng dạy, hướng dẫn; giáo sư"
