哎哟,āi yō,hey,meaning_vi
分泌,fēn mì,to secrete,tiết ra
分明,fēn míng,clearly demarcated,được phân định rõ ràng
分歧,fēn qí,difference (of opinion,sự khác biệt (về quan điểm
分散,fēn sàn,to scatter,phân tán
分手,fēn shǒu,to split up,chia tay
吩咐,fēn fù,to tell,kể
坟墓,fén mù,sepulcher,mộ
粉末,fěn mò,fine powder,bột mịn
粉色,fěn sè,white,trắng
粉碎,fěn suì,to crush,nghiền nát
分量,fèn liang,quantity,Số lượng
风暴,fēng bào,storm,bão
风度,fēng dù,elegance (for men),sự sang trọng (dành cho nam giới)
风光,fēng guāng,scene,bối cảnh
风气,fēng qì,general mood,tâm trạng chung
风趣,fēng qù,humor,hài hước
风土人情,fēng tǔ rén qíng,local conditions and customs (idiom),điều kiện địa phương và phong tục (thành ngữ)
风味,fēng wèi,local flavor,hương vị địa phương
封闭,fēng bì,to seal,niêm phong
封建,fēng jiàn,system of enfeoffment,hệ thống trừng phạt
封锁,fēng suǒ,to blockade,phong tỏa
丰满,fēng mǎn,ample,phong phú
丰盛,fēng shèng,rich,giàu có
丰收,fēng shōu,bumper harvest,thu hoạch bội thu
锋利,fēng lì,sharp (e.g. knife blade),sắc nét (ví dụ: lưỡi dao)
逢,féng,to meet by chance,tình cờ gặp nhau
奉献,fèng xiàn,to consecrate,dâng hiến
否决,fǒu jué,veto,phủ quyết
夫妇,fū fù,a (married) couple,một cặp vợ chồng (đã kết hôn)
夫人,fū ren,lady,quý bà
敷衍,fū yǎn,to elaborate (on a theme),để giải thích (về một chủ đề)
幅度,fú dù,width,chiều rộng
服气,fú qì,to be convinced,bị thuyết phục
符号,fú hào,symbol,biểu tượng
福利,fú lì,(material) welfare,(vật chất) phúc lợi
福气,fú qi,good fortune,chúc may mắn
俘虏,fú lǔ,captive,bị giam cầm
辐射,fú shè,radiation,bức xạ
腐败,fǔ bài,corruption,tham nhũng
腐烂,fǔ làn,to rot,thối rữa
腐蚀,fǔ shí,corrosion,ăn mòn
腐朽,fǔ xiǔ,rotten,thối rữa
辅助,fǔ zhù,to assist,để hỗ trợ
抚养,fǔ yǎng,to foster,nuôi dưỡng
俯仰,fǔ yǎng,lowering and raising of the head,hạ thấp và nâng cao đầu
富裕,fù yù,prosperous,thịnh vượng
副,fù,secondary,sơ trung
副作用,fù zuò yòng,side effect,tác dụng phụ
负担,fù dān,burden,gánh nặng
覆盖,fù gài,to cover,che đậy
附和,fù hè,to parrot,vẹt
附件,fù jiàn,enclosure,bao vây
附属,fù shǔ,subsidiary,công ty con
复活,fù huó,resurrection,sự hồi sinh
复兴,fù xīng,to revive,để hồi sinh
腹泻,fù xiè,diarrhea,tiêu chảy
赋予,fù yǔ,to assign,phân công
改良,gǎi liáng,to improve,để cải thiện
盖章,gài zhāng,to affix a seal (to sth),đóng dấu (vào cái gì)
干旱,gān hàn,drought,hạn hán
干扰,gān rǎo,to interfere,can thiệp
干涉,gān shè,to interfere,can thiệp
干预,gān yù,to meddle,can thiệp
尴尬,gān gà,awkward,vụng về
甘心,gān xīn,to be willing to,sẵn sàng
感慨,gǎn kǎi,to sigh with sorrow,thở dài với nỗi buồn
感染,gǎn rǎn,infection,sự nhiễm trùng
干劲,gàn jìn,enthusiasm for doing sth,nhiệt tình làm việc gì đó
纲领,gāng lǐng,program,chương trình
港口,gǎng kǒu,port,hải cảng
港湾,gǎng wān,natural harbor,bến cảng tự nhiên
岗位,gǎng wèi,a post,một bài đăng
杠杆,gàng gǎn,lever,đòn bẩy
高超,gāo chāo,excellent,xuất sắc
高潮,gāo cháo,high tide,thủy triều dâng cao
高峰,gāo fēng,peak,đỉnh cao
高考,gāo kǎo,college entrance exam (abbr. for 普通高等學校招生全國統一考試|普通高等学校招生全国统一考试),kỳ thi tuyển sinh đại học (viết tắt của 普通高等學校招生全國統一考試|普通高等学校招生全国统一考试)
高明,gāo míng,brilliant,xuất sắc
高尚,gāo shàng,noble,cao quý
高涨,gāo zhǎng,upsurge,sự bùng nổ
稿件,gǎo jiàn,rough draft,dự thảo thô
告辞,gào cí,to say goodbye,để nói lời tạm biệt
告诫,gào jiè,to warn,để cảnh báo
割,gē,to cut,cắt
搁,gē,to place,đặt
疙瘩,gē da,swelling or lump on skin,sưng hoặc nổi cục trên da
歌颂,gē sòng,to sing the praises of,để hát những lời ca ngợi
隔阂,gé hé,estrangement,sự ghẻ lạnh
隔离,gé lí,to separate,để tách
格局,gé jú,structure,kết cấu
格式,gé shì,form,hình thức
个体,gè tǐ,individual,cá nhân
各抒己见,gè shū jǐ jiàn,everyone gives their own view,mọi người đều đưa ra quan điểm riêng của mình
根深蒂固,gēn shēn dì gù,deep-rooted (problem etc),"có nguồn gốc sâu xa (vấn đề, v.v.)"
根源,gēn yuán,origin,nguồn gốc
跟前,gēn qián,in front of,trước mặt
跟随,gēn suí,to follow,đi theo
跟踪,gēn zōng,to follow sb's tracks,theo dõi dấu vết của ai đó
耕地,gēng dì,arable land,đất canh tác
更新,gēng xīn,to replace the old with new,để thay thế cái cũ bằng cái mới
更正,gēng zhèng,to correct,để sửa
公安局,gōng ān jú,public security bureau,Cục công an
公道,gōng dao,fair,hội chợ
公告,gōng gào,post,bưu kiện
公关,gōng guān,public relations,quan hệ công chúng
公民,gōng mín,citizen,công dân
公婆,gōng pó,husband's parents,bố mẹ chồng
公然,gōng rán,openly,công khai
公认,gōng rèn,publicly known (to be),được biết đến rộng rãi (được)
公式,gōng shì,formula,công thức
公务,gōng wù,official business,kinh doanh chính thức
公正,gōng zhèng,just,chỉ
公证,gōng zhèng,notarization,công chứng
供不应求,gōng bù yìng qiú,supply does not meet demand,cung không đáp ứng được cầu
供给,gōng jǐ,to furnish,để trang bị
工夫,gōng fu,time,thời gian
工艺品,gōng yì pǐn,handicraft article,mặt hàng thủ công mỹ nghệ
宫殿,gōng diàn,palace,cung điện
功课,gōng kè,homework,bài tập về nhà
功劳,gōng láo,contribution,sự đóng góp
功效,gōng xiào,efficacy,hiệu quả
攻击,gōng jī,to attack,tấn công
攻克,gōng kè,to capture,để nắm bắt
恭敬,gōng jìng,deferential,cung kính
巩固,gǒng gù,to consolidate,củng cố
共和国,gòng hé guó,republic,nước cộng hòa
共计,gòng jì,to sum up to,tóm lại là
共鸣,gòng míng,resonance (physics),sự cộng hưởng (vật lý)
勾结,gōu jié,to collude with,thông đồng với
钩子,gōu zi,hook,cái móc
构思,gòu sī,to design,để thiết kế
孤独,gū dú,lonely,cô đơn
孤立,gū lì,isolate,cô lập
辜负,gū fù,to fail to live up (to expectations),không đáp ứng được (sự mong đợi)
姑且,gū qiě,temporarily,tạm thời
古董,gǔ dǒng,curio,đồ cổ
古怪,gǔ guài,eccentric,lập dị
股东,gǔ dōng,shareholder,cổ đông
股份,gǔ fèn,a share (in a company),một cổ phần (trong một công ty)
鼓动,gǔ dòng,to agitate,khuấy động
骨干,gǔ gàn,diaphysis (long segment of a bone),cơ hoành (đoạn dài của xương)
固然,gù rán,admittedly (it's true that...),phải thừa nhận rằng (đúng là...)
固有,gù yǒu,intrinsic to sth,nội tại của sth
固执,gù zhí,obstinate,cố chấp
顾虑,gù lǜ,misgivings,sự nghi ngại
顾问,gù wèn,adviser,cố vấn
故乡,gù xiāng,home,trang chủ
故障,gù zhàng,malfunction,trục trặc
拐杖,guǎi zhàng,crutches,nạng
关照,guān zhào,to take care,chăm sóc
官方,guān fāng,official,chính thức
观光,guān guāng,to tour,đi tham quan
管辖,guǎn xiá,to administer,quản lý
罐,guàn,can,Có thể
贯彻,guàn chè,to implement,để thực hiện
灌溉,guàn gài,to irrigate,tưới tiêu
惯例,guàn lì,convention,quy ước
光彩,guāng cǎi,luster,độ bóng
光辉,guāng huī,radiance,sự rạng rỡ
光芒,guāng máng,rays of light,tia sáng
广阔,guǎng kuò,wide,rộng
规范,guī fàn,norm,chuẩn mực
规格,guī gé,standard,tiêu chuẩn
规划,guī huà,to plan (how to do sth),lên kế hoạch (làm thế nào để làm điều gì đó)
规章,guī zhāng,rule,luật lệ
归根到底,guī gēn dào dǐ,(saying) to sum it up...,(nói) tóm lại...
归还,guī huán,to return sth,trả lại cái gì đó
归纳,guī nà,to sum up,tóm lại
轨道,guǐ dào,orbit,quỹ đạo
跪,guì,to kneel,quỳ gối
贵族,guì zú,lord,chúa tể
棍棒,gùn bàng,club,câu lạc bộ
国防,guó fáng,national defense,quốc phòng
国务院,Guó Wù Yuàn,State Council (PRC),Hội đồng Nhà nước (PRC)
果断,guǒ duàn,firm,vững chãi
过度,guò dù,excessive,quá mức
过渡,guò dù,to cross over (by ferry),đi qua (bằng phà)
过奖,guò jiǎng,to over-praise,khen ngợi quá mức
过滤,guò lǜ,to filter,để lọc
过失,guò shī,defect,khuyết điểm
过问,guò wèn,to show an interest in,để thể hiện sự quan tâm đến
过瘾,guò yǐn,to satisfy a craving,để thỏa mãn cơn thèm
过于,guò yú,too much,quá nhiều
嗨,hāi,oh alas,ôi chao
海拔,hǎi bá,height above sea level,độ cao so với mực nước biển
海滨,hǎi bīn,shore,bờ biển
含糊,hán hú,obscurity,sự tối tăm
含义,hán yì,meaning (implicit in a phrase),ý nghĩa (ngụ ý trong một cụm từ)
寒暄,hán xuān,exchanging conventional greetings,trao đổi lời chào thông thường
罕见,hǎn jiàn,rare,hiếm
捍卫,hàn wèi,to defend,để bảo vệ
航空,háng kōng,aviation,hàng không
航天,háng tiān,space flight,chuyến bay vào vũ trụ
航行,háng xíng,to sail,đi thuyền
行列,háng liè,procession,đám rước
豪迈,háo mài,bold,in đậm
毫米,háo mǐ,millimeter,milimét
毫无,háo wú,not in the least,không ít nhất
号召,hào zhào,to call,gọi
耗费,hào fèi,to waste,lãng phí
好客,hào kè,hospitality,lòng hiếu khách
呵,hē,expel breath,thở ra
和蔼,hé ǎi,kindly,tử tế
和解,hé jiě,to settle (a dispute out of court),giải quyết (một tranh chấp ngoài tòa án)
和睦,hé mù,peaceful relations,quan hệ hòa bình
和气,hé qi,friendly,thân thiện
和谐,hé xié,harmonious,hài hòa
合并,hé bìng,to merge,hợp nhất
合成,hé chéng,to compose,sáng tác
合乎,hé hū,to accord with,để phù hợp với
合伙,hé huǒ,to act jointly,hành động chung
合身,hé shēn,well-fitting (of clothes),vừa vặn (của quần áo)
合算,hé suàn,worthwhile,đáng giá
嘿,hēi,hey,Chào
痕迹,hén jì,vestige,vết tích
狠心,hěn xīn,callous,nhẫn tâm
恨不得,hèn bu dé,wishing one could do sth,ước gì người ta có thể làm được điều gì đó
哼,hēng,to groan,rên rỉ
哄,hōng,roar of laughter (onomatopoeia),tiếng cười gầm lên (từ tượng thanh)
烘,hōng,to bake,nướng
轰动,hōng dòng,to cause a sensation,gây ra cảm giác
红包,hóng bāo,lit. money wrapped in red as a gift,thắp sáng. tiền bọc màu đỏ làm quà
宏观,hóng guān,macro-,vĩ mô-
宏伟,hóng wěi,grand,vĩ đại
洪水,hóng shuǐ,deluge,trận lụt lớn
喉咙,hóu lóng,throat,cổ họng
吼,hǒu,roar or howl of an animal,tiếng gầm hoặc tiếng hú của động vật
后代,hòu dài,posterity,hậu thế
后顾之忧,hòu gù zhī yōu,fears of trouble in the rear (idiom); family worries (obstructing freedom of action),sợ rắc rối ở phía sau (thành ngữ); lo lắng của gia đình (cản trở quyền tự do hành động)
后勤,hòu qín,logistics,hậu cần
候选,hòu xuǎn,candidate,ứng viên
忽略,hū lvè,to neglect,bỏ bê
呼啸,hū xiào,to whistle,huýt sáo
呼吁,hū yù,to call on (sb to do sth),kêu gọi (sb để làm việc gì đó)
胡乱,hú luàn,careless,bất cẩn
湖泊,hú pō,lake,hồ
互联网,Hù lián wǎng,the Internet,Internet
花瓣,huā bàn,petal,cánh hoa
华丽,huá lì,gorgeous,lộng lẫy
华侨,huá qiáo,overseas Chinese,người Hoa ở nước ngoài
画蛇添足,huà shé tiān zú,lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous,thắp sáng. vẽ chân cho con rắn (thành ngữ); quả sung. làm hỏng hiệu ứng bằng cách thêm cái gì đó thừa thãi
化肥,huà féi,fertilizer,phân bón
化石,huà shí,fossil,hóa thạch
化验,huà yàn,laboratory test,thử nghiệm trong phòng thí nghiệm
化妆,huà zhuāng,to put on makeup,trang điểm
划分,huà fēn,to divide,chia
话筒,huà tǒng,microphone,micro
怀孕,huái yùn,pregnant,có thai
欢乐,huān lè,gaiety,vui tươi
还原,huán yuán,to restore to the original state,để khôi phục lại trạng thái ban đầu
环节,huán jié,round segment,đoạn tròn
缓和,huǎn hé,to ease (tension),làm dịu (căng thẳng)
患者,huàn zhě,patient,kiên nhẫn
荒凉,huāng liáng,desolate,hoang vắng
荒谬,huāng miù,absurd,vô lý
荒唐,huāng táng,beyond belief,ngoài niềm tin
慌忙,huāng máng,in a great rush,rất vội vàng
黄昏,huáng hūn,dusk,hoàng hôn
恍然大悟,huǎng rán dà wù,to suddenly realize,chợt nhận ra
挥霍,huī huò,to squander money,phung phí tiền bạc
辉煌,huī huáng,splendid,lộng lẫy
回报,huí bào,(in) return,(vào) trở lại
回避,huí bì,to shun,tránh xa
回顾,huí gù,to look back,nhìn lại
回收,huí shōu,to recycle,tái chế
悔恨,huǐ hèn,remorse,sự ăn năn
毁灭,huǐ miè,to perish,hư mất
会晤,huì wù,to meet,gặp gỡ
汇报,huì bào,to report,báo cáo
贿赂,huì lù,to bribe,hối lộ
昏迷,hūn mí,to lose consciousness,mất ý thức
浑身,hún shēn,all over,khắp nơi
混合,hùn hé,to mix,trộn
混乱,hùn luàn,confusion,lú lẫn
混淆,hùn xiáo,to obscure,che khuất
混浊,hùn zhuó,turbid,đục
活该,huó gāi,(coll.) serve sb right,(col.) giao bóng đúng cho ai đó
活力,huó lì,energy,năng lượng
火箭,huǒ jiàn,rocket,tên lửa
火焰,huǒ yàn,blaze,ngọn lửa
火药,huǒ yào,gunpowder,thuốc súng
货币,huò bì,currency,tiền tệ
或许,huò xǔ,perhaps,có lẽ
基地,jī dì,base (of operations),cơ sở (của hoạt động)
基金,jī jīn,fund,quỹ
基因,jī yīn,gene (loanword),gen (từ mượn)
机动,jī dòng,locomotive,đầu máy xe lửa
机构,jī gòu,mechanism,cơ chế
机关,jī guān,mechanism,cơ chế
机灵,jī líng,clever,thông minh
机密,jī mì,secret,bí mật
机械,jī xiè,machine,máy móc
机遇,jī yù,opportunity,cơ hội
机智,jī zhì,quick-witted,nhanh trí
激发,jī fā,to arouse,khơi dậy
激励,jī lì,to encourage,để khuyến khích
激情,jī qíng,passion,niềm đam mê
饥饿,jī è,hunger,đói
讥笑,jī xiào,to sneer,chế nhạo
极端,jí duān,extreme,vô cùng
极限,jí xiàn,limit,giới hạn
即便,jí biàn,even if,ngay cả khi
即将,jí jiāng,on the eve of,vào đêm trước
级别,jí bié,(military) rank,(quân sự) cấp bậc
疾病,jí bìng,disease,bệnh
嫉妒,jí dù,to be jealous,ghen tị
及早,jí zǎo,at the earliest possible time,vào thời gian sớm nhất có thể
急功近利,jí gōng jìn lì,seeking instant benefit (idiom); shortsighted vision,tìm kiếm lợi ích ngay lập tức (thành ngữ); tầm nhìn cận thị
急剧,jí jù,rapid,nhanh
急切,jí qiè,eager,háo hức
急于求成,jí yú qiú chéng,anxious for quick results (idiom); to demand instant success,lo lắng cho kết quả nhanh chóng (thành ngữ); đòi hỏi thành công ngay lập tức
急躁,jí zào,irritable,cáu kỉnh
籍贯,jí guàn,one's native place,quê hương của một người
集团,jí tuán,group,nhóm
吉祥,jí xiáng,lucky,may mắn
给予,jǐ yǔ,to accord,để phù hợp
寄托,jì tuō,to have sb look after sb,để ai đó chăm sóc ai đó
继承,jì chéng,to inherit,kế thừa
继往开来,jì wǎng kāi lái,to follow the past and herald the future (idiom); part of a historical transition,đi theo quá khứ và báo trước tương lai (thành ngữ); một phần của quá trình chuyển đổi lịch sử
记性,jì xìng,memory,ký ức
记载,jì zǎi,to write down,viết ra
季度,jì dù,quarter of a year,một phần tư năm
季军,jì jūn,third in a race,thứ ba trong một cuộc đua
计较,jì jiào,to bother about,bận tâm về
忌讳,jì huì,taboo,điều cấm kỵ
寂静,jì jìng,quiet,im lặng
纪要,jì yào,minutes,phút
技能,jì néng,technical ability,khả năng kỹ thuật
技巧,jì qiǎo,skill,kỹ năng
迹象,jì xiàng,mark,đánh dấu
家常,jiā cháng,the daily life of a family,cuộc sống hàng ngày của một gia đình
家伙,jiā huo,household dish,món ăn gia dụng
家属,jiā shǔ,family member,thành viên gia đình
家喻户晓,jiā yù hù xiǎo,understood by everyone (idiom); well known,mọi người đều hiểu (thành ngữ); nổi tiếng
加工,jiā gōng,to process,để xử lý
加剧,jiā jù,to intensify,tăng cường
佳肴,jiā yáo,fine food,đồ ăn ngon
夹杂,jiā zá,to mix together (disparate substances),trộn lẫn với nhau (các chất khác nhau)
假设,jiǎ shè,suppose that...,cho rằng...
假使,jiǎ shǐ,if,nếu như
坚定,jiān dìng,firm,vững chãi
坚固,jiān gù,firm,vững chãi
坚韧,jiān rèn,tough and durable,cứng rắn và bền bỉ
坚实,jiān shí,firm and substantial,vững chắc và đáng kể
坚硬,jiān yìng,hard,cứng
监督,jiān dū,to control,để kiểm soát
监视,jiān shì,to monitor,giám sát
监狱,jiān yù,prison,nhà tù
尖端,jiān duān,sharp pointed end,đầu nhọn nhọn
艰难,jiān nán,difficult,khó
兼职,jiān zhí,to hold concurrent posts,giữ các bài viết đồng thời
拣,jiǎn,to choose,để lựa chọn
剪彩,jiǎn cǎi,to cut the ribbon (at a launching or opening ceremony),"cắt băng khánh thành (lễ ra mắt, khai trương)"
检讨,jiǎn tǎo,to examine or inspect,để kiểm tra hoặc kiểm tra
检验,jiǎn yàn,to inspect,để kiểm tra
简化,jiǎn huà,to simplify,để đơn giản hóa
简陋,jiǎn lòu,simple and crude (of a room or building),đơn giản và thô sơ (của một căn phòng hoặc tòa nhà)
简体字,jiǎn tǐ zì,simplified Chinese character,ký tự tiếng Trung giản thể
简要,jiǎn yào,concise,ngắn gọn
溅,jiàn,splash,giật gân
鉴别,jiàn bié,to differentiate,để phân biệt
鉴定,jiàn dìng,to appraise,để đánh giá
鉴于,jiàn yú,in view of,theo quan điểm của
间谍,jiàn dié,spy,điệp viên
间隔,jiàn gé,compartment,ngăn
间接,jiàn jiē,indirect,gián tiếp
见多识广,jiàn duō shí guǎng,experienced and knowledgeable (idiom),có kinh nghiệm và hiểu biết (thành ngữ)
见解,jiàn jiě,opinion,ý kiến
见闻,jiàn wén,what one sees and hears,những gì người ta nhìn thấy và nghe thấy
见义勇为,jiàn yì yǒng wéi,to see what is right and act courageously (idiom,để xem điều gì là đúng và hành động can đảm (thành ngữ
健全,jiàn quán,robust,khỏe mạnh
践踏,jiàn tà,to trample,chà đạp
舰艇,jiàn tǐng,warship,tàu chiến
将近,jiāng jìn,almost,hầu hết
将军,jiāng jūn,general,tổng quan
僵硬,jiāng yìng,stiff,cứng nhắc
桨,jiǎng,oar,mái chèo
奖励,jiǎng lì,to reward,để thưởng
奖赏,jiǎng shǎng,reward,phần thưởng
降临,jiàng lín,to descend to,đi xuống
交叉,jiāo chā,to cross,vượt qua
交代,jiāo dài,to hand over,bàn giao
交涉,jiāo shè,to negotiate,đàm phán
交往,jiāo wǎng,to associate,liên kết
交易,jiāo yì,(business) transaction,(kinh doanh) giao dịch
焦点,jiāo diǎn,focus,tập trung
焦急,jiāo jí,anxiety,sự lo lắng
娇气,jiāo qì,delicate,thanh tú
角落,jiǎo luò,nook,ngóc ngách
搅拌,jiǎo bàn,to stir,khuấy động
缴纳,jiǎo nà,to pay (taxes etc),"phải trả (thuế, v.v.)"
教养,jiào yǎng,to train,đào tạo
较量,jiào liàng,to have a contest with sb,có một cuộc thi với ai đó
皆,jiē,all,tất cả
接连,jiē lián,on end,cuối cùng
阶层,jiē céng,hierarchy,thứ bậc
揭发,jiē fā,to expose,để lộ
揭露,jiē lù,to expose,để lộ
节奏,jié zòu,rhythm,nhịp điệu
杰出,jié chū,outstanding,nổi bật
结晶,jié jīng,crystallization,sự kết tinh
结局,jié jú,conclusion,Phần kết luận
结算,jié suàn,to settle a bill,để giải quyết một hóa đơn
竭尽全力,jié jìn quán lì,to spare no effort (idiom); to do one's utmost,không tiếc công sức (thành ngữ); làm hết sức mình
截至,jié zhì,up to (a time),đến (một thời điểm)
解除,jiě chú,to remove,để loại bỏ
解雇,jiě gù,to fire,bắn
解剖,jiě pōu,to dissect (an animal),mổ xẻ (một con vật)
解散,jiě sàn,to dissolve,hòa tan
解体,jiě tǐ,to break up into components,để chia thành các thành phần
借鉴,jiè jiàn,to use other people's experience,sử dụng kinh nghiệm của người khác
借助,jiè zhù,to draw support from,để thu hút sự ủng hộ từ
戒备,jiè bèi,to take precautions,đề phòng
界限,jiè xiàn,boundary,ranh giới
津津有味,jīn jīn yǒu wèi,with keen interest pleasure (idiom); with gusto,với niềm vui quan tâm sâu sắc (thành ngữ); với sự thích thú
金融,jīn róng,banking,ngân hàng
紧密,jǐn mì,inseparably close,gần gũi không thể tách rời
紧迫,jǐn pò,pressing,ép
尽快,jǐn kuài,as quickly as possible,càng nhanh càng tốt
锦绣前程,jǐn xiù qián chéng,bright future,tương lai tươi sáng
进而,jìn ér,and then (what follows next),và sau đó (điều gì tiếp theo)
进攻,jìn gōng,to attack,tấn công
进化,jìn huà,evolution,sự tiến hóa
进展,jìn zhǎn,to make headway,để tiến bộ
近来,jìn lái,recently,gần đây
近视,jìn shì,shortsighted,thiển cận
浸泡,jìn pào,to steep,dốc
晋升,jìn shēng,to promote to a higher position,thăng tiến lên vị trí cao hơn
劲头,jìn tóu,enthusiasm,sự nhiệt tình
茎,jīng,stalk,rình rập
精打细算,jīng dǎ xì suàn,(saying) meticulous planning and careful accounting,(nói) lập kế hoạch tỉ mỉ và tính toán cẩn thận
精华,jīng huá,best feature,tính năng tốt nhất
精简,jīng jiǎn,to simplify,để đơn giản hóa
精密,jīng mì,accuracy,sự chính xác
精确,jīng què,accurate,chính xác
精通,jīng tōng,proficient,proficient
精心,jīng xīn,with utmost care,with utmost care
精益求精,jīng yì qiú jīng,to perfect sth that is already outstanding (idiom); constantly improving,to perfect sth that is already outstanding (idiom); constantly improving
精致,jīng zhì,delicate,delicate
经费,jīng fèi,funds,funds
经商,jīng shāng,to trade,to trade
经纬,jīng wěi,warp and woof,warp and woof
惊动,jīng dòng,alarm,alarm
惊奇,jīng qí,to be amazed,to be amazed
惊讶,jīng yà,amazed,amazed
兢兢业业,jīng jīng yè yè,cautious and conscientious,cautious and conscientious
井,jǐng,a well,a well
警告,jǐng gào,to warn,to warn
警惕,jǐng tì,to be on the alert,to be on the alert
颈椎,jǐng zhuī,cervical vertebra,cervical vertebra
敬礼,jìng lǐ,to salute,to salute
境界,jìng jiè,boundary,boundary
竞赛,jìng sài,race,race
竞选,jìng xuǎn,to take part in an election,to take part in an election
镜头,jìng tóu,camera lens,camera lens
纠纷,jiū fēn,a dispute,a dispute
纠正,jiū zhèng,to correct,to correct
酒精,jiǔ jīng,alcohol,alcohol
救济,jiù jì,emergency relief,emergency relief
就近,jiù jìn,nearby,nearby
就业,jiù yè,looking for employment,looking for employment
就职,jiù zhí,to take office,to take office
鞠躬,jū gōng,to bow,to bow
拘留,jū liú,to detain (a prisoner),to detain (a prisoner)
拘束,jū shù,to restrict,to restrict
居住,jū zhù,to reside,to reside
局部,jú bù,part,part
局面,jú miàn,aspect,aspect
局势,jú shì,situation,situation
局限,jú xiàn,to limit,to limit
举动,jǔ dòng,act,act
举世闻名,jǔ shì wén míng,(saying) world famous,(saying) world famous
举世瞩目,jǔ shì zhǔ mù,to receive worldwide attention,to receive worldwide attention
举足轻重,jǔ zú qīng zhòng,a foot's move sways the balance (idiom); to hold the balance of power,a foot's move sways the balance (idiom); to hold the balance of power
咀嚼,jǔ jué,to chew,to chew
沮丧,jǔ sàng,dispirited,dispirited
剧本,jù běn,script for play,script for play
剧烈,jù liè,violent,violent
聚精会神,jù jīng huì shén,to concentrate one's attention (idiom),to concentrate one's attention (idiom)
据悉,jù xī,according to reports,according to reports
决策,jué cè,strategic decision,strategic decision
觉悟,jué wù,consciousness,consciousness
觉醒,jué xǐng,to awaken,to awaken
绝望,jué wàng,desperation,desperation
军队,jūn duì,army troops,army troops
卡通,kǎ tōng,cartoon,cartoon
开采,kāi cǎi,to extract (ore or other resource from a mine),to extract (ore or other resource from a mine)
开除,kāi chú,to expel,to expel
开阔,kāi kuò,wide,wide
开朗,kāi lǎng,spacious and well-lit,spacious and well-lit
开明,kāi míng,enlightened,enlightened
开辟,kāi pì,to open up,to open up
开水,kāi shuǐ,boiled water,boiled water
开拓,kāi tuò,to break new ground (for agriculture),to break new ground (for agriculture)
开展,kāi zhǎn,(begin to) develop,(begin to) develop
开支,kāi zhī,expenditures,expenditures
刊登,kān dēng,to carry a story,to carry a story
刊物,kān wù,publication,publication
勘探,kān tàn,exploration,exploration
看待,kàn dài,to look upon,to look upon
看望,kàn wàng,to visit,to visit
慷慨,kāng kǎi,vehement,vehement
扛,káng,to carry on one's shoulder,to carry on one's shoulder
考察,kǎo chá,to inspect,to inspect
考古,kǎo gǔ,archaeology,archaeology
考核,kǎo hé,to examine,to examine
考验,kǎo yàn,to test,to test
靠拢,kào lǒng,to draw close to,to draw close to
磕,kē,to tap,to tap
颗粒,kē lì,kernel,kernel
科目,kē mù,subject,subject
渴望,kě wàng,to thirst for,to thirst for
可观,kě guān,considerable,considerable
可口,kě kǒu,tasty,tasty
可恶,kě wù,repulsive,repulsive
可笑,kě xiào,funny,funny
可行,kě xíng,feasible,feasible
刻不容缓,kè bù róng huǎn,to brook no delay,to brook no delay
课题,kè tí,task,task
客户,kè hù,client,client
啃,kěn,to gnaw,to gnaw
恳切,kěn qiè,earnest,earnest
坑,kēng,hole,hole
空洞,kōng dòng,cavity,cavity
空前绝后,kōng qián jué hòu,unprecedented and never to be duplicated,unprecedented and never to be duplicated
空想,kōng xiǎng,daydream,daydream
空虚,kōng xū,hollow,hollow
孔,kǒng,hole,hole
恐吓,kǒng hè,to threaten,to threaten
恐惧,kǒng jù,fear,fear
空白,kòng bái,blank space,blank space
空隙,kòng xì,crack,crack
口气,kǒu qì,tone of voice,tone of voice
口腔,kǒu qiāng,oral cavity,oral cavity
口头,kǒu tóu,oral,oral
口音,kǒu yīn,oral speech sounds (linguistics),âm thanh lời nói (ngôn ngữ học)
枯竭,kū jié,used up,đã sử dụng hết
枯燥,kū zào,dry and dull,khô và xỉn màu
苦尽甘来,kǔ jìn gān lái,bitterness finishes,cay đắng kết thúc
挎,kuà,to carry (esp. slung over the arm,để mang (đặc biệt là đeo trên cánh tay
跨,kuà,to step across,bước qua
快活,kuài huo,happy,vui mừng
宽敞,kuān chang,spacious,rộng rãi
款待,kuǎn dài,to entertain,để giải trí
款式,kuǎn shì,pattern,mẫu
筐,kuāng,basket,rổ
旷课,kuàng kè,to play truant,trốn học
框架,kuàng jià,frame,khung
况且,kuàng qiě,moreover,Hơn thế nữa
亏待,kuī dài,to treat sb unfairly,đối xử bất công với ai
亏损,kuī sǔn,deficit,thâm hụt
昆虫,kūn chóng,insect,côn trùng
捆绑,kǔn bǎng,to bind,ràng buộc
扩充,kuò chōng,to expand,mở rộng
扩散,kuò sàn,to spread,lan rộng
扩张,kuò zhāng,expansion,mở rộng
喇叭,lǎ ba,horn (automobile etc),"còi (ô tô, v.v.)"
啦,la,sentence-final particle,trợ từ cuối câu
来历,lái lì,history,lịch sử
来源,lái yuán,source (of information etc),"nguồn (thông tin, v.v.)"
栏目,lán mù,regular column or segment (in a publication or broadcast program),cột hoặc phân đoạn thông thường (trong một ấn phẩm hoặc chương trình phát sóng)
懒惰,lǎn duò,idle,nhàn rỗi
