rank,word,part_of_speech,hanja,explanation,nikl_level,topik_level,meaning_vi
19.0,때01,명사,,시간; 어릴 때,초급,A,giờ; Khi tôi còn trẻ
5475.0,때02,명사,,더러운 물질; 를 밀다,중급,C,chất bẩn; xô
7749.0,때때로,부사,,때때로 변하다,중급,B,đôi khi thay đổi
1353.0,때로,부사,,때로는 느끼다,중급,C,đôi khi cảm thấy
1686.0,때리다01,동사,,종아리를,중급,C,bê
31.0,때문,의존명사,,,,A,
6047.0,땜03,의존명사,,때문,,B,Bởi vì
5889.0,떠나가다,동사,,고향을,중급,C,quê hương
327.0,떠나다,동사,,어디론가,초급,A,ở đâu đó
8727.0,떠나오다,동사,,고향을,중급,C,quê hương
2765.0,떠들다01,동사,,말하다; 시끄럽게,초급,B,nói; lớn tiếng
5890.0,떠들썩하다02,형용사,,떠들다,,C,thang máy
1042.0,떠오르다,동사,,태양이,중급,B,mặt trời
1749.0,떠올리다,동사,,추억을,중급,B,ký ức
1443.0,떡01,명사,,음식,초급,A,đồ ăn
18402.0,떡국,명사,,음식,초급,C,đồ ăn
13255.0,떡볶이,명사,,음식,초급,B,đồ ăn
1271.0,떨다01,동사,,무서움에,중급,B,Trong nỗi sợ hãi
2570.0,떨리다01,동사,,온몸이; 흔들리다,중급,B,Toàn bộ cơ thể; lắc
2621.0,떨어뜨리다,동사,,바닥에,중급,B,trên sàn
299.0,떨어지다,동사,,낭떠러지로,초급,B,đến vách đá
2798.0,떼01,명사,,를 지어 다니다; 양 ~,중급,C,xây dựng; Cừu~
1070.0,떼다01,동사,,스티커를,중급,B,nhãn dán
40.0,또,부사,,또 생기다,초급,A,Nó lại xảy ra
250.0,또는,부사,,남자 또는 여자,초급,B,đàn ông hay phụ nữ
2177.0,또다시,부사,,또다시 반복하다,중급,B,lặp lại lần nữa
248.0,또한,부사,,나 또한,중급,B,Tôi cũng vậy
1376.0,똑같다,형용사,,모양이,초급,A,hình dạng
2622.0,똑같이,부사,,똑같이 나누다,초급,B,chia sẻ bình đẳng
3864.0,똑똑하다,형용사,,머리가,초급,B,cái đầu
,똑똑히,부사,,똑똑히 기억하다,중급,,nhớ rõ
5201.0,똑바로,부사,,똑바로 가다,초급,A,đi thẳng
,똥,명사,,을 싸다,중급,,đóng gói
4338.0,뚜껑,명사,,을 닫다,중급,B,đóng
,뚜렷하다,형용사,,의식이,중급,,biết rõ
3113.0,뚫다,동사,,구멍을,중급,C,hố
,뚫리다,동사,,구멍이,중급,,Có một cái lỗ
11721.0,뚱뚱하다,형용사,,몸매가,초급,B,Cơ thể
9541.0,뛰놀다,동사,,,,C,
1852.0,뛰다01,동사,,빨리 뛰다; 심장이 ~,중급,A,chạy nhanh; Trái tim~
1626.0,뛰다02,동사,,빨리 나아가다; 운동장을,초급,A,để tiến về phía trước một cách nhanh chóng; sân chơi
4598.0,뛰어가다,동사,,학교로,초급,C,đến trường
9998.0,뛰어나가다,동사,,,,B,
1661.0,뛰어나다,형용사,,솜씨가,중급,C,kỹ năng
9114.0,뛰어나오다,동사,,집 밖으로,중급,C,ra khỏi nhà
6399.0,뛰어내리다,동사,,아래로,중급,C,xuống
3315.0,뛰어넘다,동사,,담을,중급,C,Để chứa
9999.0,뛰어놀다,동사,,운동장에서,중급,C,trên sân chơi
7224.0,뛰어다니다,동사,,집안을,중급,B,ngôi nhà
2280.0,뛰어들다,동사,,강물에,중급,B,trên sông
9542.0,뛰어오다,동사,,,,B,
6780.0,뛰어오르다,동사,,,,C,
1178.0,뜨겁다,형용사,,국물이,초급,A,Súp
1389.0,뜨다01,동사,,달이; 솟아오르다,중급,B,mặt trăng; đứng lên
7753.0,뜨다03,동사,,떠나다,,C,rời khỏi
,뜨다04,동사,,물을,중급,,Nước
1673.0,뜨다05,동사,,눈을 ~,초급,B,mắt ~
3634.0,뜯다,동사,,편지를,중급,C,một lá thư
6218.0,뜰01,명사,,을 거닐다,중급,C,đi dạo xung quanh
296.0,뜻,명사,,이 어렵다,초급,B,điều này thật khó khăn
5891.0,뜻대로,부사,,뜻대로 되다,중급,C,làm theo cách của bạn
4420.0,뜻밖,명사,,뜻밖의 사실,중급,C,sự thật bất ngờ
6219.0,뜻밖에,부사,,뜻밖에 나타나다,중급,C,xuất hiện bất ngờ
1816.0,뜻하다,동사,,,,C,
1792.0,띄다01,동사,,눈에 ~,중급,C,Trong mắt ~
4687.0,띄우다02,동사,,배를 ~,,C,tàu ~
,띠01,명사,,를 매다,중급,,treo
,띠04,명사,,돼지띠,중급,,năm con lợn
,띠다01,동사,,허리띠를,중급,,thắt lưng
1571.0,라디오,명사,,radio; 를 켜다,초급,A,radio; bật lên
2623.0,라면01,명사,,&일ramen; 음식,초급,A,&ngày; đồ ăn
5606.0,라운드,명사,,round,,C,tròn
10002.0,라이벌,명사,,rival,,C,đối thủ
6781.0,라이터,명사,,lighter,,B,nhẹ hơn
5202.0,라인01,명사,,line,,C,đường kẻ
9544.0,라켓,명사,,racket,,C,vợt
,량05,명사,,작업량,중급,,khối lượng công việc
,러시아,고유 명사,,Russia,,A,Nga
,러시아,명사,,나라,초급,,quốc gia
,런던,고유 명사,,London,,B,Luân Đôn
7503.0,레몬,명사,,lemon; 과일,중급,B,chanh vàng; hoa quả
5892.0,레스토랑,명사,,&프restaurant; 에서 먹다,초급,B,& cao cấp; ăn ở
8731.0,레이저,명사,,laser,,C,tia laze
9115.0,레저,명사,,leisure,,C,thời gian rảnh rỗi
5203.0,렌즈,명사,,lens; 를 끼다,중급,B,ống kính; đưa vào
,렌터카,명사,,를 빌리다,중급,,vay mượn
,-력02,접사,,경제력,중급,,sức mạnh kinh tế
,로그인,명사,,을 하다,중급,,LÀM
5893.0,로봇,명사,,robot; 로봇 장난감,중급,C,người máy; đồ chơi robot
9116.0,로터리,명사,,rotary,,C,quay
,-료02,접사,,통화료,중급,,cước cuộc gọi
,-률04,접사,,출생률,중급,,tỷ lệ sinh
3525.0,리02,의존명사,里,,,C,
3802.0,리그01,명사,,league,,C,liên minh
2998.0,리듬,명사,,rhythm; 에 맞추다,중급,B,nhịp điệu; điều chỉnh để
,리모컨,명사,,으로 켜다,중급,,bật lên
,리본,명사,,으로 묶다,중급,,ràng buộc
9546.0,리터01,의존명사,,liter; 일 리터,중급,C,lít; một lít
2571.0,마구01,부사,,마구 때리다,중급,B,đánh đập
,마냥02,부사,,마냥 기다리다,중급,,cứ chờ đi
3316.0,마누라01,명사,,,,C,
1740.0,마늘,명사,,을 까다,중급,B,đón tiếp
1617.0,마당,명사,,이 넓다,초급,C,Cái này rộng
4788.0,마당,의존명사,,,,C,
3037.0,마디01,명사,,가 굵다,중급,C,dày
2799.0,마땅하다,형용사,,상대가,중급,C,Đối thủ
,마땅히,부사,,마땅히 해야 하다,중급,,nên làm
7756.0,마라톤,명사,,marathon; 을 완주하다,중급,C,chạy marathon; hoàn thành
2233.0,마련,명사,,학비 마련,중급,C,chuẩn bị học phí
1572.0,마련,의존명사,,학비 마련,중급,C,chuẩn bị học phí
2440.0,마련되다,동사,,,,B,
833.0,마련하다,동사,,,,B,
2441.0,마루03,명사,,~를 닦다; 에 앉다,중급,B,đánh bóng; ngồi lên
1649.0,마르다01,동사,,물기가,초급,B,nhiều nước
1168.0,마리01,의존명사,,한 마리,초급,A,một
3740.0,마무리,명사,,를 짓다,중급,C,xây dựng
8358.0,마사지,명사,,massage; 를 받다,중급,B,mát xa; nhận được
365.0,마시다,동사,,물을,초급,A,Nước
4508.0,마약,명사,痲藥,에 중독되다,중급,C,nghiện
9547.0,마요네즈,명사,,&프mayonnaise,,C,&pmayonnaise
,마우스02,명사,,를 누르다,중급,,nhấn
480.0,마을01,명사,,에 살다,초급,B,sống ở
148.0,마음01,명사,,이 따뜻하다,초급,A,Thật ấm áp
5608.0,마음가짐,명사,,을 가지다,중급,C,có
4789.0,마음껏,부사,,마음껏 쓰다,중급,C,chi tiêu thoải mái
2921.0,마음대로,부사,,마음대로 되다,중급,B,có cách riêng của mình
4339.0,마음먹다,동사,,굳게 마음먹다,중급,C,quyết định đi
2212.0,마음속,명사,,으로 다짐하다,중급,B,cam kết
7225.0,마음씨,명사,,가 곱다,중급,C,nó thật đẹp
3803.0,마이크,명사,,mike; 를 잡다,중급,C,mike; nắm lấy
2250.0,마주01,부사,,마주 서다,중급,B,đứng đối mặt
3741.0,마주치다,동사,,손바닥을,중급,C,lòng bàn tay của bạn
8736.0,마중01,명사,,을 가다,초급,B,đi tới
626.0,마지막,명사,,마지막 경기,초급,A,trận đấu cuối cùng
545.0,마찬가지,명사,,예전과 마찬가지이다,중급,B,Giống như trước đây
4997.0,마찰,명사,摩擦,이 생기다,중급,C,Điều này xảy ra
580.0,마치03,부사,,마치 천사 같다,중급,B,như một thiên thần
711.0,마치다02,동사,,일을,초급,B,công việc
2265.0,마침02,부사,,마침 잘 왔다,중급,B,Tôi đến đúng lúc
1507.0,마침내,부사,,마침내 해내다,중급,B,cuối cùng cũng làm được
4998.0,마크,명사,,mark,,C,đánh dấu
,마트,명사,,에서 사다,초급,,mua từ
,마흔,관형사,,마흔 개,초급,,bốn mươi
9548.0,마흔,수사,,마흔 개,초급,A,bốn mươi
1817.0,막01,부사,,막 출발하다; 바로 지금,중급,B,bắt đầu; ngay bây giờ
1159.0,막02,부사,,마구; 막 쓰다,중급,B,khai thác; chỉ cần viết
4421.0,막걸리,명사,,를 마시다,초급,C,uống
4269.0,막내,명사,,로 태어나다,중급,B,được sinh ra như
700.0,막다01,동사,,귀를,중급,B,đôi tai
,막대기01,명사,,로 치다,중급,,đánh bằng búa
3742.0,막상01,부사,,막상 보니까,중급,C,Khi tôi thực sự nhìn thấy nó
,막연하다,형용사,,앞날이,중급,,tương lai
,막차01,명사,,를 타다,중급,,lái
1344.0,막히다,동사,,통로가,초급,B,đoạn văn
811.0,만01,의존명사,,십 년 ~에,,C,mười năm tới
6221.0,만02,의존명사,,화를 낼 ~도 하다,,C,tức giận
3865.0,만06,관형사,萬,숫자,초급,A,con số
8359.0,만06,수사,萬,숫자,초급,A,con số
7226.0,만07,관형사,滿,~ 3개월; 만 3주,중급,B,~ 3 tháng; 3 tuần tuổi
,만07,명사,,만 3주,중급,,3 tuần tuổi
166.0,만나다,동사,,친구를,초급,A,bạn
2572.0,만남,명사,,을 갖다,중급,B,có
16774.0,만두01,명사,饅頭,음식,초급,B,đồ ăn
61.0,만들다,동사,,음식을,초급,A,đồ ăn
1071.0,만들어지다,동사,,,,B,
3866.0,만만하다01,형용사,,대적할 만함; 상대가,중급,C,Cạnh tranh; Đối thủ
9549.0,만세04,명사,萬歲,,,C,
1134.0,만약,명사,萬若,만약의 경우,초급,B,Chỉ trong trường hợp
,만원01,명사,,을 이루다,중급,,đạt được
1761.0,만일01,명사,萬一,에 대비하다,초급,B,chuẩn bị cho
5896.0,만점,명사,滿點,을 받다,중급,C,nhận được
4999.0,만족01,명사,滿足,을 느끼다,중급,C,cảm thấy
,만족감,명사,,이 들다,중급,,Nâng cái này lên
7505.0,만족스럽다,형용사,滿足-,결과가,중급,C,kết quả
6049.0,만족하다,동사,滿足-,,,B,
3804.0,만족하다,형용사,滿足-,,,B,
2522.0,만지다,동사,,손을,초급,B,bàn tay
440.0,만큼,의존명사,,,,B,
451.0,만하다,보조 용언,,,,C,
2059.0,만화10,명사,漫畵,를 그리다,초급,B,vẽ tranh
9551.0,만화가,명사,漫畵家,,,C,
,만화책,명사,,을 보다,중급,,nhìn thấy
43.0,많다,형용사,,돈이,초급,A,tiền bạc
2381.0,많아지다,동사,,나이가,중급,B,tuổi
98.0,많이,부사,,많이 사다,초급,A,mua rất nhiều
28.0,말01,명사,,~과 글; 을 하다,초급,A,và viết; LÀM
,말04,명사,,을 타다,초급,,lái
2624.0,말05,명사,,동물,,B,động vật
780.0,말11,의존명사,末,학기 말,초급,B,cuối học kỳ
3144.0,말기05,명사,末期,임신 말기,중급,C,mang thai muộn
,말끔히,부사,,말끔히 닦다,중급,,lau sạch
5343.0,말다01,동사,,감다; 신문을,중급,C,cuộn tròn; báo
,말다02,동사,,국에 밥을,중급,,Cơm với súp
576.0,말다03,동사,,걱정을; 그만두다,초급,A,lo lắng; từ bỏ
161.0,말다03,보조 용언,,,,A,
,말다툼,명사,,이 생기다,중급,,Điều này xảy ra
,말레이시아,명사,,나라,초급,,quốc gia
3922.0,말리다02,동사,,싸움을 ~,중급,C,Chiến đấu~
3232.0,말리다03,동사,,빨래를 ~,중급,C,Giặt đồ đi~
812.0,말씀,명사,,이 없다,초급,A,không có
3184.0,말씀드리다,동사,,,,B,
1381.0,말씀하다,동사,,,,A,
3145.0,말없이,부사,,말없이 사라지다,중급,C,biến mất không một lời
5746.0,말투,명사,-套,가 거칠다,중급,C,Thật là khó khăn
,말하기,명사,,말하기 평가,중급,,đánh giá nói
32.0,말하다,동사,,,,A,
1077.0,맑다01,형용사,,공기가,초급,A,không khí
3923.0,맘01,명사,,마음; 이 좋다,중급,C,tâm trí; cái này tốt
,맘껏,부사,,맘껏 놀다,중급,,chơi nhiều như bạn muốn
9552.0,맘대로,부사,,마음대로; 맘대로 고르다,중급,C,tùy ý bạn; chọn theo ý muốn
390.0,맛01,명사,,이 달다,초급,A,Điều này thật ngọt ngào
3275.0,맛보다01,동사,,,,C,
15475.0,맛없다,형용사,,음식이,초급,A,đồ ăn
1020.0,맛있다,형용사,,음식이,초급,A,đồ ăn
,망가지다,동사,,자전거가,중급,,chiếc xe đạp
3467.0,망설이다,동사,,잠시 망설이다,중급,C,ngần ngại một lúc
4888.0,망원경,명사,望遠鏡,,,C,
5000.0,망치다,동사,,일을,중급,C,công việc
3146.0,망하다,동사,亡-,나라가,중급,C,đất nước
378.0,맞다01,동사,,답이 ~,초급,B,Câu trả lời là~
800.0,맞다02,동사,,손님을 ~,중급,B,Gửi quý khách~
1546.0,맞다03,동사,,매를 ~,중급,B,Mae ~
,맞벌이,명사,,맞벌이 부부,중급,,cặp đôi thu nhập kép
2828.0,맞서다,동사,,적과,중급,B,với kẻ thù
5344.0,맞은편,명사,-便,에 앉다,중급,B,ngồi lên
3317.0,맞이하다,동사,,새해를,중급,C,năm mới
694.0,맞추다01,동사,,답을,초급,B,trả lời
,맞춤법,명사,,에 맞다,중급,,phù hợp
,맞히다01,동사,,정답을,중급,,Câu trả lời đúng
1516.0,맡기다,동사,,수리를,중급,B,Sửa chữa
633.0,맡다01,동사,,담임을 ~; 업무를,중급,B,Giáo viên chủ nhiệm ~; công việc
4422.0,맡다02,동사,,냄새를 ~,중급,C,Mùi~
5476.0,매01,명사,,~를 맞다,중급,C,đánh ~
4690.0,매너,명사,,manner,,C,thái độ
,매년,명사,,매년 증가하다,초급,,tăng lên hàng năm
2767.0,매년,부사,每年,매년 증가하다,초급,B,tăng lên hàng năm
3982.0,매다01,동사,,끈을 ~; 신발 끈을,초급,B,chuỗi ~; dây giày
,매달,명사,,매달 만나다,초급,,gặp nhau hàng tháng
5897.0,매달,부사,每-,매달 만나다,초급,C,gặp nhau hàng tháng
6994.0,매달다,동사,,문에,중급,C,ở cửa
1962.0,매달리다,동사,,철봉에,중급,C,Trên thanh sắt
2409.0,매력,명사,魅力,을 느끼다,중급,B,cảm thấy
,매번,명사,,매번 찾다,중급,,tìm thấy nó mọi lúc
10013.0,매번,부사,每番,매번 찾다,중급,C,tìm thấy nó mọi lúc
7759.0,매스컴,명사,,mass communication,,C,truyền thông đại chúng
393.0,매우01,부사,,매우 좋다,초급,A,rất tốt
,매운맛,명사,,이 나다,중급,,Đây là tôi
,매운탕,명사,,을 먹다,중급,,ăn
6784.0,매일,명사,每日,매일 만나다,초급,A,gặp nhau mỗi ngày
1272.0,매일,부사,每日,매일 만나다,초급,A,gặp nhau mỗi ngày
3185.0,매장06,명사,賣場,을 열다,중급,C,mở
,매점02,명사,,을 운영하다,중급,,vận hành
,매주01,명사,,매주 만나다,초급,,gặp nhau hàng tuần
6995.0,매주01,부사,每週,매주 만나다,초급,C,gặp nhau hàng tuần
,매진03,명사,,이 되다,중급,,trở nên
1345.0,매체,명사,媒體,대중 매체,중급,C,phương tiện thông tin đại chúng
,매표소,명사,,극장 매표소,초급,,phòng vé rạp hát
2861.0,맥주,명사,麥酒,를 마시다,초급,A,uống
1750.0,맨01,관형사,,맨 꼭대기,중급,B,đứng đầu
,맨발,명사,,로 걷다,중급,,đi bộ với
6050.0,맵다,형용사,,고추가,초급,A,ớt đỏ
1674.0,맺다,동사,,빗방울이,중급,C,hạt mưa
288.0,머리01,명사,,가 크다,초급,A,lớn
9554.0,머리말,명사,,,,C,
3983.0,머리카락,명사,,을 자르다,초급,B,cắt
5610.0,머리칼,명사,,을 자르다,중급,C,cắt
2178.0,머릿속,명사,,에 남아 있다,중급,B,vẫn còn trong
2094.0,머무르다,동사,,호텔에서,중급,B,tại khách sạn
2469.0,머물다,동사,,휴게소에,중급,C,Tại khu vực nghỉ ngơi
,머뭇거리다,동사,,말을,중급,,nói
5478.0,먹고살다,동사,,겨우 먹고 살다,중급,C,hầu như không kiếm sống được
10015.0,먹다01,동사,,귀를 ~,,C,Nghe này~
70.0,먹다02,동사,,밥을 ~,초급,A,Ăn cơm đi~
3924.0,먹다02,보조 용언,,잊어 ~,,A,Quên nó đi~
3686.0,먹이,명사,,를 주다,중급,C,đưa cho
2060.0,먹이다,동사,,밥을,중급,B,cơm
8361.0,먹히다,동사,,양이 늑대에게,중급,B,cừu thành sói
,먼저,명사,,먼저 가다,초급,,đi trước
283.0,먼저,부사,,먼저 가다,초급,A,đi trước
2958.0,먼지01,명사,,를 닦다,중급,B,đánh bóng
718.0,멀다02,형용사,,갈 길이 ~; 거리가,초급,A,Còn một chặng đường dài nữa~; khoảng cách
997.0,멀리01,부사,,멀리 가다,초급,B,đi xa
,멀미01,명사,,가 나다,중급,,đi ra ngoài
3186.0,멀어지다,동사,,친구와,중급,B,với bạn bè
,멀쩡하다,형용사,,팔다리가,중급,,tay chân
1418.0,멈추다,동사,,피가,초급,B,máu
5346.0,멋01,명사,,을 내다,초급,B,dập tắt
,멋대로,부사,,멋대로 살다,중급,,sống theo cách riêng của mình
5206.0,멋있다,형용사,,옷이,초급,B,quần áo
3350.0,멋지다,형용사,,경치가,중급,C,phong cảnh
,멍01,명사,,이 들다,중급,,Nâng cái này lên
32365.0,멍멍01,부사,,멍멍 짖다,중급,C,vỏ cây
5479.0,멎다01,동사,,비바람이,중급,C,mưa và gió
5002.0,메뉴,명사,,menu; 를 고르다,초급,A,thực đơn; chọn
,메뉴판,명사,,에서 고르다,중급,,chọn từ
6051.0,메다02,동사,,가방을; 총을 ~,초급,B,cái túi; súng~
,메달02,명사,,을 따다,중급,,nhặt
7231.0,메모,명사,,memo; 를 하다,초급,B,bản ghi nhớ; LÀM
,메모지,명사,,에 쓰다,중급,,viết lên
3526.0,메시지,명사,,message; 를 남기다,초급,B,tin nhắn; bỏ lại phía sau
3805.0,메우다02,동사,,'메다'의 사동사; 구멍을,중급,C,Động từ 'meda'; hố
23197.0,메일,명사,,mail; 을 쓰다,초급,B,thư; viết
,멜로디,명사,,가 아름답다,중급,,thật đẹp
2923.0,며느리,명사,,를 맞다,중급,B,đánh
1021.0,며칠,명사,,이 걸리다,초급,A,lấy cái này
4058.0,면04,명사,面,행정 단위,,C,đơn vị hành chính
643.0,면05,명사,面,벽의 면; 양쪽 ~,중급,C,bên tường; Cả hai bên ~
5347.0,면07,명사,綿,,,C,
5481.0,면담,명사,面談,을 요청하다,중급,C,lời yêu cầu
,면도,명사,,를 하다,중급,,LÀM
3806.0,면적,명사,面積,이 넓다,중급,C,Cái này rộng
9555.0,면접,명사,面接,을 요구하다,중급,C,yêu cầu
,면접관,명사,,이 질문하다,중급,,hỏi câu hỏi này
3527.0,면하다01,동사,免-,책임을,중급,C,trách nhiệm
,면허01,명사,,를 따다,중급,,nhặt
,면허증,명사,,을 따다,중급,,nhặt
5207.0,멸치,명사,,를 볶다,중급,C,xào
,명02,명사,,작품명,중급,,Tiêu đề công việc
77.0,명03,의존명사,名,한 ~; 한 명,초급,A,một ~; một người
6222.0,명단01,명사,名單,합격자 명단,중급,C,danh sách ứng viên thành công
2311.0,명령01,명사,命令,을 내리다,중급,B,hạ xuống
5748.0,명령어,명사,命令語,,,C,
2470.0,명예01,명사,名譽,를 지키다,중급,C,bảo vệ
3578.0,명의02,명사,名義,,,C,
3926.0,명절01,명사,名節,을 맞다,초급,B,đánh
3187.0,명칭02,명사,名稱,,,C,
9557.0,명함,명사,名銜,을 교환하다,중급,B,trao đổi
3984.0,명확하다,형용사,明確-,근거가,중급,C,cơ sở
186.0,몇,관형사,,몇 개,초급,A,chắc chắn
3743.0,몇,수사,,몇 개,초급,A,chắc chắn
2112.0,몇몇,관형사,,몇몇 사람,중급,B,một số người
,몇몇,수사,,몇몇 사람,중급,,một số người
7234.0,몇십,관형사,,,,B,
5613.0,모15,관형사,某,김 모 씨,중급,C,Ông Kim
2095.0,모15,대명사,某,김 모 씨,중급,C,Ông Kim
5003.0,모금01,의존명사,,한 ~,,C,Một ~
,모금02,명사,,모금 운동,중급,,chiến dịch gây quỹ
6582.0,모기01,명사,,에 물리다,초급,B,bị cắn bởi
3000.0,모니터,명사,,monitor; 를 보다,중급,B,màn hình; nhìn thấy
1840.0,모델,명사,,model; 을 개발하다,중급,B,người mẫu; phát triển
708.0,모두01,명사,,모두 함께,초급,A,tất cả cùng nhau
145.0,모두01,부사,,모두 함께,초급,A,tất cả cùng nhau
137.0,모든,관형사,,모든 사람,초급,A,mọi người
2862.0,모래01,명사,,모래 사막,중급,B,sa mạc cát
12460.0,모레,명사,,시간,초급,B,giờ
,모레,부사,,시간,초급,,giờ
59.0,모르다,동사,,규칙을,초급,A,quy tắc
4890.0,모범02,명사,模範,이 되다,중급,C,trở nên
3528.0,모색하다02,동사,摸索-,,,C,
164.0,모습01,명사,,을 보이다,초급,B,trình diễn
1368.0,모시다,동사,,부모님을,초급,B,bố mẹ tôi
464.0,모양02,명사,模樣,별 모양,초급,B,hình năm cánh
911.0,모양02,의존명사,模樣,,,B,
5899.0,모여들다,동사,,구름처럼,중급,C,như những đám mây
508.0,모으다,동사,,장난감을,초급,B,đồ chơi
610.0,모이다01,동사,,돈이,초급,B,tiền bạc
906.0,모임01,명사,,에 나가다,초급,B,đi ra ngoài
,모자02,명사,,가 닮다,중급,,giống
4059.0,모자08,명사,帽子,를 쓰다,초급,A,viết
2829.0,모자라다,동사,,잠이,초급,B,ngủ
5104.0,모조리01,부사,,,,C,
5485.0,모집,명사,募集,학생 모집,중급,C,tuyển sinh sinh viên
8064.0,모집하다,동사,募集-,,,C,
3406.0,모처럼,부사,,모처럼 웃다,중급,C,cười lần đầu tiên
5486.0,모퉁이,명사,,,,C,
,모험,명사,,을 즐기다,중급,,thưởng thức
1230.0,목01,명사,,이 길다,초급,A,Cái này dài
,목10,명사,,목요일,중급,,thứ năm
10505.0,목걸이01,명사,,를 하다,초급,B,LÀM
,목구멍,명사,,이 아프다,중급,,Điều này đau quá
,목도리,명사,,를 하다,초급,,LÀM
4340.0,목록,명사,目錄,을 작성하다,중급,C,viết
,목마르다,형용사,,덥고 목마르다,중급,,nóng và khát
2523.0,목사05,명사,牧師,가 설교하다,중급,B,rao giảng
486.0,목소리,명사,,가 크다,초급,B,lớn
1973.0,목숨,명사,,을 지키다,중급,C,bảo vệ
11099.0,목요일,명사,木曜日,요일,초급,A,ngày trong tuần
3808.0,목욕,명사,沐浴,을 하다,초급,A,LÀM
5749.0,목욕탕,명사,沐浴湯,에서 씻다,초급,B,rửa sạch
740.0,목적03,명사,目的,을 이루다,초급,B,đạt được
,목적지,명사,,에 도착하다,중급,,đến
1036.0,목표,명사,目標,를 세우다,중급,B,cài đặt
,몫,명사,,을 챙기다,중급,,chăm sóc
2196.0,몰다01,동사,,구석으로,중급,B,đến góc
,몰라보다,동사,,몰라보게 변하다,중급,,thay đổi ngoài sự công nhận
2312.0,몰래01,부사,,몰래 도망가다,중급,B,bí mật bỏ trốn
4790.0,몰려들다,동사,,사람들이,중급,C,mọi người
6052.0,몰려오다,동사,,피서객들이,중급,C,Người đi nghỉ
,몰리다01,동사,,구석으로,중급,,đến góc
156.0,몸01,명사,,이 건강하다,초급,A,Điều này tốt cho sức khỏe
7238.0,몸매,명사,,가 좋다,중급,C,nó tốt
7239.0,몸무게,명사,,를 재다,중급,B,đo lường
8364.0,몸살01,명사,,~이 걸리다; 이 나다,중급,B,lấy ; Đây là tôi
9558.0,몸속,명사,,몸속의 피,중급,C,máu trong cơ thể
3636.0,몸짓,명사,,을 따라하다,중급,C,theo
3744.0,몸통,명사,,이 크다,중급,C,Cái này lớn
1687.0,몹시,부사,,몹시 춥다,중급,B,rất lạnh
3745.0,못01,명사,,벽에 ~을 박다,중급,C,đinh ~ trên tường
207.0,못04,부사,,못 마시다,초급,A,không thể uống
,못나다,형용사,,못난 얼굴,중급,,khuôn mặt xấu xí
3867.0,못되다,형용사,,성격이,중급,C,nhân cách
11104.0,못생기다,형용사,,얼굴이,초급,C,khuôn mặt
2213.0,못지않다,형용사,,전문가 못지 않다,중급,C,Không giỏi bằng chuyên gia
495.0,못하다,동사,,노래를,초급,A,hát một bài hát
57.0,못하다,보조 용언,,,,A,
3927.0,못하다,형용사,,노래를,초급,A,hát một bài hát
,몽골,명사,,나라,초급,,quốc gia
,몽땅01,부사,,몽땅 쓰다,중급,,chi tiêu mọi thứ
5005.0,묘사02,명사,描寫,상황 묘사,중급,C,mô tả tình huống
3746.0,묘사하다,동사,描寫-,,,C,
,무-11,접사,,무감각,중급,,sững sờ
3687.0,무02,명사,,를 심다; 식물,초급,B,để trồng; thực vật
7767.0,무08,명사,無,,,C,
1662.0,무겁다,형용사,,짐이,초급,A,hành lý
2442.0,무게,명사,,가 나가다,초급,B,đi ra ngoài
7240.0,무관심,명사,無關心,이 지나치다,중급,C,Điều này là quá mức
10024.0,무관심하다,형용사,無關心-,,,C,
,무관하다03,형용사,,사건과,중급,,sự cố và
6405.0,무궁화,명사,無窮花,꽃,초급,C,hoa
2113.0,무기05,명사,武器,를 소지하다,중급,C,sở hữu
1793.0,무너지다,동사,,건물이,중급,C,tòa nhà
3277.0,무늬,명사,,를 이루다,중급,B,đạt được
727.0,무대06,명사,舞臺,로 나가다,중급,C,đi ra ngoài
8367.0,무더위,명사,,가 꺾이다,중급,B,phá vỡ
3233.0,무덤,명사,,을 파다,중급,C,đào
9129.0,무덥다,형용사,,날씨가,중급,C,thời tiết
3072.0,무려02,부사,無慮,무려 20배이다,중급,C,Đó là một con số khổng lồ 20 lần
1321.0,무렵,의존명사,,저녁 무렵,중급,B,buổi tối
3688.0,무료01,명사,無料,로 주다,초급,C,cho như
1637.0,무릎,명사,,신체,초급,B,thân hình
3468.0,무리01,명사,,~를 이루다,,C,đạt được
2896.0,무리08,명사,無理,가 되다,중급,C,trở nên
4891.0,무리하다,형용사,無理-,,,C,
10027.0,무사하다04,형용사,無事-,,,C,
,무사히02,부사,,무사히 돌아오다,중급,,trở về an toàn
,무서워하다,동사,,사람을,중급,,mọi người
1051.0,무섭다,형용사,,귀신이,초급,B,bóng ma
221.0,무슨,관형사,,무슨 요일,초급,A,ngày nào
,무시04,명사,,를 당하다,중급,,chịu đựng
2061.0,무시하다,동사,無視-,,,B,
1533.0,무어01,대명사,,,,B,
135.0,무엇,대명사,,−,초급,A,
1201.0,무역02,명사,貿易,무역 회사,중급,B,công ty thương mại
1382.0,무용03,명사,舞踊,을 배우다,중급,B,học hỏi
8369.0,무용가,명사,舞踊家,,,C,
,무의미,명사,,유의미,중급,,Ý nghĩa
6224.0,무의미하다,형용사,無意味-,,,C,
,무조건,명사,,무조건 화를 내다,중급,,lúc nào cũng tức giận
