"expression","reading","meaning","tags","guid","meaning_vi"
"くれる","くれる","to give, to do for","JLPT JLPT_N4","hSC5|:)aVz","cho, làm cho"
"～員","～いん","member of ~","JLPT JLPT_N4","QHO%z16SSs","thành viên của ~"
"原因","げんいん","cause, origin, source","JLPT JLPT_N4","y8<@Y+?o6j","nguyên nhân, nguồn gốc, nguồn gốc"
"驚く","おどろく","to be surprised, to be astonished","Intermediate_Japanese_Ln.8 JLPT JLPT_N4","qBeaklesW+","làm ngạc nhiên, làm ngạc nhiên"
"いただく","頂く","-- extra-modest expression for たべる and のむ; humble expression for もらう --","Genki Genki_Ln.20 JLPT JLPT_N4","J*KGnzk|Z2","-- cách diễn đạt cực kỳ khiêm tốn của たべる và のむ; cách diễn đạt khiêm tốn dành cho もらう --"
"祖母","そぼ","grandmother","JLPT JLPT_N4","x!LCLRW]y2","bà nội"
"場所","ばしょ","place, location","Genki Genki_Ln.23 Intermediate_Japanese_Ln.5 JLPT JLPT_N4","qw3.O}/lOC","địa điểm, vị trí"
"答","こたえ","answer, response","JLPT JLPT_N4","xmTYLgV-T_","câu trả lời, sự đáp lại"
"もちろん","もちろん","certainly, of course","Genki Genki_Ln.7 Intermediate_Japanese_Ln.5 JLPT JLPT_N4","m8,NutV2dG","chắc chắn, tất nhiên"
"漬ける","つける","to soak, to moisten, to pickle","JLPT JLPT_N4","h!i?H{d*F@","ngâm, làm ẩm, ngâm"
"受付","うけつけ","reception(ist) desk","Genki Genki_Ln.22 Intermediate_Japanese_Ln.8 JLPT JLPT_N4","uraaf1,;7Q","bàn tiếp tân"
"内","うち","within, inside","JLPT JLPT_N4","G1H0$T!7Vl","bên trong, bên trong"
"スクリーン","スクリーン","screen","JLPT JLPT_N4","L/njBN,iH6","màn hình"
"増える","ふえる","to increase, to multiply","JLPT JLPT_N4","QW.w#0qn}8","tăng lên, nhân lên"
"または","または","or, otherwise","JLPT JLPT_N4","J-^^Uw<Tl~","hoặc, nếu không thì"
"けがする","けがする","injury (to animate object), hurt","JLPT JLPT_N4","NP:|wpXW(M","chấn thương (đối với vật thể sinh động), tổn thương"
"以下","いか","less than, below","JLPT JLPT_N4","DS5y_+4p`Y","ít hơn, dưới đây"
"選ぶ","えらぶ","to choose; to select","Genki Genki_Ln.17 Intermediate_Japanese_Ln.3 JLPT JLPT_N4","Jo*`4U5e.W","để lựa chọn; để chọn"
"～ばかり","～ばかり","just did ~, only","JLPT JLPT_N4","vbW68h-IIc","vừa làm ~, chỉ"
"心","こころ","heart, mind","JLPT JLPT_N4","Fkhe%Dz2nb","trái tim, tâm trí"
"～だす","～だす","to start doing ~","JLPT JLPT_N4","B+=k~owmr!","bắt đầu làm ~"
"サラダ","サラダ","salad","JLPT JLPT_N4","J3A=]P#ec<","xa lát"
"届ける","とどける","to deliver (v.t.)","Intermediate_Japanese_Ln.9 JLPT JLPT_N4","tA&cXA55C=","để cung cấp (v.t.)"
"挨拶","あいさつする","greet(ing)","JLPT JLPT_N4","h|NjvFq!b]","chào (ing)"
"景色","けしき","scenery, landscape","JLPT JLPT_N4","Cd#u9/v:Pu","phong cảnh, phong cảnh"
"確か","たしか","if I remember correctly; certain, definite","Intermediate_Japanese_Ln.4 JLPT JLPT_N4","v&7%T>e{{z","nếu tôi nhớ không lầm; chắc chắn, xác định"
"ステーキ","ステーキ","steak","JLPT JLPT_N4","K0B$/YQ?Op","bít tết"
"食料品","しょくりょうひん","foodstuff, groceries","JLPT JLPT_N4","kg/Pg!K6&w","thực phẩm, hàng tạp hóa"
"森","もり","forest","JLPT JLPT_N4","mJkKf?UAUT","rừng"
"以内","いない","within, less (no more) than","JLPT JLPT_N4","EyK>c0C[$K","bên trong, ít hơn (không nhiều hơn)"
"予定","よてい","plans, arrangement, schedule","Genki Genki_Ln.15 Intermediate_Japanese_Ln.15 JLPT JLPT_N4","I$<#IwHCvW","kế hoạch, sắp xếp, lịch trình"
"オーバー","オーバー","overcoat; over, exceeding, exaggeration","JLPT JLPT_N4","umd4AX=/RI","áo khoác ngoài; quá, vượt quá, cường điệu"
"乾く","かわく","to get dry","JLPT JLPT_N4","s+Ju<mmF]C","bị khô"
"石","いし","stone","JLPT JLPT_N4","gg2=(OnQKh","cục đá"
"思い出す","おもいだす","to recall, to remember","Intermediate_Japanese_Ln.8 JLPT JLPT_N4","O?8pX)Ooz*","nhớ lại, nhớ lại"
"踊る","おどる","to dance","Genki Genki_Ln.9 JLPT JLPT_N4","LnHUFv$!`;","nhảy"
"細かい","こまかい","small; fine, minute","JLPT JLPT_N4","PrWma5VeE[","bé nhỏ; được rồi, phút thôi"
"塗る","ぬる","to paint, to plaster","JLPT JLPT_N4","gb*{+)EK`F","sơn, trát"
"ご主人","ごしゅじん","(your, her) husband","Genki Genki_Ln.14 JLPT JLPT_N4","Gb,y/-3SAS","chồng (của bạn, cô ấy)"
"珍しい","めずらしい","unusual, rare","Intermediate_Japanese_Ln.4 JLPT JLPT_N4","LG3n^a@XAC","khác thường, hiếm có"
"用","よう","errand, task, business (to take care of)","Intermediate_Japanese_Ln.9 JLPT JLPT_N4","CvxvGX`|/>","việc vặt, nhiệm vụ, công việc (để đảm nhiệm)"
"公務員","こうむいん","government worker, public servant","JLPT JLPT_N4","p;42%b%y:T","nhân viên chính phủ, công chức"
"お嬢さん","おじょうさん","(someone's) daughter (polite)","Genki Genki_Ln.22 JLPT JLPT_N4","Ee+d{e?WRj","con gái (của ai đó) (lịch sự)"
"用意","ようい","preparation","JLPT JLPT_N4","PJ%Q,E{$_L","sự chuẩn bị"
"探す","さがす","to search, to seek, to look for","Genki Genki_Ln.15 Intermediate_Japanese_Ln.8 JLPT JLPT_N4","h4(YO`o85t","tìm kiếm, tìm kiếm, tìm kiếm"
"形","かたち","shape","JLPT JLPT_N4","f7_i%J0-/Y","hình dạng"
"運転","うんてんする","driving","JLPT JLPT_N4","r!zv#R0ur*","lái xe"
"すっかり","すっかり","all, completely","JLPT JLPT_N4","nV=]]BK.9=","tất cả, hoàn toàn"
"アナウンサー","アナウンサー","announcer","JLPT JLPT_N4","oG?shn0:uO","phát thanh viên"
"お土産","おみやげ","souvenir","Genki Genki_Ln.4 JLPT JLPT_N4","IKS:}hgF8q","quà lưu niệm"
"消しゴム","けしゴム","eraser","JLPT JLPT_N4","gW^biR[nM,","cục tẩy"
"旅館","りょかん","a Japanese inn","Genki Genki_Ln.15 Intermediate_Japanese_Ln.6 JLPT JLPT_N4","Ke`aN1|5T#","một nhà trọ Nhật Bản"
"海岸","かいがん","coast, seashore","JLPT JLPT_N4","O1]Ne=Q0*.","bờ biển, bờ biển"
"寂しい","さびしい","lonely, lonesome","Genki Genki_Ln.9 JLPT JLPT_N4","pi{)YOFX|t","cô đơn, lẻ loi"
"火","ひ","fire","JLPT JLPT_N4","gjC}:7>!AJ","ngọn lửa"
"育てる","そだてる","to raise (v.t.); to bring up","Genki Genki_Ln.22 JLPT JLPT_N4","r6b~+z#uh_","to raise (v.t.); để đưa lên"
"味噌","みそ","miso, bean paste","JLPT JLPT_N4","FzA7odIzvp","miso, tương đậu"
"お祝い","おいわい","congratulation, celebration","Intermediate_Japanese_Ln.7 JLPT JLPT_N4","sQaWTq!hP`","chúc mừng, ăn mừng"
"乗り物","のりもの","vehicle","JLPT JLPT_N4","i9[ZI9WM}X","phương tiện giao thông"
"案内","あんないする","information, guidance","JLPT JLPT_N4","DO_nJ<yYaJ","thông tin, hướng dẫn"
"通う","かよう","to go back and forth; to commute","JLPT JLPT_N4","D<g$_r(YBs","đi tới đi lui; đi lại"
"連れる","つれる","to lead, to take (a person)","JLPT JLPT_N4","J&sg+H>0p_","dẫn dắt, dẫn dắt (một người)"
"技術","ぎじゅつ","technique, technology, skill","JLPT JLPT_N4","PCC!&zGiCY","kỹ thuật, công nghệ, kỹ năng"
"小鳥","ことり","small bird","JLPT JLPT_N4","G|$muceS&O","con chim nhỏ"
"下宿","げしゅく","lodging, boarding house","JLPT JLPT_N4","bmjB!,8T=p","chỗ ở, nhà trọ"
"ジャム","ジャム","jam","JLPT JLPT_N4","D@h7*f7p?d","mứt"
"招待","しょうたいする","invitation","JLPT JLPT_N4","c$Y~;QF){;","lời mời"
"鏡","かがみ","mirror","JLPT JLPT_N4","v%J5x[E:;(","gương"
"はず","はず","it should be so","JLPT JLPT_N4","Jg5{R&fxyH","lẽ ra phải như vậy"
"法律","ほうりつ","law","JLPT JLPT_N4","O9|FD5Fq3.","pháp luật"
"進む","すすむ","to advance, to proceed","JLPT JLPT_N4","b6Re}g0};8","tiến lên, tiếp tục"
"楽む","たのしむ","to enjoy","JLPT JLPT_N4","iCe:{Xn-6L","để tận hưởng"
"貿易","ぼうえき","trade","JLPT JLPT_N4","bc9Yp10YbE","buôn bán"
"反対","はんたい","oppose, opposition, resistance","JLPT JLPT_N4","KY]P)[osSM","phản đối, phản đối, phản kháng"
"おる","おる","-- extra-modest expression for いる --","Genki Genki_Ln.20 JLPT JLPT_N4","Adc_Jds{te","-- cách diễn đạt hết sức khiêm tốn của いる --"
"申す","もうす","-- extra-modest (humble) expression for 言う (いう) --","Genki Genki_Ln.20 JLPT JLPT_N4","e<WJ-6`NVb","-- cách diễn đạt cực kỳ khiêm tốn (khiêm tốn) của 言う (いう) --"
"試験","しけん","an exam","Genki Genki_Ln.9 JLPT JLPT_N4","bUCd_5rR^-","một kỳ thi"
"真面目","まじめ","diligent, serious","JLPT JLPT_N4","xK*F{fx?.z","siêng năng, nghiêm túc"
"ごらんになる","","-- honorific expression for みる --","Genki Genki_Ln.19 JLPT JLPT_N4","k(j]!OR1gM","-- cách biểu thị kính trọng đối với みる --"
"店員","てんいん","clerk; shop-employee","Intermediate_Japanese_Ln.6 JLPT JLPT_N4","GeFU%up;F{","nhân viên văn phòng; nhân viên cửa hàng"
"泊まる","とまる","to stay (over night) (v.i.)","JLPT JLPT_N4","IbHq#Ubd>&","ở lại (qua đêm) (v.i.)"
"よろしい","よろしい","(hon.) good, OK, all right","JLPT JLPT_N4","Ah<}g#ysAC","(hon.) tốt, được rồi, được rồi"
"今夜","こんや","this evening, tonight","JLPT JLPT_N4","qWO]e*;%U}","tối nay, tối nay"
"おつり","おつり","change; balance of money returned to the purchaser","JLPT JLPT_N4","wx#vXTnj!Z","thay đổi; số tiền còn lại được trả lại cho người mua"
"チェックする","チェックする","check","JLPT JLPT_N4","o%*Ndg~YHB","kiểm tra"
"会話","かいわ","conversation","JLPT JLPT_N4","dD;CvmzQ9b","cuộc hội thoại"
"空気","くうき","air, atmosphere","Genki Genki_Ln.8 JLPT JLPT_N4","C)1Z!^eB^|","không khí, bầu không khí"
"交通","こうつう","traffic, transportation","JLPT JLPT_N4","AyJ>}k*DyK","giao thông, vận tải"
"ワープロ","ワープロ","word processor","JLPT JLPT_N4","!Qc[fI`%{","xử lý văn bản"
"喜ぶ","よろこぶ","to rejoice, to be delighted, to be glad","JLPT JLPT_N4","DF7Py?yTD[","vui mừng, vui mừng, vui mừng"
"急行","きゅうこう","express train or bus","Intermediate_Japanese_Ln.7 JLPT JLPT_N4","t]K/5%].:3","tàu tốc hành hoặc xe buýt"
"皆","みな","everyone","JLPT JLPT_N4","r56e/uzKVH","mọi người"
"味","あじ","flavor, taste","JLPT JLPT_N4","B]?q9zUNzO","hương vị, mùi vị"
"空港","くうこう","airport","Genki Genki_Ln.20 JLPT JLPT_N4","Qgx/]mMiIj","sân bay"
"手袋","てぶくろ","glove(s)","Genki Genki_Ln.10 JLPT JLPT_N4","LM6P1@!I~2","găng tay)"
"校長","こうちょう","principal, headmaster","JLPT JLPT_N4","eI/Ghjq;7/","hiệu trưởng, hiệu trưởng"
"ごちそう","ごちそう","feast, treating (someone)","JLPT JLPT_N4","D/ibPniDYT","tiệc chiêu đãi, chiêu đãi (ai đó)"
"踊り","おどり","dance","JLPT JLPT_N4","J=*Z|>n+QR","nhảy"
"興味","きょうみ","interest (in something)","JLPT JLPT_N4","DIyl0xA#)2","sự quan tâm (về cái gì đó)"
"引っ越す","ひっこす","to move to a new place of residence","JLPT JLPT_N4","EGeSfwOFZ.","chuyển đến nơi ở mới"
"冷房","れいぼう","cooling, air conditioning","JLPT JLPT_N4","stZHJs{qvP","làm mát, điều hòa không khí"
"都合","つごう","circumstances, convenience","JLPT JLPT_N4","b;szYJp1~0","hoàn cảnh, sự thuận tiện"
"遠慮","えんりょする","restraint, reserve, hesitate","JLPT JLPT_N4","uqPUmCD*1n","kiềm chế, dự trữ, do dự"
"亡くなる","なくなる","to pass away","JLPT JLPT_N4","Iq_q:mI=}n","qua đời"
"科学","かがく","science","Genki Genki_Ln.1 JLPT JLPT_N4","gWOi-(wW;M","khoa học"
"はっきり","はっきり","clearly, distinctly","JLPT JLPT_N4","soMm6B)m]t","rõ ràng, rõ ràng"
"差し上げる","さしあげる","-- humble expression for あげる --","Genki Genki_Ln.20 JLPT JLPT_N4","zkSrvJWm{I","-- cách diễn đạt khiêm tốn của あげる --"
"気持ち","きもち","feeling, sensation, mood","JLPT JLPT_N4","P!ajdoiyb.","cảm giác, cảm giác, tâm trạng"
"祖父","そふ","grandfather","JLPT JLPT_N4","ytyAfRG*6x","ông nội"
"港","みなと","harbor, port","JLPT JLPT_N4","sHl5)cnUcM","bến cảng, bến cảng"
"予約","よやく","reservation","Genki Genki_Ln.10 JLPT JLPT_N4","rSce1JPbkI","sự đặt chỗ"
"凄い","すごい","terrific, great","JLPT JLPT_N4","P~)7jIfH{m","tuyệt vời, tuyệt vời"
"入学","にゅうがくする","entry to school or university","JLPT JLPT_N4","jo:/>1,9uU","vào trường học hoặc đại học"
"片付ける","かたづける","to (clean) tidy up (v.t.), to put away","JLPT JLPT_N4","Ef_Twp5ERS","(dọn dẹp) dọn dẹp (v.t.), cất đi"
"写す","うつす","to copy (v.t.); to photograph","JLPT JLPT_N4","x|L%TU)*iv","sao chép (v.t.); chụp ảnh"
"パソコン","パソコン","(personal) computer","JLPT JLPT_N4","tQ#JE!pNrV","(cá nhân) máy tính"
"部長","ぶちょう","department (division) manager","Genki Genki_Ln.19 Intermediate_Japanese_Ln.15 JLPT JLPT_N4","O:v<m}n3*n","người quản lý bộ phận (bộ phận)"
"火事","かじ","fire","JLPT JLPT_N4","Kll.Pvc/gB","ngọn lửa"
"足す","たす","to add (numbers)","JLPT JLPT_N4","M:pOTP>t7-","để thêm (số)"
"教会","きょうかい","church","Intermediate_Japanese_Ln.9 JLPT JLPT_N4","oA&[8r+GKm","nhà thờ"
"彼ら","かれら","they (usually male)","JLPT JLPT_N4","k?K1].&L.0","họ (thường là nam)"
"一杯","いっぱい","full, to the utmost","JLPT JLPT_N4","w&/o{@M=$:","đầy đủ, đến mức tối đa"
"アメリカ","アメリカ","America, U.S.A.","Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_N4","IVipO?aKE#","Mỹ, Hoa Kỳ"
"男性","だんせい","man; male","JLPT JLPT_N4","r6Y+#Vxx9S","người đàn ông; nam giới"
"理由","りゆう","reason","JLPT JLPT_N4","P7}t{e2du#","lý do"
"生産","せいさんする","production; to produce","JLPT JLPT_N4","pm+O;C4U:>","sản xuất; để sản xuất"
"着物","きもの","kimono; Japanese traditional dress","Genki Genki_Ln.13 JLPT JLPT_N4","A(ZdyF5k,T","kimono; Trang phục truyền thống Nhật Bản"
"おもちゃ","おもちゃ","a toy","Genki Genki_Ln.11 JLPT JLPT_N4","Cf`[JaXL7u","một món đồ chơi"
"暮れる","くれる","to get dark, to come to an end","JLPT JLPT_N4","i-JL+Sl!mg","trở nên tối tăm, đi đến hồi kết"
"釣る","つる","to fish","JLPT JLPT_N4","GWJ%g`TG,o","câu cá"
"～ちゃん","～ちゃん","suffix for familiar (female) person","JLPT JLPT_N4","r2m3z~%1s]","hậu tố cho người quen (nữ)"
"打つ","うつ","to hit, to strike","JLPT JLPT_N4","pBs^gx/@>a","đánh, đánh"
"あんな","あんな","such, like that","JLPT JLPT_N4","K%g**4JE#C","như thế, như thế"
"謝る","あやまる","to apologize","JLPT JLPT_N4","C%+Y^2-4l[","xin lỗi"
"昼間","ひるま","daytime, during the day","JLPT JLPT_N4","p3^ge-^eJl","ban ngày, trong ngày"
"教育","きょういく","education","JLPT JLPT_N4","HW9*4`esHu","giáo dục"
"女性","じょせい","woman","JLPT JLPT_N4","E9gO2XIg*K","đàn bà"
"米","こめ","uncooked rice","JLPT JLPT_N4","t,HSQDh#2","cơm chưa nấu chín"
"邪魔","じゃま","hindrance, intrusion","JLPT JLPT_N4","c]>yivA`ny","sự cản trở, sự xâm nhập"
"国際","こくさい","international","JLPT JLPT_N4","f~g3tMo97^","quốc tế"
"隅","すみ","corner","JLPT JLPT_N4","eeOvjZ5zl.","góc"
"伺う","うかがう","humble form of 行く (いく), 聞く (きく) and 来る (くる)","JLPT JLPT_N4","Lmfy{2F]$A","dạng khiêm tốn của 行く (いく), 聞く (きく) và 来る (くる)"
"再来週","さらいしゅう","the week after next","JLPT JLPT_N4","kKHM?VM`7o","tuần sau tiếp theo"
"夢","ゆめ","a dream","Genki Genki_Ln.11 JLPT JLPT_N4","lZn7[}J9+0","một giấc mơ"
"喉","のど","throat","JLPT JLPT_N4","c+C3t7I~.8","cổ họng"
"最近","さいきん","recently, nowadays, in recent years, most recent, latest","Genki Genki_Ln.15 Intermediate_Japanese_Ln.9 JLPT JLPT_N4","e2RD]Myt9A","gần đây, gần đây, trong những năm gần đây, gần đây nhất, mới nhất"
"周り","まわり","surroundings","JLPT JLPT_N4","fhT%f*K[Vx","môi trường xung quanh"
"歴史","れきし","history","Genki Genki_Ln.1 Genki_Ln.2 Intermediate_Japanese_Ln.3 JLPT JLPT_N4","lQ}Sxv&`A!","lịch sử"
"不便","ふべん","inconvenience","JLPT JLPT_N4","C!<M[IO(?_","sự bất tiện"
"血","ち","blood","JLPT JLPT_N4","0ihaC]*Q^","máu"
"～続ける","～つづける","to continue doing ~","JLPT JLPT_N4","JHO_m/Gf)j","tiếp tục làm ~"
"毛","け","hair, fur","JLPT JLPT_N4","gsy(C|!IEU","tóc, lông"
"ひどい","ひどい","terrible, awful, unfair, cruel","Genki Genki_Ln.21 Intermediate_Japanese_Ln.4 JLPT JLPT_N4","M6<?LBefmj","khủng khiếp, khủng khiếp, không công bằng, tàn nhẫn"
"例えば","たとえば","for example, e.g.","Genki Genki_Ln.17 Intermediate_Japanese_Ln.2 JLPT JLPT_N4","n/o*9@bFx6","ví dụ, ví dụ"
"中々","なかなか","very, considerably, quite","JLPT JLPT_N4","@YWCVJq=)","rất, đáng kể, khá"
"随分","ずいぶん","extremely","JLPT JLPT_N4","NMl:D%#1zF","vô cùng"
"～やすい","～やすい","easy to do ~","JLPT JLPT_N4","exjp1w(~N7","dễ làm ~"
"押し入れ","おしいれ","closet","JLPT JLPT_N4","Al&#S)GWr$","buồng nhỏ"
"電灯","でんとう","electric light","JLPT JLPT_N4","jodPP9K~W{","đèn điện"
"叱る","しかる","to scold","JLPT JLPT_N4","LMzmk?%TI!","mắng"
"サンダル","サンダル","sandal","JLPT JLPT_N4","nKx7m0Vnj8","dép xăng đan"
"びっくりする","びっくりする","to be surprised","Genki Genki_Ln.21 JLPT JLPT_N4","Cr@7!m+n{m","ngạc nhiên"
"うまい","うまい","delicious; skillful; fortunate","JLPT JLPT_N4","C`4~Q!,KRn","thơm ngon; khéo léo; may mắn"
"変える","かえる","to change, to alter, to vary","JLPT JLPT_N4","x+80xLQg^-","thay đổi, thay đổi, thay đổi"
"講堂","こうどう","auditorium","JLPT JLPT_N4","ktg9A%:iyA","khán phòng"
"子","こ","child","JLPT JLPT_N4","u.wVLBCC7[","đứa trẻ"
"沸かす","わかす","to boil","JLPT JLPT_N4","d,.x::f0>g","đun sôi"
"レジ","レジ","register","JLPT JLPT_N4","m?VOxpy?_K","đăng ký"
"しばらく","しばらく","little while","JLPT JLPT_N4","w1JlkP{0C8","một lát sau"
"特に","とくに","particularly","Intermediate_Japanese_Ln.3 JLPT JLPT_N4","Qf=L0@hP&F","cụ thể"
"空く","あく","to open, to become empty (vacant)","JLPT JLPT_N4","Cg0$u|Ogik","mở ra, trở nên trống rỗng (trống)"
"計画","けいかくする","plan, project, schedule","JLPT JLPT_N4","s2fE.u9}xk","kế hoạch, dự án, lịch trình"
"通り","とおり","~ Street, ~ Avenue","JLPT JLPT_N4","QBI<)8t#SN","~ Đường, ~ Đại lộ"
"下着","したぎ","underwear","JLPT JLPT_N4","tFl(JKOvJ3","đồ lót"
"経済","けいざい","economics, finance, economy","JLPT JLPT_N4","rJHgD<t_i_","kinh tế, tài chính, kinh tế"
"こう","こう","like this, this way","JLPT JLPT_N4","Q%+*%s6}J9","như thế này, thế này"
"是非","ぜひ","certainly, by all means; without fail","Genki Genki_Ln.9 Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.8 JLPT JLPT_N4","kray(3KD^X","chắc chắn, bằng mọi cách; chắc chắn"
"裏","うら","reverse side, back","JLPT JLPT_N4","pQ2heE~587","mặt sau, mặt sau"
"為","ため","good, advantage, in order to","JLPT JLPT_N4","Fly+C7B(R*","tốt, lợi thế, để"
"おいでになる","おいでになる","(hon.) to be","JLPT JLPT_N4","ok-j:Fq]#X","(hon.) là"
"変わる","かわる","to change (v.i.), to be transformed, to vary","Intermediate_Japanese_Ln.4 JLPT JLPT_N4","N?)pR_`l)L","thay đổi (v.i.), được biến đổi, thay đổi"
"以外","いがい","other than, with the exception of, excepting","Intermediate_Japanese_Ln.3 JLPT JLPT_N4","io5npAJ^ZJ","ngoài ra, ngoại trừ, ngoại trừ"
"済む","すむ","to finish, to end","JLPT JLPT_N4","eQV4%/qxB)","kết thúc, kết thúc"
"ハンバーグ","ハンバーグ","hamburger steak","JLPT JLPT_N4","zs3r)kO4N*","bít tết hamburger"
"市","し","city","JLPT JLPT_N4","rXed<x$qC(","thành phố"
"引き出し","ひきだし","drawer","JLPT JLPT_N4","tGG+yHdqmL","ngăn kéo"
"遊び","あそび","play","JLPT JLPT_N4","O8zue,3OP7","chơi"
"支度","したくする","preparation","JLPT JLPT_N4","QsqU&|{INc","sự chuẩn bị"
"～始める","～はじめる","to start doing ~","JLPT JLPT_N4","BA.Jz]NK1.","bắt đầu làm ~"
"見える","みえる","to be visible; -- polite verb meaning 来る (くる) --","Genki Genki_Ln.15 JLPT JLPT_N4","cEonZn&vE$","được nhìn thấy; -- ý nghĩa động từ lịch sự 来る (くる) --"
"十分","じゅうぶん","enough","JLPT JLPT_N4","vgB;={Nvrv","đủ"
"音","おと","sound, note","Genki Genki_Ln.20 JLPT JLPT_N4","y~nFfa-~?d","âm thanh, ghi chú"
"きっと","きっと","surely, definitely, undoubtedly, certainly","Intermediate_Japanese_Ln.7 JLPT JLPT_N4",">[X6H]9HU","chắc chắn, chắc chắn, chắc chắn, chắc chắn"
"まず","まず","first (of all), to start with","Genki Genki_Ln.18 JLPT JLPT_N4","b.U+m9N1DV","đầu tiên (trong tất cả), bắt đầu với"
"遠く","とおく","far away, distant","JLPT JLPT_N4","P.EKUt5=[B","xa, xa vời"
"大体","だいたい","approximately; in most cases; in general; to begin with (same as もともと)","Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.3 JLPT JLPT_N4","PoQwq(:pGi","khoảng; trong hầu hết các trường hợp; nói chung; bắt đầu bằng (giống như もともと)"
"折れる","おれる","to break, to be folded, to give in; to turn (a corner)","JLPT JLPT_N4","C>N,+q5aTm","bẻ gãy, gấp lại, nhượng bộ; rẽ (một góc)"
"正しい","ただしい","correct","JLPT JLPT_N4","ynVxN8fR|I","Chính xác"
"輸入","ゆにゅう","import","JLPT JLPT_N4","c#?sbZfFpt","nhập khẩu"
"返事","へんじ","reply, answer","JLPT JLPT_N4","KqUGjMWU_#","trả lời, trả lời"
"都","と","metropolitan","JLPT JLPT_N4","OcM{?!kX-7","đô thị"
"産業","さんぎょう","industry","JLPT JLPT_N4","r<I`MSX5aQ","ngành công nghiệp"
"伝える","つたえる","to convey (a message); to tell, to report","Genki Genki_Ln.20 Intermediate_Japanese_Ln.15 JLPT JLPT_N4","z>dT,I0S3h","để truyền đạt (một thông điệp); kể, báo cáo"
"お金持ち","かねもち; おかねもち","rich person","JLPT JLPT_N4","H?Z`hWb&65","người giàu"
"説明","せつめい","explanation","JLPT JLPT_N4","jzx*<D-6cG","lời giải thích"
"島","しま","island","Intermediate_Japanese_Ln.5 JLPT JLPT_N4","AOZjwUDN5g","hòn đảo"
"道具","どうぐ","tool","JLPT JLPT_N4","Me$$/AnEcv","dụng cụ"
"滑る","すべる","to slide, to slip","JLPT JLPT_N4","nobw)6B/(-","trượt, trượt"
"それほど","それほど","to that degree; extent","JLPT JLPT_N4","tq|Owona;B","đến mức độ đó; phạm vi"
"以上","いじょう","more than; this is all","JLPT JLPT_N4","kbfzlR:5u>","hơn ; đây là tất cả"
"～まま","～まま","as it is","JLPT JLPT_N4","j#zKPMXsT3","như nó vốn có"
"特急","とっきゅう","limited express (train faster than an express)","JLPT JLPT_N4","sOgOxrQFHN","tàu tốc hành giới hạn (tàu nhanh hơn tàu tốc hành)"
"プレゼント","プレゼント","present, gift","Genki Genki_Ln.12 JLPT JLPT_N4","FrsjD-2$(X","hiện tại, quà tặng"
"～(に) よると","～(に) よると","according to ~","JLPT JLPT_N4","erz+S2{yL|","theo ~"
"妻","つま","wife (humble)","JLPT JLPT_N4","pfL{;:Bm<O","vợ (khiêm tốn)"
"帰り","かえり","return, coming back","JLPT JLPT_N4","A1{^9x(Ly$","trở về, quay trở lại"
"具合","ぐあい","condition, state, health","JLPT JLPT_N4","Ha+Fpz*nIy","tình trạng, trạng thái, sức khỏe"
"堅; 硬; 固い","かたい","solid, hard, firm","JLPT JLPT_N4","Qr]]OTGag7","rắn chắc, cứng rắn, chắc chắn"
"駐車場","ちゅうしゃじょう","parking lot","JLPT JLPT_N4","Q9!i44Gj}q","bãi đậu xe"
"スーツ","スーツ","suit","JLPT JLPT_N4","M~,%txA#EO","bộ đồ"
"危険","きけん","danger, risk, hazard","Intermediate_Japanese_Ln.15 JLPT JLPT_N4","f#x=KD-)bk","nguy hiểm, rủi ro, nguy hiểm"
"髪","かみ","hair","Genki Genki_Ln.7 JLPT JLPT_N4","roFwJrlfKR","tóc"
"天気予報","てんきよほう","weather forecast","Genki Genki_Ln.8 JLPT JLPT_N4","rN#1gCRiI^","dự báo thời tiết"
"彼女","かのじょ","girlfriend; she","Genki Genki_Ln.12 JLPT JLPT_N4","xL3J@WlS{%","bạn gái; cô ấy"
"間","あいだ","space, interval","JLPT JLPT_N4","MXEynMn6*x","không gian, khoảng cách"
"卒業","そつぎょう","graduation","JLPT JLPT_N4","yOSz]L8FJS","tốt nghiệp"
"それで","それで","and (conj.), thereupon, because of that","JLPT JLPT_N4","rZ[:sRogcN","và (kết hợp), do đó, vì thế"
"枝","えだ","branch, twig","JLPT JLPT_N4","FAl}KCf:~8","cành, cành"
"専門","せんもん","major; speciality","Genki Genki_Ln.1 JLPT JLPT_N4","k;2({qLOGz","lớn lao; đặc sản"
"そろそろ","そろそろ","gradually, soon","JLPT JLPT_N4","Q|>K44^N++","dần dần, sớm thôi"
"送る","おくる","to send, to dispatch","Genki Genki_Ln.14 Intermediate_Japanese_Ln.3 JLPT JLPT_N4","e1#_xMS<)@","gửi đi, gửi đi"
"あげる","あげる","to give","JLPT JLPT_N4","w6NP$s|k?>","để cho"
"騒ぐ","さわぐ","to make noise, to clamor","JLPT JLPT_N4","E-jyAQ+?xZ","gây ồn ào, kêu la"
"尋ねる","たずねる","to inquire (same as 質問する)","JLPT JLPT_N4","B;}vj%?W%Z","hỏi thăm (giống như 質問する)"
"放送","ほうそうする","broadcasting","JLPT JLPT_N4","HT(fAub[.Z","phát sóng"
