"expression","reading","meaning","tags","guid","meaning_vi"
"詰る","なじる","to rebuke, to scold, to tell off","JLPT_1 JLPT","m2ug%F|{:P","quở trách, mắng mỏ, mắng mỏ"
"名高い","なだかい","famous, celebrated, well-known","JLPT_1 JLPT","CAOqe%9eXa","nổi tiếng, nổi tiếng, nổi tiếng"
"雪崩","なだれ","avalanche","JLPT_1 JLPT","i|el8n-PMm","trận tuyết lở"
"懐く","なつく","to become emotionally attached","JLPT_1 JLPT","g];Z(M#sXQ","trở nên gắn bó về mặt cảm xúc"
"名付ける","なづける","to name","JLPT_1 JLPT","NJQx_8`$@d","đặt tên"
"何気ない","なにげない","casual, unconcerned","JLPT_1 JLPT","GCR5kv%JGq","bình thường, không quan tâm"
"なにとぞ","なにとぞ","please, kindly, by all means","JLPT_1 JLPT","lQ*Q=lmCB7","làm ơn, vui lòng, bằng mọi cách"
"なにより","なにより","most, best","JLPT_1 JLPT","Ifj=x)`!7.","nhất, tốt nhất"
"ナプキン","ナプキン","napkin","JLPT_1 JLPT","dY;w6ETO=:","khăn ăn"
"名札","なふだ","name plate, name tag","JLPT_1 JLPT","H,LzU#iC|r","bảng tên, bảng tên"
"生臭い","なまぐさい","smelling of fish or blood, fish or meat","JLPT_1 JLPT","vDPDWlb?&h","mùi cá hoặc máu, cá hoặc thịt"
"生温い","なまぬるい","lukewarm, halfhearted","JLPT_1 JLPT","G~a-u$_3U#","lạnh lùng, nửa vời"
"生身","なまみ","living flesh, flesh and blood, the quick","JLPT_1 JLPT","mdk5@{-d$q","thịt sống, thịt và máu, sự nhanh chóng"
"鉛","なまり","lead (the metal)","JLPT_1 JLPT","clLq6d~d8L","chì (kim loại)"
"滑らか","なめらか","smoothness, glassiness","JLPT_1 JLPT","F~B/LW)1su","độ mịn, độ trong như thủy tinh"
"嘗める","なめる","to lick; to experience; to make fun of","JLPT_1 JLPT","h&h,RaX>m(","liếm; để trải nghiệm; để trêu chọc"
"悩ましい","なやましい","seductive, melancholy, languid","JLPT_1 JLPT","vf@^4N2dLC","quyến rũ, u sầu, uể oải"
"悩ます","なやます","to bother, to harass, to molest","JLPT_1 JLPT","jR2E;(CfhM","làm phiền, quấy rối, làm phiền"
"悩み","なやみ","trouble(s), worry, distress","JLPT_1 JLPT Genki_Ln.19 Genki","rYH,[!J71-","rắc rối, lo lắng, đau khổ"
"並びに","ならびに","and","JLPT_1 JLPT","Ny*4D`O(3Y","Và"
"成り立つ","なりたつ","to consist of; to be practical (logical, feasible, viable), to be concluded, to hold true","JLPT_1 JLPT","m1{^Hc5[&f","bao gồm ; thực tế (hợp lý, khả thi, khả thi), được kết luận, đúng"
"なるたけ","なるたけ","as much as possible, if possible","JLPT_1 JLPT","y(q.AD0L#F","càng nhiều càng tốt, nếu có thể"
"慣れ","なれ","practice, experience","JLPT_1 JLPT","j7[97Xg7/>","thực hành, kinh nghiệm"
"馴々しい","なれなれしい","familiar, make free with","JLPT_1 JLPT","shT?wsHw[_","quen thuộc, thoải mái với"
"～なんか","～なんか","in the least ~","JLPT_1 JLPT","d.Q@D)R`y/","ít nhất ~"
"ナンセンス","ナンセンス","nonsense","JLPT_1 JLPT","moW2Xjtt^+","điều vô lý"
"何だか","なんだか","a little, somewhat, somehow","JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11","hYSEqVkL.V","một chút, phần nào, bằng cách nào đó"
"なんだかんだ","なんだかんだ","something or other","JLPT_1 JLPT","Hjnd-`9LXB","cái gì đó hoặc cái khác"
"なんなり","なんなり","anything, whatever","JLPT_1 JLPT","w_?<3$dc`X","bất cứ điều gì, bất cứ điều gì"
"荷","に","load, baggage, cargo","JLPT_1 JLPT","yqk%}[]JXT","tải, hành lý, hàng hóa"
"似通う","にかよう","to resemble closely","JLPT_1 JLPT","Dm9*/_j8S;","giống gần gũi hơn"
"にきび","にきび","pimple, acne","JLPT_1 JLPT","e&g:V:ku_]","mụn trứng cá"
"賑わう","にぎわう","to prosper, to flourish, to be crowded with people","JLPT_1 JLPT","g#ovh${-3n","thịnh vượng, hưng thịnh, đông đúc người"
"憎しみ","にくしみ","hatred","JLPT_1 JLPT","QPkVwq]vjj","hận thù"
"肉親","にくしん","blood relationship, blood relative","JLPT_1 JLPT","uWXLxRMJ+O","quan hệ huyết thống, họ hàng huyết thống"
"肉体","にくたい","the body, the flesh","JLPT_1 JLPT","gnN00<v<{9","cơ thể, thịt"
"逃げ出す","にげだす","to run away, to escape from","JLPT_1 JLPT","fl)eIr9*lI","chạy trốn, thoát khỏi"
"西日","にしび","westering sun","JLPT_1 JLPT","K3I7nq2l;L","mặt trời hướng tây"
"滲む","にじむ","to run, to blur, to spread","JLPT_1 JLPT","o9up<Sz=ve","chạy, làm mờ, lan rộng"
"にせ物","にせもの","imitation, counterfeit","JLPT_1 JLPT","A=&EK6O#1I","bắt chước, giả mạo"
"日夜","にちや","day and night, always","JLPT_1 JLPT","i%dEbeqYtB","ngày đêm luôn"
"荷造り","にづくり","packing, baling, crating","JLPT_1 JLPT","qOwG&WZKL2","đóng gói, đóng kiện, đóng thùng"
"担う","になう","to carry on shoulder, to bear (burden), to shoulder (gun)","JLPT_1 JLPT","F#SgKxy?S*","vác trên vai, gánh (gánh nặng), vác (súng)"
"鈍る","にぶる","to become less capable, to grow dull, to become blunt, to weaken","JLPT_1 JLPT","L.(Z=bmrwj","trở nên kém năng lực, trở nên đần độn, trở nên cùn, yếu đi"
"にも関わらず","にもかかわらず","in spite of, nevertheless","JLPT_1 JLPT","KlWPE-D`h0","mặc dù, tuy nhiên"
"ニュアンス","ニュアンス","nuance","JLPT_1 JLPT","LUTAFMalyV","sắc thái"
"ニュー","ニュー","new","JLPT_1 JLPT","Gfvoid,rAZ","mới"
"入手","にゅうしゅ","obtaining, coming to hand","JLPT_1 JLPT","KYs]w;nq{f","có được, đến tay"
"入賞","にゅうしょう","winning a prize or place (in a contest","JLPT_1 JLPT","QQ,s.4v3{f","giành được giải thưởng hoặc vị trí (trong một cuộc thi"
"入浴","にゅうよく","bathe, bathing","JLPT_1 JLPT","K$j=e4Tdlp","tắm, tắm"
"尿","にょう","urine","JLPT_1 JLPT","jT5|c!zG9i","nước tiểu"
"認識","にんしき","recognition, cognizance","JLPT_1 JLPT","sX|,Qiq}<w","sự công nhận, nhận thức"
"妊娠","にんしん","conception, pregnancy","JLPT_1 JLPT","j|`SG%:20Y","thụ thai, mang thai"
"任務","にんむ","duty, mission, task","JLPT_1 JLPT","h6lc;]{2nu","nhiệm vụ, nhiệm vụ, nhiệm vụ"
"任命","にんめい","appointment, nomination, ordination","JLPT_1 JLPT","En]Zo|mh[y","bổ nhiệm, bổ nhiệm, phong chức"
"抜かす","ぬかす","to omit, to leave out","JLPT_1 JLPT","B_-9.@R#h`","bỏ qua, bỏ đi"
"抜け出す","ぬけだす","to slip out, to sneak away, to excel","JLPT_1 JLPT","pLSh/TV^OR","lẻn ra ngoài, lẻn đi, xuất sắc"
"主","ぬし","owner, master, god","JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese","f$iPQS#{]6","chủ nhân, ông chủ, thần"
"沼","ぬま","swamp, bog, pond","JLPT_1 JLPT","q-TqHFf#eJ","đầm lầy, đầm lầy, ao"
"音色","ねいろ","tone color, timbre","JLPT_1 JLPT","C=~bfd:qmo","tông màu, âm sắc"
"値打ち","ねうち","value, worth, price","JLPT_1 JLPT","s_}27&HmzM","giá trị, giá trị, giá cả"
"ネガ","ネガ","(photographic) negative","JLPT_1 JLPT","tRtoeF@*NA","(chụp ảnh) âm bản"
"寝かせる","ねかせる","to put to bed, to lay down, to ferment","JLPT_1 JLPT","i8aC;^zTA&","đặt lên giường, nằm xuống, lên men"
"ねじまわし","ねじまわし","screwdriver","JLPT_1 JLPT","lC3$+z.Dp9","tuốc nơ vít"
"捩れる","ねじれる","twist, strain","JLPT_1 JLPT","Shp4gNU#M","xoắn, căng"
"妬む","ねたむ","to be jealous, to be envious","JLPT_1 JLPT","LkwOsP2luZ","ghen tị, ghen tị"
"ねだる","ねだる","to nag, to demand","JLPT_1 JLPT","bqJI({hGlV","cằn nhằn, đòi hỏi"
"熱意","ねつい","zeal, enthusiasm","JLPT_1 JLPT","rd11dz%oP<","nhiệt huyết, nhiệt tình"
"熱湯","ねっとう","boiling water","JLPT_1 JLPT","yBQ@*k[rMd","nước sôi"
"熱量","ねつりょう","calorific value","JLPT_1 JLPT","yVC<gDS.Nb","giá trị nhiệt lượng"
"粘り","ねばり","stickiness, viscosity","JLPT_1 JLPT","BvIS%RjDgh","độ dính, độ nhớt"
"粘る","ねばる","to be sticky, to be adhesive, to persist, to stick to","JLPT_1 JLPT","q5idXyJ?~3","dính, dính chặt, kiên trì, bám vào"
"値引き","ねびき","price reduction, discount","JLPT_1 JLPT","ppHz}aRok7","giảm giá, giảm giá"
"根回し","ねまわし","making necessary arrangements","JLPT_1 JLPT","k|jB&4ScOn","thực hiện các sắp xếp cần thiết"
"眠たい","ねむたい","sleepy","JLPT_1 JLPT","A:U[i:g3Mu","buồn ngủ"
"練る","ねる","to knead, to work over, to polish up","JLPT_1 JLPT","OcA{._U(He","nhào nặn, làm lại, đánh bóng"
"念","ねん","sense, feeling, desire","JLPT_1 JLPT","uVWX2{yDLk","giác quan, cảm giác, ham muốn"
"年賀","ねんが","New Year's greetings, New Year's card","JLPT_1 JLPT","P$?kkzx-4;","Lời chúc năm mới, thiệp năm mới"
"念願","ねんがん","one's heart's desire, earnest petition","JLPT_1 JLPT","N2]ye^.%%-","lòng khao khát, lời cầu xin tha thiết"
"年号","ねんごう","name of an era, year number","JLPT_1 JLPT","bLo0`T)GZr","tên thời đại, số năm"
"燃焼","ねんしょう","burning, combustion","JLPT_1 JLPT","zKpI9!^gxJ","đốt cháy, đốt cháy"
"年長","ねんちょう","seniority","JLPT_1 JLPT","L5;%C?!rKM","thâm niên"
"燃料","ねんりょう","fuel","JLPT_1 JLPT","rltcX_fvi[","nhiên liệu"
"年輪","ねんりん","annual tree ring","JLPT_1 JLPT","b+fwXle>0o","vòng cây hàng năm"
"ノイローゼ","ノイローゼ","neurosis (GER: Neurose)","JLPT_1 JLPT","J+@dVGG,?/","bệnh thần kinh (GER: Neurose)"
"農耕","のうこう","farming, agriculture","JLPT_1 JLPT","s|V;EQ<DFG","nông nghiệp, nông nghiệp"
"農場","のうじょう","farm","JLPT_1 JLPT","f{r<5W&Bpu","nông trại"
"農地","のうち","agricultural land","JLPT_1 JLPT","gFlV*(m#WE","đất nông nghiệp"
"納入","のうにゅう","payment, supply","JLPT_1 JLPT","K9YdM1s/F>","thanh toán, cung cấp"
"逃す","のがす","to let loose, to set free, to let escape","JLPT_1 JLPT","cfjj1lW1R","thả lỏng, thả tự do, trốn thoát"
"逃れる","のがれる","to escape","JLPT_1 JLPT","ur0/yS?G.F","trốn thoát"
"軒並","のきなみ","row of houses; uniformly","JLPT_1 JLPT","gYh0C^=J<1","dãy nhà; đồng nhất"
"望ましい","のぞましい","desirable, hoped for","JLPT_1 JLPT","O~bUfdZRZc","mong muốn, hy vọng"
"乗っ取る","のっとる","to capture, to occupy, to take over","JLPT_1 JLPT","D>275*`Xs9","chiếm giữ, chiếm giữ, tiếp quản"
"のどか","のどか","tranquil, calm, quiet","JLPT_1 JLPT","IT.<Z@]SZ.","yên tĩnh, bình tĩnh, yên tĩnh"
"罵る","ののしる","to speak ill of, to abuse","JLPT_1 JLPT","o]7]HcCGpH","nói xấu, lạm dụng"
"延べ","のべ","futures, credit (buying), stretching, total","JLPT_1 JLPT","Eb3R}G~vq&","tương lai, tín dụng (mua), kéo dài, tổng cộng"
"飲み込む","のみこむ","to gulp down, to swallow deeply, to understand","JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese","fwLCsj3c:^","nuốt xuống, nuốt sâu, hiểu"
"乗り込む","のりこむ","to board, to get into (a car); to march into, to enter","JLPT_1 JLPT","P^t~AIQ,:b","lên, lên (ô tô); tiến vào, tiến vào"
"刃","は","blade, sword","JLPT_1 JLPT","s8NuMFbIpb","lưỡi kiếm, thanh kiếm"
"～派","～は","group, party, section (mil)","JLPT_1 JLPT","qMeKLND8O$","nhóm, đảng, bộ phận (triệu)"
"バー","バー","bar","JLPT_1 JLPT","xD;./&*C~}","thanh"
"把握","はあく","grasp, catch, understanding","JLPT_1 JLPT","DFve{Ag1B(","nắm bắt, nắm bắt, hiểu biết"
"パート","パート","part-time job","JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese","OK)Lf1Yk5g","công việc bán thời gian"
"廃棄","はいき","disposal, abandon, discarding","JLPT_1 JLPT","t,]x!4!SsB","vứt bỏ, vứt bỏ, vứt bỏ"
"配給","はいきゅう","distribution (e.g., films, rice","JLPT_1 JLPT","BIJAh&96+q","phân phối (ví dụ: phim, gạo"
"ばい菌","ばいきん","bacteria, germ(s)","JLPT_1 JLPT","F@%B4+?fE|","vi khuẩn, mầm bệnh"
"配偶者","はいぐうしゃ","spouse","JLPT_1 JLPT","j5as3|4RM2","vợ chồng"
"拝啓","はいけい","-- a formal greeting used at the beginning of a letter --","Intermediate_Japanese_Ln.4 JLPT_1 JLPT Intermediate_Japanese","+.sAx2wLV","-- lời chào trang trọng được sử dụng ở đầu thư --"
"背景","はいけい","background, scenery, setting","JLPT_1 JLPT","B;EWwcKw8a","bối cảnh, phong cảnh, bối cảnh"
"背後","はいご","back, rear","JLPT_1 JLPT","l$UvE^.,2i","phía sau, phía sau"
"廃止","はいし","abolition, repeal","JLPT_1 JLPT","D{,71BeMS8","bãi bỏ, bãi bỏ"
"拝借","はいしゃく","(humble) (polite) borrowing","JLPT_1 JLPT","w!,O.|Pr}V","(khiêm tốn) (lịch sự) mượn"
"排除","はいじょ","exclusion, removal, rejection","JLPT_1 JLPT","e(cIaHsE,F","loại trừ, loại bỏ, bác bỏ"
"賠償","ばいしょう","reparations, indemnity, compensation","JLPT_1 JLPT","i0;;9:0(Yb","sự bồi thường, sự bồi thường, sự bồi thường"
"排水","はいすい","drainage","JLPT_1 JLPT","CI{]`I5(&E","thoát nước"
"敗戦","はいせん","defeat, losing a war","JLPT_1 JLPT","JSMF6y%Lj~","thất bại, thua trong một cuộc chiến"
"配置","はいち","arrangement (of resources), disposition","JLPT_1 JLPT","wZ<r/Id^hw","sắp xếp (nguồn lực), bố trí"
"配布","はいふ","distribution","JLPT_1 JLPT","j3UYv2B1e{","phân bổ"
"配分","はいぶん","distribution, allotment","JLPT_1 JLPT","sPEejO/d9<","sự phân bổ, sự phân bổ"
"敗北","はいぼく","defeat (as a verb it means 'to be defeated')","JLPT_1 JLPT","=90:_^P$k","thất bại (với tư cách là một động từ, nó có nghĩa là 'bị đánh bại')"
"倍率","ばいりつ","diameter, magnification","JLPT_1 JLPT","h`ahPtUY;b","đường kính, độ phóng đại"
"配慮","はいりょ","consideration, concern, forethought","JLPT_1 JLPT","poW=.ChJSm","sự cân nhắc, sự quan tâm, sự cân nhắc"
"配列","はいれつ","arrangement, array (programming)","JLPT_1 JLPT","cC<!?;J:<g","sắp xếp, mảng (lập trình)"
"破壊","はかい","destruction","JLPT_1 JLPT","v!Zp^6YAqE","sự phá hủy"
"いたわる","いたわる","to sympathize with, to console, to care for","JLPT_1 JLPT","wcGai|q>xT","thông cảm, an ủi, quan tâm đến"
"一概に","いちがいに","unconditionally, necessarily","JLPT_1 JLPT","hLV>poM3Dq","vô điều kiện, nhất thiết"
"著しい","いちじるしい","remarkable, considerable","JLPT_1 JLPT","kPPz=m,gRR","đáng chú ý, đáng kể"
"一同","いちどう","all present, all concerned, all of us","JLPT_1 JLPT","O|v*CB_J$V","tất cả có mặt, tất cả có liên quan, tất cả chúng ta"
"一部分","いちぶぶん","a part, a portion","JLPT_1 JLPT","kC:AyoQ(VZ","một phần, một phần"
"一別","いちべつ","parting","JLPT_1 JLPT","P}9Ns5lV8E","chia tay"
"一面","いちめん","one side, the other hand","JLPT_1 JLPT","Nx0OsZUH*E","một bên, mặt khác"
"一目","いちもく","a glance, a look, a glimpse","JLPT_1 JLPT","saAg*cc00y","một cái nhìn, một cái nhìn, một cái nhìn thoáng qua"
"一様","いちよう","uniform, similar, equal","JLPT_1 JLPT","4Npj$}s^v","giống nhau, giống nhau, bằng nhau"
"一律","いちりつ","even, uniform, equal","JLPT_1 JLPT","s7Bp#3`c^s","đều, đều, bằng nhau"
"一連","いちれん","a series, a chain, a ream (of paper)","JLPT_1 JLPT","K`?fU[;],#","một dãy, một dãy, một ram (giấy)"
"一括","いっかつ","all together, batch","JLPT_1 JLPT","hhovzuJKNB","tất cả cùng nhau, hàng loạt"
"一気","いっき","at one push, in one gulp","JLPT_1 JLPT","CgBD$%2<51","trong một lần đẩy, trong một ngụm"
"一挙に","いっきょに","at a stroke, with a single swoop","JLPT_1 JLPT","F:IKX%#S}~","trong một đòn, với một cú sà xuống"
"一見","いっけん","a look, a glimpse, glance; first meeting","JLPT_1 JLPT","NZ6>sHobC*","cái nhìn, cái nhìn thoáng qua, cái nhìn; cuộc gặp đầu tiên"
"一切","いっさい","without exception, the whole","JLPT_1 JLPT","v}WLTgJ@1I","không có ngoại lệ, toàn bộ"
"一心","いっしん","one mind, with rapt attention","JLPT_1 JLPT","cClq^_-/LZ","một tâm trí, với sự chú ý say mê"
"いっそ","いっそ","rather, sooner, might as well","JLPT_1 JLPT","Ii]&B%6J^H","đúng hơn, sớm hơn, cũng có thể"
"一変","いっぺん","complete change","JLPT_1 JLPT","ek#.`h}8]>","thay đổi hoàn toàn"
"意図","いと","intention, aim, design","JLPT_1 JLPT","Nv%*-6B!(,","ý định, mục đích, thiết kế"
"営む","いとなむ","to carry on (e.g., in ceremony), to run a business","JLPT_1 JLPT","DwKEu03*|H","tiếp tục (ví dụ: trong buổi lễ), điều hành một công việc kinh doanh"
"挑む","いどむ","to challenge","JLPT_1 JLPT","c_-t#iEGZZ","thách thức"
"稲光","いなびかり","(flash of) lightning","JLPT_1 JLPT","c#^JVd1}UB","(tia chớp) tia chớp"
"祈り","いのり","prayer, supplication","JLPT_1 JLPT","Ma]tANx6d6","lời cầu nguyện, lời cầu xin"
"いびき","いびき","snoring","JLPT_1 JLPT","C/{&bugX+}","ngáy"
"今更","いまさら","now, again","JLPT_1 JLPT","hj*29Ug#1R","bây giờ, một lần nữa"
"未だ","いまだ","yet, still","JLPT_1 JLPT","p:dli@Jl!z","chưa, vẫn còn"
"移民","いみん","emigrant, immigrant","JLPT_1 JLPT","CLJ[Ns`Z6Z","người di cư, người nhập cư"
"嫌々","いやいや","reluctantly, by no means, unwillingly","JLPT_1 JLPT","QjHKtey?XJ","một cách miễn cưỡng, không hề, một cách miễn cưỡng"
"卑しい","いやしい","greedy, vulgar, shabby","JLPT_1 JLPT","vBh9gD/$!+","tham lam, thô tục, tồi tàn"
"いやに","いやに","awfully, terribly","JLPT_1 JLPT","qpdLL_V*P#","khủng khiếp, khủng khiếp"
"いやらしい","いやらしい","unpleasant, disgusting, indecent","JLPT_1 JLPT","D<T6@Y-YD4","khó chịu, kinh tởm, không đứng đắn"
"意欲","いよく","will, desire, ambition","JLPT_1 JLPT","Fq(`u%{Obm","ý chí, mong muốn, tham vọng"
"威力","いりょく","power, might, authority","JLPT_1 JLPT","r5er8dT<)9","quyền lực, sức mạnh, thẩm quyền"
"衣類","いるい","clothes, clothing, garments","JLPT_1 JLPT","QbNSCWqQ4!","quần áo, quần áo, quần áo"
"異論","いろん","different opinion, objection","JLPT_1 JLPT","A?E^7mu[K@","ý kiến ​​khác nhau, sự phản đối"
"印鑑","いんかん","stamp, seal","JLPT_1 JLPT","cTR~#z|<0M","tem, con dấu"
"陰気","いんき","gloom, melancholy","JLPT_1 JLPT","A-+&-Fy%1r","sự u ám, u sầu"
"隠居","いんきょ","retirement; retired person","JLPT_1 JLPT","b^vje[Ox#X","nghỉ hưu; người về hưu"
"インターチェンジ","インターチェンジ","interchange","JLPT_1 JLPT","rBKXdv$/G,","trao đổi"
"インターナショナル","インターナショナル","international","JLPT_1 JLPT","JmV&U~p0X$","quốc tế"
"インターフォン","インターフォン","entry phone, intercom","JLPT_1 JLPT","AO3rDw-;8U","điện thoại nhập cảnh, máy liên lạc"
"インテリ","インテリ","(abbr.) egghead, intelligentsia","JLPT_1 JLPT","piGc%@]7]l","(abbr.) đầu trứng, tầng lớp trí thức"
"インフォメーション","インフォメーション","information","JLPT_1 JLPT","KO4Fli5w!*","thông tin"
"インフレ","インフレ","(abbr.) inflation","JLPT_1 JLPT","QC}1+m@@J*","(viết tắt) lạm phát"
"受かる","うかる","to pass (examination)","JLPT_1 JLPT","gIq*pkmfp{","đậu (kỳ thi)"
"受け入れ","うけいれ","receiving, acceptance","JLPT_1 JLPT","j&5piEC:H:","tiếp nhận, chấp nhận"
"受け入れる","うけいれる","to accept, to receive","JLPT_1 JLPT","i_JCrJB_9E","chấp nhận, nhận"
"受け継ぐ","うけつぐ","to inherit, to succeed","JLPT_1 JLPT","x6H#Y*OpNS","kế thừa, thành công"
"受け付ける","うけつける","to be accepted, to receive (an application)","JLPT_1 JLPT","wJiQ/5Nn/x","được chấp nhận, được nhận (đơn đăng ký)"
"受け止める","うけとめる","to catch, to react to, to take","JLPT_1 JLPT","kQB/rB@6#x","bắt, phản ứng, lấy"
"受身","うけみ","passive, passive voice","JLPT_1 JLPT","AB05ev+c>K","giọng nói thụ động, thụ động"
"受持ち","うけもち","charge (of something), matter in one's charge","JLPT_1 JLPT","DiB3?u$z,A","phụ trách (về cái gì đó), vấn đề thuộc trách nhiệm của một người"
"動き","うごき","movement, activity, trend","JLPT_1 JLPT","u]mcX[(LyK","phong trào, hoạt động, xu hướng"
"埋める","うずめる","to bury, to fill","JLPT_1 JLPT","s1}PR|XGjV","chôn, lấp đầy"
"嘘つき","うそつき","liar","JLPT_1 JLPT","huy&f$4B!!","kẻ nói dối"
"うたた寝","うたたね","dozing, napping","JLPT_1 JLPT","g>}T9.Ly4K","ngủ gật, ngủ trưa"
"打ち明ける","うちあける","to confess, to be open","JLPT_1 JLPT","m>OKlxKk@!","thú nhận, cởi mở"
"打ち切る","うちきる","to stop, to abort, to discontinue, to close","JLPT_1 JLPT","NY3MFaZc*o","dừng lại, ngừng lại, ngừng lại, đóng lại"
"打ち消し","うちけし","(gram) negation, denial, negative","JLPT_1 JLPT","FFlOc.L!8+","(gram) sự phủ định, sự phủ nhận, phủ định"
"打ち込む","うちこむ","to devote oneself to, to shoot into","JLPT_1 JLPT","iV,JA!*tZ)","cống hiến hết mình cho, để bắn vào"
"団扇","うちわ","fan","JLPT_1 JLPT","AXix@CPuvn","cái quạt"
"内訳","うちわけ","the items, breakdown, classification","JLPT_1 JLPT","kc.tS5mj},","các mục, sự cố, phân loại"
"写し","うつし","copy, duplicate","JLPT_1 JLPT","o]mr>S?=4H","sao chép, nhân bản"
"訴え","うったえ","lawsuit, complaint","JLPT_1 JLPT","L0%2@MBXxQ","vụ kiện, khiếu nại"
"うっとうしい","うっとうしい","weary, annoying","JLPT_1 JLPT","D_nkEIxjCi","mệt mỏi, khó chịu"
"うつむく","うつむく","to look downward, to stoop","JLPT_1 JLPT","vZ9f:pDf9{","nhìn xuống, cúi xuống"
"空ろ","うつろ","blank, hollow, empty","JLPT_1 JLPT","gT)UMo=-nJ","trống rỗng, rỗng tuếch"
"器","うつわ","bowl, vessel, container","JLPT_1 JLPT","wCFSLHrDCy","bát, bình, thùng"
"腕前","うでまえ","ability, skill, facility","JLPT_1 JLPT","M#fh/cwlNl","khả năng, kỹ năng, cơ sở vật chất"
"雨天","うてん","rainy weather","JLPT_1 JLPT","w*!:re!1<+","trời mưa"
"促す","うながす","to urge, to suggest, to demand","JLPT_1 JLPT","wV^GWyWg_j","thúc giục, đề nghị, yêu cầu"
"うぬぼれ","うぬぼれ","pretension, conceit, hubris","JLPT_1 JLPT","m]YR4b{=@z","giả vờ, tự phụ, ngạo mạn"
"生まれつき","うまれつき","by nature, by birth, native","JLPT_1 JLPT","vf1rqkwzEV","theo tự nhiên, do sinh ra, bản xứ"
"埋め込む","うめこむ","to embed, implant","JLPT_1 JLPT","xua#+HlIBN","nhúng, cấy ghép"
"梅干し","うめぼし","dried plum","JLPT_1 JLPT","y[D$6jL9AV","mận khô"
"裏返し","うらがえし","inside out, reverse","JLPT_1 JLPT","x!`i3g6fj/","từ trong ra ngoài, đảo ngược"
"売り出し","うりだし","(bargain) sale","JLPT_1 JLPT","e#9|l1/ymz","(thương lượng) bán"
"売り出す","うりだす","to put on sale, to market","JLPT_1 JLPT","gIddcx*`Ct","để bán, đưa ra thị trường"
"潤う","うるおう","to be moist; to profit by","JLPT_1 JLPT","iEM[52wf::","bị ẩm; để kiếm lợi nhuận bằng cách"
"浮気","うわき","affair, to cheat","JLPT_1 JLPT","niMRrvhuXD","ngoại tình, lừa dối"
"上回る","うわまわる","to exceed","JLPT_1 JLPT","xvIWa_An&S","vượt quá"
"植わる","うわる","to be planted","JLPT_1 JLPT","q/mwW_I)&k","được trồng"
"運営","うんえい","management, administration, operation","JLPT_1 JLPT","m*%9#Uxp/F","quản lý, điều hành, vận hành"
"うんざり","うんざり","tedious, boring, being fed up with","JLPT_1 JLPT","G<U}3bYTX=","tẻ nhạt, nhàm chán, chán ngấy với"
"運送","うんそう","shipping, freight","JLPT_1 JLPT","DH/^v}5V5H","vận chuyển, vận chuyển hàng hóa"
"運賃","うんちん","freight rates, shipping expenses, (passenger) fare","JLPT_1 JLPT Intermediate_Japanese_Ln.10 Intermediate_Japanese","OS<,k|.D(5","giá cước vận chuyển, chi phí vận chuyển, giá vé (hành khách)"
"云々","うんぬん","and so on, and so forth","JLPT_1 JLPT","LiOOViPg]s","vân vân và vân vân"
"運搬","うんぱん","transport, carriage","JLPT_1 JLPT","KHqZvxZ@6.","vận chuyển, vận chuyển"
"運命","うんめい","fate","JLPT_1 JLPT","l3_#00|#9V","định mệnh"
"運輸","うんゆ","transportation","JLPT_1 JLPT","M~H0atu}?,","vận tải"
"運用","うんよう","making use of, application, practical use","JLPT_1 JLPT","P{!{:>o!_q","sử dụng, áp dụng, sử dụng thực tế"
"エアメール","エアメール","air mail","JLPT_1 JLPT","q`%AC;;9Ta","thư hàng không"
"～営","～えい","~ run","JLPT_1 JLPT","dP^UCy0C~l","~ chạy"
"英字","えいじ","English letter (character)","JLPT_1 JLPT","J1lN,M8$1h","chữ cái tiếng anh (ký tự)"
"映写","えいしゃ","projection","JLPT_1 JLPT","x`Mnz)m&qb","phép chiếu"
"映像","えいぞう","reflection, image","JLPT_1 JLPT","m?:Se-SQN4","sự phản ánh, hình ảnh"
"英雄","えいゆう","hero, great man","JLPT_1 JLPT","lpc:AiI>>Z","anh hùng, vĩ nhân"
"液","えき","liquid, fluid","JLPT_1 JLPT","r(jP%;ZEI5","chất lỏng, chất lỏng"
"閲覧","えつらん","inspection, reference, browse","JLPT_1 JLPT","hDsmHpZ7Os","kiểm tra, tham khảo, duyệt"
"獲物","えもの","game, spoils, trophy","JLPT_1 JLPT","5*sGNpi>A","trò chơi, chiến lợi phẩm, cúp"
"襟","えり","neck, collar","JLPT_1 JLPT","tRB]@ee=lY","cổ, cổ áo"
"エレガント","エレガント","elegant","JLPT_1 JLPT","efgo>`$5}C","thanh lịch"
"円滑","えんかつ","harmony, smoothness","JLPT_1 JLPT","Kb_Dvgh:lA","sự hài hòa, mượt mà"
"縁側","えんがわ","veranda, porch, balcony, open corridor","JLPT_1 JLPT","wyHg^[mZl2","hiên, hiên, ban công, hành lang mở"
"沿岸","えんがん","coast, shore","JLPT_1 JLPT","AovU9kG]Un","bờ biển, bờ biển"
